"",chi.squared,p.value,-log10(p),FDR,Post-Hoc
M1017.397T924.482,12.322,0.015113,1.8207,0.14613,NA
M949.361T934.647,12.319,0.015133,1.8201,0.14613,NA
M433.152T909.874,12.309,0.015196,1.8183,0.14613,NA
M576.484T1418.277,12.301,0.015245,1.8169,0.14613,NA
M801.479T1239.153,12.288,0.015336,1.8143,0.14639,NA
M617.506T1594.034,12.265,0.015488,1.81,0.14692,NA
M983.38T881.272,12.26,0.01552,1.8091,0.14692,NA
M1097.404T942.609,12.239,0.015662,1.8051,0.14766,NA
M506.176T828.514,12.225,0.015753,1.8026,0.14791,NA
M907.342T857.905,12.207,0.015878,1.7992,0.14844,NA
M936.367T941.78,12.197,0.015947,1.7973,0.14844,NA
M865.306T813.875,12.182,0.016049,1.7946,0.14844,NA
M847.319T941.78,12.179,0.016071,1.794,0.14844,NA
M896.342T959.199,12.17,0.016134,1.7923,0.14844,NA
M1057.414T847.292,12.15,0.016267,1.7887,0.14845,NA
M330.262T1591.258,12.14,0.01634,1.7868,0.14845,NA
M997.379T940.951,12.125,0.016448,1.7839,0.14845,NA
M837.332T895.326,12.122,0.016464,1.7835,0.14845,NA
M897.335T957.42,12.112,0.016538,1.7815,0.14845,NA
M985.385T959.199,12.11,0.016553,1.7811,0.14845,NA
M722.259T813.875,12.105,0.016588,1.7802,0.14845,NA
M785.299T924.482,12.092,0.016682,1.7778,0.14859,NA
M565.21T891.79,12.084,0.016734,1.7764,0.14859,NA
M427.172T904.493,12.072,0.016824,1.7741,0.14882,NA
M564.206T918.312,12.031,0.017125,1.7664,0.1509,NA
M939.375T959.199,12.018,0.017217,1.764,0.1509,NA
M862.322T959.199,11.997,0.017371,1.7602,0.1509,NA
M438.151T843.183,11.984,0.017468,1.7578,0.1509,NA
M769.289T900.968,11.967,0.017595,1.7546,0.1509,NA
M803.315T940.951,11.954,0.017693,1.7522,0.1509,NA
M866.357T1023.188,11.949,0.017732,1.7512,0.1509,NA
M840.325T843.183,11.947,0.01775,1.7508,0.1509,NA
M966.373T919.58,11.946,0.017759,1.7506,0.1509,NA
M768.289T941.124,11.944,0.017773,1.7502,0.1509,NA
M1014.372T940.951,11.916,0.017986,1.7451,0.1509,NA
M476.194T828.514,11.915,0.017998,1.7448,0.1509,NA
M814.33T1025.439,11.913,0.018009,1.7445,0.1509,NA
M907.344T940.951,11.902,0.018097,1.7424,0.1509,NA
M986.591T1195.638,11.9,0.018108,1.7421,0.1509,NA
M951.371T927.31,11.9,0.018113,1.742,0.1509,NA
M909.343T957.42,11.879,0.018276,1.7381,0.15171,NA
M608.277T903.94,11.86,0.018421,1.7347,0.15235,NA
M1131.443T843.183,11.849,0.018511,1.7326,0.15255,NA
M513.174T813.875,11.826,0.018692,1.7283,0.15317,NA
M564.205T827.274,11.822,0.018728,1.7275,0.15317,NA
M1063.401T857.905,11.814,0.018787,1.7261,0.15317,NA
M954.382T975.822,11.779,0.019074,1.7196,0.15428,NA
M900.341T957.42,11.773,0.019124,1.7184,0.15428,NA
M968.365T917.809,11.773,0.019126,1.7184,0.15428,NA
M1000.38T828.514,11.743,0.019367,1.7129,0.15568,NA
