"",chi.squared,p.value,-log10(p),FDR,Post-Hoc
M987.596T1238.129,2.6573,0.61671,0.20992,0.82142,NA
M694.61T1663.824,2.6553,0.61705,0.20968,0.82142,NA
M1007.555T1099.137,2.6531,0.61744,0.20941,0.82146,NA
M853.59T1540.43,2.6499,0.61801,0.20901,0.82148,NA
M383.317T1433.132,2.649,0.61817,0.20889,0.82148,NA
M733.555T1707.904,2.6448,0.61891,0.20837,0.82157,NA
M927.568T1387.796,2.6445,0.61896,0.20834,0.82157,NA
M430.319T1557.453,2.6368,0.62031,0.20739,0.8229,NA
M423.321T1473.286,2.6316,0.62124,0.20674,0.82336,NA
M735.519T1611.099,2.6308,0.62139,0.20664,0.82336,NA
M283.275T1527.558,2.6259,0.62224,0.20605,0.82359,NA
M522.261T1109.944,2.6241,0.62256,0.20582,0.82359,NA
M671.411T1339.403,2.6237,0.62264,0.20577,0.82359,NA
M677.441T1317.16,2.6182,0.62359,0.2051,0.82438,NA
M791.523T1408.532,2.6124,0.62462,0.20438,0.82448,NA
M655.418T1406.703,2.6113,0.62482,0.20424,0.82448,NA
M343.224T1621.712,2.6108,0.62491,0.20418,0.82448,NA
M671.56T1406.45,2.6097,0.62511,0.20404,0.82448,NA
M392.284T1436.378,2.6015,0.62656,0.20304,0.82552,NA
M555.451T1436.867,2.6012,0.62661,0.203,0.82552,NA
M443.333T1262.042,2.5975,0.62726,0.20255,0.8259,NA
M497.353T1308.231,2.5914,0.62835,0.2018,0.8261,NA
M539.369T1423.012,2.5896,0.62866,0.20158,0.8261,NA
M543.444T1574.274,2.5891,0.62876,0.20152,0.8261,NA
M327.072T884.787,2.5885,0.62886,0.20145,0.8261,NA
M513.25T1338.968,2.5836,0.62972,0.20085,0.82676,NA
M281.915T1831.297,2.5783,0.63067,0.20019,0.82753,NA
M427.285T1591.149,2.5696,0.63222,0.19913,0.82909,NA
M361.241T1490.042,2.5637,0.63327,0.19841,0.82999,NA
M965.705T1641.413,2.5551,0.63479,0.19737,0.83044,NA
M1066.691T1440.166,2.5537,0.63505,0.19719,0.83044,NA
M534.317T1557.588,2.5534,0.6351,0.19715,0.83044,NA
M891.586T1523.868,2.5521,0.63533,0.197,0.83044,NA
M699.594T1459.589,2.5516,0.63543,0.19694,0.83044,NA
M822.526T1212.039,2.5406,0.63739,0.1956,0.83182,NA
M549.39T1245.233,2.5396,0.63756,0.19548,0.83182,NA
M1035.703T1411.385,2.5395,0.63757,0.19547,0.83182,NA
M282.278T1308.231,2.534,0.63855,0.1948,0.83248,NA
M330.263T1439.913,2.5326,0.6388,0.19463,0.83248,NA
M903.583T1523.593,2.5253,0.64012,0.19374,0.83372,NA
M722.581T1518.016,2.5206,0.64095,0.19318,0.83385,NA
M423.198T1436.378,2.5192,0.64121,0.193,0.83385,NA
M721.577T1609.803,2.5171,0.64158,0.19275,0.83385,NA
M489.392T1576.24,2.5156,0.64184,0.19257,0.83385,NA
M304.299T1591.903,2.5145,0.64204,0.19244,0.83385,NA
M530.464T1557.882,2.5088,0.64307,0.19174,0.8344,NA
M775.259T825.968,2.5055,0.64366,0.19134,0.8344,NA
M967.568T1289.006,2.5041,0.64391,0.19118,0.8344,NA
M513.353T1456.772,2.5028,0.64413,0.19102,0.8344,NA
M421.346T1406.262,2.502,0.64428,0.19092,0.8344,NA
M330.261T1473.013,2.497,0.64517,0.19033,0.83472,NA
M333.198T1457.004,2.494,0.6457,0.18997,0.83472,NA
M530.464T1642.868,2.4919,0.64608,0.18971,0.83472,NA
M351.18T1571.719,2.4908,0.64629,0.18957,0.83472,NA
M615.411T1474.624,2.4904,0.64635,0.18953,0.83472,NA
M859.497T1238.62,2.4878,0.64681,0.18922,0.83484,NA
M672.553T1440.036,2.4789,0.64842,0.18814,0.83575,NA
M1123.351T817.469,2.4786,0.64847,0.18811,0.83575,NA
M997.698T1423.395,2.4755,0.64903,0.18774,0.83575,NA
M920.644T1518.016,2.4724,0.64958,0.18737,0.83575,NA
M383.32T1400.494,2.4722,0.64962,0.18734,0.83575,NA
M295.151T1418.277,2.4717,0.6497,0.18729,0.83575,NA
M1102.351T817.469,2.469,0.6502,0.18695,0.83592,NA
M886.58T1536.307,2.4631,0.65126,0.18624,0.83632,NA
M569.435T1691.217,2.4626,0.65135,0.18618,0.83632,NA
M841.605T1491.422,2.4607,0.65169,0.18596,0.83632,NA
M430.312T1463.866,2.4578,0.65221,0.18561,0.83632,NA
M453.424T1540.43,2.4571,0.65233,0.18553,0.83632,NA
M627.495T1641.124,2.4518,0.65329,0.18489,0.83708,NA
M303.176T1424.513,2.4439,0.6547,0.18396,0.83787,NA
M629.529T1601.79,2.4411,0.65521,0.18362,0.83787,NA
M915.58T1520.804,2.4381,0.65576,0.18326,0.83787,NA
M645.59T1576.223,2.4379,0.65578,0.18324,0.83787,NA
M311.146T1456.932,2.437,0.65596,0.18313,0.83787,NA
M627.535T1557.388,2.4347,0.65637,0.18285,0.83787,NA
M494.565T1422.678,2.433,0.65667,0.18265,0.83787,NA
M722.58T1595.75,2.4316,0.65693,0.18248,0.83787,NA
M841.523T1305.07,2.4295,0.6573,0.18224,0.83787,NA
M521.208T925.1,2.4265,0.65784,0.18188,0.83787,NA
M967.716T1446.028,2.4257,0.65799,0.18178,0.83787,NA
M276.933T414.788,2.424,0.6583,0.18158,0.83787,NA
M743.434T1372.484,2.4204,0.65894,0.18116,0.83821,NA
M426.382T1540.699,2.4181,0.65935,0.18088,0.83828,NA
M250.943T64.43,2.4075,0.66127,0.17962,0.84025,NA
M834.581T1591.283,2.4054,0.66165,0.17937,0.84027,NA
M701.596T1544.095,2.399,0.6628,0.17862,0.84042,NA
M967.58T1390.374,2.3986,0.66287,0.17857,0.84042,NA
M508.544T1507.08,2.3986,0.66287,0.17857,0.84042,NA
M395.255T1390.374,2.3953,0.66347,0.17818,0.84071,NA
M1002.709T1624.867,2.3902,0.66441,0.17757,0.84143,NA
M430.319T1390.137,2.3828,0.66573,0.1767,0.84265,NA
M907.627T1557.26,2.3724,0.66763,0.17547,0.84458,NA
M563.402T1408.532,2.37,0.66806,0.17518,0.84466,NA
M533.357T1207.169,2.3617,0.66957,0.17421,0.8461,NA
M523.599T1382.768,2.3526,0.67121,0.17314,0.84711,NA
M799.256T845.172,2.3513,0.67145,0.17299,0.84711,NA
M430.319T1312.999,2.35,0.67169,0.17283,0.84711,NA
M938.605T1475.069,2.3456,0.67247,0.17233,0.84711,NA
M857.578T1508.978,2.3455,0.6725,0.17231,0.84711,NA
M881.568T1457.816,2.345,0.67259,0.17225,0.84711,NA
M333.151T715.669,2.3415,0.67323,0.17184,0.84746,NA
M451.243T1439.78,2.3272,0.67582,0.17017,0.85022,NA
M916.584T1523.593,2.3253,0.67617,0.16995,0.85022,NA
M565.563T1608.07,2.321,0.67695,0.16944,0.85071,NA
M902.575T1473.64,2.3191,0.6773,0.16922,0.85071,NA
M820.502T1525.061,2.3123,0.67853,0.16843,0.85145,NA
M787.545T1575.098,2.3096,0.67902,0.16812,0.85145,NA
M655.419T1280.542,2.3079,0.67933,0.16792,0.85145,NA
M325.161T1474.624,2.3077,0.67937,0.16789,0.85145,NA
M425.215T1625.274,2.3009,0.68061,0.1671,0.85161,NA
M653.413T1377.63,2.3009,0.68061,0.1671,0.85161,NA
M716.614T1523.905,2.3008,0.68062,0.16709,0.85161,NA
M665.513T1641.124,2.2912,0.68238,0.16598,0.85334,NA
M1025.562T1190.664,2.2784,0.6847,0.1645,0.85578,NA
M829.58T1573.977,2.2705,0.68615,0.16358,0.85712,NA
M898.573T1506.898,2.2671,0.68677,0.16319,0.85743,NA
M305.242T1373.292,2.2643,0.68727,0.16287,0.85747,NA
M861.571T1506.859,2.2628,0.68755,0.1627,0.85747,NA
M529.366T1421.943,2.2567,0.68867,0.16199,0.85816,NA
M503.293T1473.286,2.2557,0.68885,0.16188,0.85816,NA
M810.525T1675.036,2.2515,0.68961,0.1614,0.85864,NA
M504.265T1099.137,2.2459,0.69063,0.16075,0.85944,NA
M267.266T1390.374,2.2388,0.69193,0.15994,0.86027,NA
M931.575T1641.676,2.2337,0.69287,0.15935,0.86027,NA
M904.645T1601.965,2.2325,0.69308,0.15922,0.86027,NA
M599.276T1170.704,2.2325,0.69309,0.15921,0.86027,NA
M489.39T1540.701,2.232,0.69318,0.15915,0.86027,NA
M439.318T1571.719,2.2287,0.69378,0.15878,0.86027,NA
M913.563T1454.879,2.226,0.69428,0.15847,0.86027,NA
M351.184T1174.288,2.2232,0.69478,0.15815,0.86027,NA
M929.566T1475.069,2.2222,0.69496,0.15804,0.86027,NA
M643.444T1405.963,2.2195,0.69546,0.15773,0.86027,NA
M697.596T1595.75,2.2186,0.69562,0.15763,0.86027,NA
M1123.852T834.347,2.2177,0.6958,0.15752,0.86027,NA
M775.258T842.567,2.2142,0.69644,0.15712,0.86059,NA
M547.412T1341.992,2.2109,0.69703,0.15675,0.86086,NA
M369.19T1295.888,2.2074,0.69767,0.15635,0.86119,NA
M658.504T1422.678,2.2048,0.69816,0.15605,0.86132,NA
M881.57T1435.939,2.1995,0.69913,0.15544,0.86206,NA
M313.161T1621.4,2.1971,0.69956,0.15518,0.86212,NA
M481.362T1591.564,2.1935,0.70022,0.15477,0.86248,NA
M332.329T1556.14,2.1821,0.7023,0.15348,0.86458,NA
M679.391T1153.775,2.1784,0.70299,0.15305,0.86485,NA
M339.172T1490.329,2.1768,0.70328,0.15287,0.86485,NA
M545.456T1607.833,2.171,0.70435,0.15221,0.865,NA
M825.582T1428.316,2.1698,0.70455,0.15209,0.865,NA
M929.562T1512.438,2.1689,0.70472,0.15198,0.865,NA
M815.568T1575.234,2.1679,0.70491,0.15186,0.865,NA
M343.88T1825.664,2.164,0.70563,0.15142,0.86542,NA
M435.346T1540.43,2.1554,0.70721,0.15045,0.86654,NA
M439.326T1591.494,2.1549,0.7073,0.1504,0.86654,NA
M629.509T1624.418,2.1498,0.70823,0.14983,0.86721,NA
M477.398T1574.327,2.1425,0.70957,0.14901,0.868,NA
M686.443T1641.482,2.1421,0.70963,0.14897,0.868,NA
M356.286T1369.526,2.1374,0.71051,0.14843,0.86861,NA
M533.359T1187.622,2.1352,0.71091,0.14818,0.86864,NA
M351.208T1439.835,2.129,0.71205,0.14749,0.86919,NA
M699.593T1406.45,2.1257,0.71265,0.14712,0.86919,NA
M341.269T1269.605,2.1251,0.71277,0.14705,0.86919,NA
M875.59T1584.638,2.1244,0.71288,0.14698,0.86919,NA
M305.302T1540.694,2.1186,0.71395,0.14633,0.87003,NA
M496.341T1238.352,2.1141,0.71478,0.14583,0.87058,NA
M405.264T1204.461,2.1037,0.7167,0.14466,0.87245,NA
M385.183T1439.992,2.0908,0.71906,0.14323,0.87424,NA
M501.275T1492.083,2.089,0.7194,0.14303,0.87424,NA
M993.569T1356.685,2.088,0.71957,0.14293,0.87424,NA
M688.591T1657.822,2.0874,0.7197,0.14285,0.87424,NA
M609.483T1341.992,2.0823,0.72063,0.14229,0.87491,NA
M738.263T893.689,2.0775,0.72151,0.14176,0.87552,NA
M999.712T1325.086,2.0754,0.7219,0.14152,0.87553,NA
M566.557T1576.856,2.0725,0.72243,0.14121,0.8757,NA
M691.433T1253.346,2.0676,0.72332,0.14067,0.87602,NA
M487.775T1256.694,2.0647,0.72385,0.14035,0.87602,NA
M505.254T1019.35,2.0631,0.72416,0.14016,0.87602,NA
M343.221T1438.11,2.0626,0.72425,0.14011,0.87602,NA
M567.43T1621.712,2.0601,0.7247,0.13984,0.87602,NA
M609.414T1438.489,2.0531,0.72599,0.13907,0.87602,NA
M851.596T1523.593,2.0508,0.72642,0.13881,0.87602,NA
M914.568T1523.568,2.0503,0.72651,0.13876,0.87602,NA
M875.588T1557.588,2.0463,0.72724,0.13832,0.87602,NA
M600.417T1406.141,2.0457,0.72736,0.13825,0.87602,NA
M643.447T1372.623,2.0433,0.7278,0.13799,0.87602,NA
M388.255T1573.977,2.0428,0.7279,0.13793,0.87602,NA
M879.468T1338.726,2.0424,0.72795,0.1379,0.87602,NA
M697.593T1624.559,2.041,0.72822,0.13774,0.87602,NA
M1007.555T1186.469,2.0399,0.72843,0.13761,0.87602,NA
M927.612T1474.354,2.0323,0.72982,0.13678,0.87724,NA
M357.157T1003.085,2.0253,0.7311,0.13602,0.87832,NA
M621.24T920.434,2.0174,0.73255,0.13516,0.8796,NA
M623.287T1439.965,2.0124,0.73347,0.13462,0.88024,NA
M700.599T1463.866,1.9953,0.73663,0.13275,0.88299,NA
M939.607T1601.965,1.9949,0.7367,0.13271,0.88299,NA
M855.591T1523.593,1.9937,0.73692,0.13258,0.88299,NA
M313.164T1450.838,1.9887,0.73784,0.13204,0.88363,NA
M1007.556T1256.694,1.9838,0.73874,0.13151,0.88412,NA
M387.236T1123.32,1.9823,0.73902,0.13134,0.88412,NA
M494.565T1319.161,1.9799,0.73945,0.13109,0.88418,NA
M943.576T1440.166,1.9704,0.7412,0.13006,0.88581,NA
M546.448T1604.382,1.963,0.74257,0.12926,0.88654,NA
M700.613T1641.124,1.9617,0.7428,0.12913,0.88654,NA
M694.551T1421.645,1.956,0.74386,0.12851,0.88654,NA
M669.531T1507.08,1.9538,0.74426,0.12827,0.88654,NA
M449.347T1490.033,1.9535,0.74432,0.12824,0.88654,NA
M725.552T1574.274,1.9533,0.74434,0.12823,0.88654,NA
M512.821T1418.36,1.9512,0.74474,0.128,0.88654,NA
M707.272T940.951,1.9484,0.74525,0.1277,0.88654,NA
M395.217T1369.501,1.9477,0.74538,0.12762,0.88654,NA
M373.363T1574.274,1.9436,0.74613,0.12719,0.88654,NA
M513.351T1439.707,1.943,0.74625,0.12712,0.88654,NA
M463.37T1506.898,1.9418,0.74646,0.12699,0.88654,NA
M646.595T1574.327,1.9397,0.74685,0.12676,0.88655,NA
M419.316T1593.794,1.9268,0.74922,0.12539,0.8889,NA
M559.381T1440.166,1.9209,0.7503,0.12477,0.88948,NA
M401.214T1557.26,1.9183,0.75078,0.12449,0.88948,NA
M330.262T1456.934,1.9128,0.75179,0.1239,0.88948,NA
M929.561T1641.676,1.9121,0.75193,0.12383,0.88948,NA
M416.157T975.822,1.9104,0.75224,0.12365,0.88948,NA
M385.184T1473.566,1.9103,0.75226,0.12363,0.88948,NA
M961.302T847.893,1.908,0.75268,0.12339,0.88948,NA
M476.38T1456.538,1.9041,0.75339,0.12298,0.88948,NA
M554.462T1657.822,1.8996,0.75421,0.12251,0.88948,NA
M381.31T1573.977,1.8973,0.75464,0.12226,0.88948,NA
M810.531T1659.646,1.8967,0.75475,0.1222,0.88948,NA
M622.23T911.332,1.8967,0.75475,0.1222,0.88948,NA
M447.35T1507.107,1.8967,0.75476,0.12219,0.88948,NA
M385.291T1472.833,1.8934,0.75537,0.12184,0.88968,NA
M708.511T1659.486,1.8915,0.7557,0.12165,0.88968,NA
M747.513T1691.813,1.8851,0.75689,0.12097,0.89061,NA
M988.58T1323.85,1.8822,0.75741,0.12067,0.89077,NA
M469.421T1521.98,1.8756,0.75862,0.11997,0.89169,NA
M311.143T1624.867,1.8725,0.7592,0.11965,0.89169,NA
M779.628T1605.092,1.8716,0.75936,0.11955,0.89169,NA
M339.335T1490.042,1.8509,0.76315,0.11739,0.89502,NA
M572.541T1526.07,1.8503,0.76326,0.11733,0.89502,NA
M938.6T1518.016,1.8498,0.76336,0.11727,0.89502,NA
M882.581T1540.697,1.8468,0.76391,0.11696,0.89521,NA
M325.16T1604.382,1.8426,0.76469,0.11652,0.89527,NA
M331.187T1136.851,1.8422,0.76475,0.11648,0.89527,NA
M305.245T1356.47,1.8204,0.76875,0.11422,0.89949,NA
M687.446T1352.626,1.8125,0.77019,0.1134,0.90026,NA
M551.445T1525.109,1.8125,0.77019,0.1134,0.90026,NA
M293.131T985.458,1.8004,0.77241,0.11215,0.90239,NA
M709.527T1642.128,1.7923,0.77388,0.11132,0.90338,NA
M719.587T1557.548,1.7901,0.7743,0.11109,0.90338,NA
M281.247T1473.551,1.7878,0.77471,0.11086,0.90338,NA
M684.476T1302.601,1.7871,0.77483,0.11079,0.90338,NA
M809.528T1642.498,1.7707,0.77783,0.10912,0.906,NA
M399.308T1262.042,1.7686,0.77822,0.1089,0.906,NA
M587.443T1574.815,1.7646,0.77895,0.10849,0.906,NA
M991.723T1642.233,1.7626,0.77932,0.10829,0.906,NA
M792.472T1524.351,1.7618,0.77946,0.10821,0.906,NA
M623.282T1454.879,1.7582,0.78012,0.10784,0.906,NA
M547.366T1373.389,1.7575,0.78024,0.10777,0.906,NA
M842.589T1574.486,1.7575,0.78025,0.10777,0.906,NA
M530.251T1067.757,1.7506,0.7815,0.10707,0.90622,NA
M881.574T1540.566,1.7477,0.78204,0.10677,0.90622,NA
M967.557T1267.284,1.7469,0.78219,0.10669,0.90622,NA
M749.502T1458.08,1.7433,0.78284,0.10633,0.90622,NA
M441.315T1442.696,1.7425,0.78298,0.10625,0.90622,NA
M787.545T1557.515,1.7417,0.78313,0.10617,0.90622,NA
M421.257T1059.952,1.7413,0.7832,0.10613,0.90622,NA
M700.598T1389.773,1.7305,0.78516,0.10504,0.90803,NA
M658.504T1389.113,1.727,0.78582,0.10468,0.90833,NA
M517.372T1212.039,1.7089,0.7891,0.10287,0.9115,NA
M469.321T1405.986,1.705,0.78981,0.10248,0.9115,NA
M485.356T1624.705,1.7044,0.78993,0.10241,0.9115,NA
M643.504T1506.823,1.7029,0.79019,0.10227,0.9115,NA
M395.288T1490.071,1.6989,0.79091,0.10187,0.9115,NA
M788.544T1540.701,1.6987,0.79095,0.10185,0.9115,NA
M409.23T1490.054,1.6873,0.79303,0.10071,0.91318,NA
M659.432T1389.647,1.6863,0.7932,0.10062,0.91318,NA
M477.343T1423.013,1.6787,0.79459,0.099857,0.91382,NA
M979.613T1608.07,1.6786,0.7946,0.09985,0.91382,NA
M256.265T1540.694,1.6749,0.79528,0.099481,0.91382,NA
M1028.737T1341.992,1.6724,0.79573,0.099233,0.91382,NA
M463.371T1540.701,1.6722,0.79576,0.099219,0.91382,NA
M604.473T1540.694,1.6675,0.79661,0.098754,0.91435,NA
M351.181T1136.851,1.6605,0.79787,0.098067,0.9144,NA
M1007.556T1222.223,1.6597,0.79803,0.097981,0.9144,NA
M299.109T1473.429,1.6592,0.79812,0.09793,0.9144,NA
M893.611T1557.26,1.6581,0.79832,0.097825,0.9144,NA
M423.273T1204.064,1.6546,0.79894,0.097487,0.9144,NA
M387.249T1423.063,1.654,0.79905,0.097427,0.9144,NA
M371.166T1458.08,1.6512,0.79955,0.097153,0.91452,NA
M385.183T1625.289,1.6468,0.80035,0.09672,0.91497,NA
M293.172T1591.081,1.6442,0.80082,0.096466,0.91505,NA
M395.29T1621.712,1.64,0.80158,0.096053,0.91546,NA
M347.221T1237.746,1.6271,0.80391,0.094794,0.91766,NA
M484.402T1523.787,1.6208,0.80504,0.09418,0.91796,NA
M705.429T1355.337,1.6197,0.80524,0.094072,0.91796,NA
M651.409T1195.638,1.619,0.80536,0.094007,0.91796,NA
M652.416T1356.524,1.6098,0.80702,0.093115,0.91905,NA
M666.518T1659.646,1.6076,0.80743,0.092898,0.91905,NA
M341.283T1305.932,1.6066,0.80761,0.092799,0.91905,NA
M820.506T1574.276,1.6048,0.80793,0.092626,0.91905,NA
M669.539T1543.447,1.6008,0.80865,0.092242,0.91936,NA
M600.449T1506.859,1.5966,0.80941,0.091833,0.91936,NA
M879.622T1574.486,1.5966,0.80941,0.091833,0.91936,NA
M284.201T1481.744,1.5926,0.81012,0.091452,0.91961,NA
M445.364T1523.593,1.5899,0.81061,0.09119,0.91961,NA
M673.432T1355.711,1.5885,0.81085,0.091058,0.91961,NA
M599.434T1456.538,1.5857,0.81136,0.090787,0.91961,NA
M893.613T1591.283,1.5842,0.81163,0.09064,0.91961,NA
M385.182T1540.093,1.5748,0.81331,0.089742,0.92106,NA
M594.595T1557.404,1.5693,0.8143,0.089217,0.92153,NA
M715.229T800.587,1.568,0.81454,0.089089,0.92153,NA
M737.173T1002.572,1.5628,0.81546,0.088595,0.92173,NA
M563.5T1269.605,1.5608,0.81583,0.088402,0.92173,NA
M602.51T1575.45,1.5587,0.8162,0.088201,0.92173,NA
M927.575T1456.538,1.558,0.81632,0.088141,0.92173,NA
M588.498T1591.739,1.5501,0.81773,0.087393,0.92188,NA
M721.498T1439.586,1.5484,0.81803,0.087233,0.92188,NA
M355.282T1278.929,1.5473,0.81824,0.087121,0.92188,NA
M874.548T1573.977,1.5442,0.81878,0.086835,0.92188,NA
M433.101T1293.719,1.5406,0.81943,0.086489,0.92188,NA
M569.451T1621.712,1.5404,0.81945,0.086476,0.92188,NA
M401.342T1557.26,1.5402,0.81949,0.086457,0.92188,NA
M548.503T1657.822,1.5392,0.81967,0.08636,0.92188,NA
M641.446T1339.403,1.5356,0.82032,0.086016,0.92199,NA
M572.502T1624.418,1.5341,0.82058,0.085881,0.92199,NA
M327.231T1624.498,1.5295,0.8214,0.085444,0.92247,NA
M1005.547T1177.551,1.5206,0.82298,0.084611,0.92258,NA
M883.49T1163.004,1.5202,0.82305,0.084574,0.92258,NA
M790.519T1321.956,1.5201,0.82307,0.084562,0.92258,NA
M887.58T1641.676,1.5199,0.82311,0.084542,0.92258,NA
M967.614T1358.969,1.51,0.82486,0.083619,0.92377,NA
M395.294T1607.927,1.5092,0.825,0.083544,0.92377,NA
M547.382T1348.634,1.5071,0.82539,0.083341,0.92377,NA
M372.363T1453.652,1.5017,0.82635,0.082838,0.9242,NA
M515.345T1308.231,1.5004,0.82658,0.082717,0.9242,NA
M433.101T1389.086,1.4868,0.82898,0.081457,0.92603,NA
M563.503T1355.746,1.4865,0.82902,0.081433,0.92603,NA
M876.617T1570.854,1.466,0.83265,0.079536,0.92963,NA
M812.504T1608.07,1.4529,0.83494,0.078342,0.93174,NA
M458.26T1559.927,1.4481,0.83579,0.077901,0.93209,NA
M602.509T1557.998,1.4462,0.83612,0.07773,0.93209,NA
M764.518T1295.888,1.4442,0.83648,0.077545,0.93209,NA
M1143.683T1424.253,1.4399,0.83722,0.077158,0.93243,NA
M943.585T1341.992,1.4378,0.8376,0.076962,0.93243,NA
M284.199T1509.25,1.4237,0.84007,0.075685,0.93432,NA
M303.179T1456.078,1.4234,0.84011,0.075663,0.93432,NA
M842.586T1446.028,1.4176,0.84113,0.075136,0.9348,NA
M283.277T1455.311,1.4122,0.84207,0.07465,0.9348,NA
M524.359T1643.061,1.4103,0.84241,0.074478,0.9348,NA
M1023.555T1146.934,1.41,0.84245,0.074454,0.9348,NA
M913.567T1470.553,1.407,0.84298,0.074181,0.9348,NA
M881.576T1491.938,1.4069,0.84299,0.074177,0.9348,NA
M256.263T1575.098,1.4002,0.84417,0.073572,0.9352,NA
M701.547T1638.372,1.4002,0.84417,0.073571,0.9352,NA
M943.582T1475.069,1.3934,0.84534,0.072971,0.93604,NA
M965.539T1305.274,1.3903,0.84587,0.072695,0.93618,NA
M571.411T1441.156,1.3843,0.84691,0.07216,0.93688,NA
M959.579T1341.992,1.3781,0.84799,0.071611,0.93761,NA
M332.331T1472.833,1.3726,0.84894,0.071122,0.93789,NA
M643.527T1558.978,1.3714,0.84916,0.071012,0.93789,NA
M949.601T1512.562,1.3677,0.84979,0.070687,0.93789,NA
M944.587T1458.08,1.363,0.85059,0.070279,0.93789,NA
M395.292T1508.139,1.3627,0.85065,0.07025,0.93789,NA
M993.719T1518.016,1.3611,0.85092,0.07011,0.93789,NA
M937.305T817.469,1.3593,0.85124,0.069946,0.93789,NA
M1008.558T1238.755,1.3564,0.85173,0.069699,0.93789,NA
M365.192T1471.536,1.3553,0.85192,0.0696,0.93789,NA
M534.317T1573.977,1.3485,0.8531,0.069,0.93857,NA
M730.537T1371.065,1.347,0.85336,0.068867,0.93857,NA
M512.377T1621.712,1.3321,0.85591,0.06757,0.94093,NA
M373.367T1542.077,1.3219,0.85765,0.066692,0.94185,NA
M566.426T1641.413,1.3206,0.85788,0.066574,0.94185,NA
M701.546T1456.786,1.3199,0.85799,0.06652,0.94185,NA
M385.183T1403.322,1.2868,0.86362,0.063679,0.94718,NA
M943.585T1584.638,1.2865,0.86367,0.063654,0.94718,NA
M393.294T1406.263,1.2822,0.86438,0.063294,0.94751,NA
M826.523T1305.342,1.2705,0.86636,0.062299,0.94923,NA
M699.455T1339.403,1.2675,0.86686,0.062049,0.94932,NA
M876.605T1557.26,1.262,0.86778,0.061589,0.94988,NA
M469.3T1440.275,1.2562,0.86877,0.061097,0.9505,NA
M898.576T1540.43,1.245,0.87064,0.06016,0.9521,NA
M411.287T1496.037,1.2398,0.87151,0.05973,0.95252,NA
M372.364T1625.538,1.2374,0.87191,0.059528,0.95252,NA
M567.432T1641.413,1.2332,0.87261,0.059179,0.95252,NA
M886.576T1624.867,1.2327,0.87269,0.059139,0.95252,NA
M602.477T1571.719,1.2288,0.87333,0.058821,0.95276,NA
M469.324T1556.958,1.2211,0.87461,0.058186,0.9537,NA
M651.412T1308.125,1.2125,0.87603,0.057481,0.9548,NA
M834.484T1538.362,1.2092,0.87658,0.05721,0.95494,NA
M1011.712T1478.407,1.2048,0.8773,0.056851,0.95506,NA
M1083.693T1308.231,1.2035,0.87752,0.056744,0.95506,NA
M273.891T1991.413,1.1939,0.8791,0.055963,0.95553,NA
M506.357T1325.086,1.1932,0.87922,0.055902,0.95553,NA
M297.239T1626.197,1.1897,0.87979,0.05562,0.95553,NA
M463.374T1523.897,1.1897,0.87979,0.05562,0.95553,NA
M881.577T1523.839,1.1882,0.88004,0.055497,0.95553,NA
M409.12T816.318,1.1844,0.88066,0.05519,0.9557,NA
M427.301T1423.014,1.1821,0.88103,0.055009,0.9557,NA
M838.515T1340.539,1.1775,0.8818,0.054632,0.95574,NA
M579.486T1558.522,1.1753,0.88215,0.054456,0.95574,NA
M643.5T1557.545,1.1743,0.88232,0.054375,0.95574,NA
M606.456T1348.634,1.1714,0.88278,0.054145,0.95578,NA
M949.6T1601.965,1.1689,0.88319,0.053944,0.95578,NA
M506.256T1389.363,1.1637,0.88404,0.053528,0.95625,NA
M311.153T1423.174,1.1606,0.88454,0.053283,0.95634,NA
M796.294T940.951,1.1547,0.8855,0.052812,0.95672,NA
M853.492T1222.109,1.1533,0.88573,0.052701,0.95672,NA
M395.288T1472.855,1.1492,0.88639,0.052374,0.95676,NA
M381.19T1440.054,1.1479,0.8866,0.052274,0.95676,NA
M494.563T1509.9,1.14,0.88787,0.051652,0.95704,NA
M963.69T1542.988,1.1388,0.88807,0.051551,0.95704,NA
M991.717T1439.372,1.1351,0.88866,0.051266,0.95704,NA
M876.621T1509.101,1.1281,0.88978,0.050716,0.95704,NA
M588.498T1608.622,1.1241,0.89043,0.0504,0.95704,NA
M602.477T1591.044,1.1206,0.89099,0.050128,0.95704,NA
M381.188T1626.129,1.1164,0.89166,0.049799,0.95704,NA
M902.586T1492.083,1.1164,0.89167,0.049798,0.95704,NA
M772.579T1708.588,1.1135,0.89212,0.049576,0.95704,NA
M327.176T1612.829,1.1129,0.89221,0.049531,0.95704,NA
M819.483T1052.14,1.1124,0.8923,0.04949,0.95704,NA
M603.466T1540.694,1.1094,0.89278,0.049257,0.95704,NA
M1006.55T1130.872,1.1072,0.89312,0.049089,0.95704,NA
M708.511T1644.207,1.1067,0.8932,0.04905,0.95704,NA
M949.6T1341.992,1.1064,0.89326,0.049021,0.95704,NA
M409.225T1624.962,1.1012,0.89407,0.048627,0.95704,NA
M881.484T1273.289,1.099,0.89444,0.048451,0.95704,NA
M938.605T1619.342,1.0989,0.89445,0.048443,0.95704,NA
M605.428T1389.921,1.095,0.89506,0.048147,0.95704,NA
M699.451T1372.842,1.0927,0.89543,0.047966,0.95704,NA
M951.603T1424.253,1.0914,0.89563,0.04787,0.95704,NA
