"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M1326.883T1200.672",-0.00036357,-0.038195,0.027598,-0.018101,0.013127,0.016237,-0.06399,0.080081
"M700.309T1205.376",0.013718,-0.055987,0.015293,0.015571,0.02535,-0.019452,-0.0019156,0.020799
"M627.229T851.009",0.0367,0.013798,-0.017297,-0.021516,-0.025049,0.015132,-0.012943,0.01905
"M633.552T319.689",0.031041,-0.016863,-0.0040479,-0.0033821,-0.0046832,0.0095739,-0.013789,0.0087404
"M885.489T1408.277",0.024143,0.0008203,-0.014654,-0.0060715,0.022435,-0.035911,0.034619,0.0025413
"M845.458T1184.78",0.028505,-0.042955,0.0078765,0.020027,-0.032242,-0.010962,0.0082931,-0.0082482
"M1001.569T1093.359",0.027211,-0.0090994,-0.010797,-0.0020366,-0.0077064,-0.023311,0.0047398,0.033975
"M1028.185T1194.382",0.010341,-0.025749,-0.014774,-0.010816,-0.025307,0.047349,-0.015137,-0.0024983
"M645.124T781.203",0.031623,-0.0062513,-0.0067224,0.0056903,0.026016,-0.012427,-0.014299,0.012192
"M537.695T1290.37",0.013877,-0.031509,0.012534,0.0088503,-0.0023068,0.0051977,0.0043012,-0.015946
"M808.368T1195.332",0.014485,-0.051591,0.021876,-0.0030703,-0.00045278,0.022853,-0.0085614,0.0017336
"M942.469T1308.469",0.028188,-0.022633,0.013974,0.0060754,0.0030923,-0.019629,0.018485,-0.0094454
"M575.826T1054.493",0.021439,-0.037931,0.0047564,0.0045872,-0.00093376,-0.013066,-0.01029,0.0054841
"M453.17T879.981",0.022548,0.041636,0.017149,0.0012617,-0.0046069,-0.020809,0.05722,-0.017714
"M349.088T88.189",0.031458,0.0039159,0.026204,-0.0066712,-0.019076,0.0054966,-0.011715,-0.041112
"M421.069T767.549",0.03308,-0.032185,-0.0089538,0.019392,-0.0051007,-0.021293,0.013641,-0.013927
"M643.245T813.714",0.029756,0.013844,-0.0069132,-0.010662,-0.0021631,-0.00027215,-0.0030565,0.0034954
"M745.161T766.586",0.03404,-0.017448,-0.02086,0.0029512,-0.011875,0.010209,-0.015202,0.0015186
"M603.339T1194.269",0.025654,-0.042651,0.007493,0.031,-0.0033809,0.0047706,-0.005473,-0.0042153
"M1128.561T892.565",0.017815,-0.032535,0.0017548,-0.0013014,0.027377,-0.047422,0.060092,0.020204
"M875.523T1196.25",0.020248,-0.043705,0.014535,-0.0023071,-0.0026511,0.022241,-0.020969,-0.0022917
"M442.823T96.43",0.01761,-0.0042699,0.0057862,-0.014285,0.034708,-0.052913,0.0023769,-0.011756
"M316.508T323.984",0.031638,-0.035613,0.0010389,0.017079,-0.015311,0.0049579,0.007636,-0.0055137
"M698.005T988.342",0.030499,-0.041915,0.0068245,0.023024,-0.0074876,-0.0053335,0.0066371,-0.0092208
"M729.273T847.264",0.031681,0.0058421,0.0056477,0.0012978,0.0033728,-0.031686,0.0059512,-0.002743
"M417.764T850.924",0.038366,0.0045709,0.0048039,-0.0063796,-0.030441,0.028051,-0.017794,0.0072673
"M442.938T91.386",0.018321,-0.011941,-0.0033131,-0.017315,0.051302,-0.031751,0.0020254,0.021114
"M653.752T320.843",0.029815,-0.011152,-0.015891,-0.0016254,-0.0097507,0.00069545,-0.0085559,-0.0051009
"M683.129T316.242",0.038121,-0.013286,-0.0031784,0.0046019,-0.022421,0.021489,-0.0085839,0.0046876
"M924.454T1327.66",0.025259,-0.023602,0.013035,0.0066452,0.012557,-0.032564,0.013393,0.011713
"M653.783T316.318",0.034801,-0.021313,-0.0010711,0.016559,-0.031212,0.027056,-0.0089658,0.0019917
"M503.141T749.726",0.02285,-0.028072,0.033604,0.028229,0.0057073,-0.040061,0.014468,0.0087384
"M489.058T766.222",0.02775,-0.015294,-0.0043284,-0.010197,0.018364,-0.031073,0.023531,-0.009399
"M429.664T316.504",0.032215,-0.037059,-0.0078288,0.017517,-0.010506,0.0078749,0.0057151,-0.012334
"M455.098T785.732",0.025944,-0.042169,-0.00016048,0.015828,-0.0050279,-0.022591,0.011679,-0.01619
"M1047.557T895.369",0.026887,-0.02493,-0.014479,-0.0097178,0.022247,-0.038191,0.0093215,-0.0054125
"M327.108T784.235",0.031657,-0.020702,-0.00926,0.018094,0.0026161,-0.0086484,-0.011095,0.0028987
"M633.494T312.856",0.034903,-0.026207,-0.017144,0.010851,-0.030199,0.023908,-0.0066453,0.0055803
"M1074.386T1195.935",0.014092,-0.036642,-0.02214,-0.00093927,0.0075707,0.072903,-0.053286,-0.011609
"M1143.637T1195.221",0.022887,-0.047633,0.005135,0.019715,-0.012347,0.0089231,-0.020469,-0.018807
"M851.819T1425.446",0.027547,-0.014805,-0.010782,0.0056698,0.016482,-0.025908,0.020061,-0.0094822
"M530.968T106.005",0.0332,-0.023433,0.0054388,0.014215,-0.010723,0.00078841,0.0078962,-0.0081596
"M1009.607T1323.757",0.026674,-0.021487,-0.0086052,0.018207,-0.010104,-0.017513,0.035429,0.0056338
"M867.513T1306.189",0.027603,-0.032809,0.0025144,0.021374,-0.012083,-0.017494,0.020264,-0.0020949
"M653.717T312.26",0.034628,-0.025038,-0.017787,0.012487,-0.024614,0.037506,-0.012199,-0.0010078
"M1031.899T1225.646",0.022138,-0.013961,-0.00478,0.0084386,-0.00078572,-0.022583,0.022639,0.022675
"M1452.478T314.239",0.028946,0.016874,-0.018796,0.021444,-0.055108,0.038392,0.0047471,-0.0071163
"M297.119T136.686",0.031762,-0.030774,-0.0020442,0.021303,-0.016012,-0.0019975,0.017479,0.0043543
"M591.167T896.642",0.033339,-0.017653,0.0011538,0.022772,-0.017745,0.0013284,0.0082272,-0.0086575
"M781.218T930.113",0.020169,-0.0013944,0.023848,-0.019353,-0.0013805,-0.010466,0.030282,0.013225
"M236.093T125.57",0.0040277,-0.064529,0.027539,-0.021506,0.010046,0.015805,-0.0082058,0.0097291
"M517.159T795.678",0.025226,-0.0058432,0.0112,-0.00092606,0.020403,-0.02837,0.021523,-0.0010748
"M489.854T902.138",0.0031767,-0.016641,0.0096284,-0.0070478,-0.029089,0.0036614,0.015614,0.020614
"M769.419T945.253",0.025155,-0.009339,-0.010287,-0.0052784,0.015001,-0.019244,0.0040068,0.014628
"M1201.918T909.936",0.026573,-0.011367,-0.016013,-0.0052755,0.027821,-0.012598,-0.0028871,0.012663
"M1028.637T1187.508",0.024796,-0.043874,0.012934,0.01736,-0.019717,0.02482,-0.031281,0.010077
"M864.188T806.912",0.034086,-0.0086878,-0.010008,0.017119,-0.010196,-0.013437,-0.002768,-0.0027319
"M865.489T1291.829",0.029764,-0.028853,-0.0030644,0.031707,-0.02081,-0.018125,0.028772,0.0021284
"M799.191T949.166",0.026836,-0.0097444,0.0082777,-0.011427,0.03418,-0.021705,-0.0047132,0.0036908
"M920.512T1327.64",0.026897,-0.034592,0.0048476,0.022483,-0.012635,-0.025005,0.012584,0.0041689
"M1265.573T897.223",0.027379,-0.044333,-0.00099324,0.0035009,0.0086765,-0.011407,0.004558,-0.013963
"M1263.489T907.902",0.02879,-0.034469,-0.0010098,0.023954,0.0057609,0.0039573,-0.0080958,-0.0043838
"M809.13T1195.374",0.013117,-0.033643,0.020373,-0.017899,-0.010423,0.025509,-0.031339,0.016391
"M611.295T772.909",0.019813,-0.0087823,0.0056048,-0.0068646,0.059722,-0.013466,0.034434,-0.038591
"M504.146T749.726",0.016607,-0.021389,0.032509,0.018292,0.038893,-0.045162,0.012541,0.01655
"M1285.466T316.098",0.022317,-0.024822,-0.043536,-0.014325,-0.0047417,0.0053276,-0.014137,0.064811
"M1141.612T1194.343",0.022173,-0.048872,-0.018916,0.031138,-0.015989,0.033715,-0.026926,-0.034226
"M1028.412T1193.412",0.01534,-0.0276,0.0079421,0.0031159,0.009155,0.0023352,-0.03675,-0.05207
"M412.91T65.205",0.0077526,-0.0013087,0.017605,-0.02118,0.051523,-0.038108,0.0090626,0.01287
"M851.879T1330.864",0.027006,-0.03096,0.0045673,0.015295,0.010875,-0.023636,0.01327,0.0063499
"M451.174T880.577",0.038785,0.010137,-0.029704,0.011334,-0.024715,0.0097208,0.012467,-0.0069514
"M405.08T802.267",0.023404,-0.033849,0.0026635,0.0073308,0.027598,-0.032368,0.0068011,0.0065593
"M309.119T137.634",0.03051,-0.007271,0.00085649,-0.0036191,9.5696e-05,-0.011473,0.013498,0.0017558
"M385.077T746.611",0.026297,-0.034219,-0.0059935,0.014962,0.024337,-0.00059824,-0.0085682,0.019919
"M287.071T1080.355",0.029323,0.02594,-0.012133,0.014693,-0.028478,0.019547,0.042323,0.058954
"M192.103T133.173",0.022095,-0.04206,0.00079164,0.007868,0.01873,-0.015169,-0.015343,0.021834
"M1030.642T1193.369",0.028541,-0.02541,-0.016396,0.0039764,-0.0064334,0.010486,-0.014163,-0.007946
"M429.414T851.13",0.029828,-0.0087017,0.0095213,0.00022143,-0.0056134,-0.0052237,0.0055552,-0.00371
"M808.023T1198.408",0.018952,-0.046738,0.01645,0.019941,0.0014206,0.019949,0.026187,0.0058327
"M1389.862T1193.369",0.015711,-0.029318,0.0046564,-0.021069,-0.015072,0.031655,-0.047048,0.014441
"M485.199T845.365",0.036104,-0.010999,0.01326,0.028845,-0.02985,0.0057457,0.014634,-0.0031734
"M423.898T65.661",0.0054847,0.0072217,-0.0046316,0.012698,-0.0049905,-0.0042256,0.032156,0.025002
"M337.186T949.475",0.024152,-0.014401,0.019335,0.0026115,-0.028642,0.011293,-0.0022336,-0.0024275
"M684.137T316.584",0.030556,-0.010887,-0.019678,-0.00084405,-0.02663,0.030067,-0.0077729,-0.0045357
"M723.577T942.094",0.025788,-0.010621,-0.0051244,0.014044,0.028957,-0.021931,0.0041986,-0.0070575
"M1096.003T892.843",0.024969,-0.031729,-0.0015356,-0.011692,0.012335,-0.00022153,-0.0031889,-0.013405
"M420.228T902.138",0.032177,0.021874,0.016183,0.0092641,-0.04052,0.0050027,0.025484,0.063105
"M677.303T904.97",0.022005,-0.022104,0.0039563,0.0034723,0.0080305,-0.0080211,-0.00448,-0.008405
"M1071.439T878.893",0.036439,0.0036764,-0.010528,0.0093059,-0.026052,0.0038224,0.01211,-0.0096741
"M1069.501T1402.821",0.030635,-0.033655,0.0085266,0.024334,-0.022154,-0.0070927,0.014746,-4.6129e-05
"M281.07T709.104",0.027323,-0.011509,0.015891,0.0041827,0.0084225,-0.015945,0.0084317,0.007928
"M562.073T1194.756",0.02279,-0.029204,-0.015796,-0.00013803,0.030092,0.0066877,-0.019894,0.0043846
"M561.649T1230.897",0.027106,-0.046881,0.0022171,0.027164,-0.019458,0.015673,-0.0080363,-0.011792
"M577.137T781.037",0.035464,-0.023097,-0.0028841,0.037442,0.00030171,0.0050319,-0.015145,0.0078358
"M1029.561T1129.699",0.025657,-0.026394,0.020821,-0.0022045,-0.00045967,-0.021147,0.0054374,0.01622
"M397.075T138.684",0.032227,-0.030755,0.0080016,0.023641,-0.01843,0.0039249,0.0094592,-0.011508
"M1029.237T1191.812",0.0070315,-0.0146,0.020241,-0.022428,0.00033371,0.025119,-0.071686,0.024878
"M575.957T1047.31",0.02745,-0.048008,0.015962,0.02114,-0.024244,0.0072577,-0.0083335,0.0092829
"M1014.043T1346.26",0.029441,-0.019499,-0.0077872,0.011584,-0.0069974,-0.014446,0.030305,0.00037882
"M299.652T1305.804",0.0045319,-0.0043273,0.057391,0.0039562,0.032413,-0.018619,-0.043534,0.028599
"M304.981T94.204",0.016071,-0.023415,0.038216,-0.0087992,0.052748,-0.037003,0.02238,-0.0070194
"M611.336T770.019",0.022021,-0.012374,-0.010923,-0.0060498,0.054174,-0.014954,0.025401,-0.029371
"M653.861T317.501",0.02978,0.00050723,-0.012463,-0.0038296,-0.0095079,-0.0046085,0.010299,0.0016541
"M375.104T216.821",0.027435,0.0017894,-0.0045448,-0.01011,0.031444,-0.024526,0.02315,0.0093997
"M384.097T310.658",0.037504,-0.035748,-0.001065,0.01901,-0.04063,0.025802,-0.00044666,-0.0035639
"M591.094T89.826",0.028222,0.0045892,-0.0089347,-0.00782,0.024906,-0.011869,-0.021476,0.0033501
"M1133.847T912.408",0.02568,-0.031803,0.0037442,0.019513,-0.0046198,-0.013921,0.013384,0.018444
"M351.085T316.423",0.035572,-0.035517,0.0023612,0.022752,-0.03782,0.016317,0.0025002,-0.00646
"M460.969T105.772",0.026112,-0.014473,0.0062349,-0.014281,0.025539,-0.023237,0.019891,-0.012319
"M241.033T103.182",0.02121,-0.025642,0.0077317,-0.0068631,0.036607,-0.043272,-0.0014395,-0.0043954
"M576.062T1050.158",0.028739,-0.043652,0.00882,0.012927,-0.020092,0.0071298,-0.00075639,0.0018928
"M1095.607T1194.413",0.023134,-0.044814,-0.012095,0.022992,-0.019553,0.019225,-0.022452,-0.017743
"M576.072T1051.61",0.020141,-0.038496,0.0088116,0.0050571,-0.0022091,-0.019208,-0.0006515,0.032617
"M665.267T889.419",0.030309,0.00030991,-0.0069854,0.0068564,0.014232,-0.019921,0.0098885,-0.0006875
"M653.678T322.941",0.029849,-0.026106,-0.0072536,0.01158,-0.012759,0.016212,-0.013774,0.022269
