"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X36.F9.3.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"M1076.649T1193.389"," 0.34095100"," 0.11210840"," 0.13094269"," 0.24029498"," 0.49988568"," 0.86565128"," 0.24853291","-0.48806799","-0.74030756"," 1.08495299"," 0.13019356"," 0.33382139","-0.10000083"," 0.36246669","-2.51215079","-0.07961098","-0.33931285","-0.09035059"
"M919.515T1328.715"," 0.04479038"," 0.04837333"," 0.35496658"," 0.26814987","-0.14107332"," 1.14828278"," 0.01761642","-0.03441728"," 0.08214526"," 0.56505612","-0.18788663"," 0.63703310","-0.17300923"," 0.20716537","-2.43475358","-0.10470426","-0.19471306","-0.10302186"
"M277.217T1196.341"," 0.39109989"," 0.27372912"," 0.09027378","-0.32997255"," 0.38838636"," 0.84606813","-0.12057861","-0.72019953","-1.00231799"," 0.82275394"," 0.09946314"," 0.56744015","-0.13044395"," 0.64062996","-0.77593668","-0.24328406","-0.21367996","-0.58343115"
"M655.999T943.196","-0.19377586","-0.54421854"," 0.38537559"," 0.25006301"," 0.43678594"," 1.30434236","-0.02225909","-0.12422503","-0.11879327"," 0.66682572","-0.17267925"," 0.45448663"," 0.24734530"," 0.04632679","-2.07196601","-0.08533783"," 0.15844808","-0.61674455"
"M565.05T98.887","-0.26790183"," 0.16285832"," 1.40739876"," 0.01284200","-0.04058169"," 1.19545567","-0.37663820","-0.49442912","-0.37978231"," 0.96371503","-0.11765665","-0.09347110","-0.36661570"," 0.05000907","-0.97719712","-0.37206244","-0.16577007","-0.14017262"
"M277.129T811.716","-0.45531261","-0.82839180"," 0.01112818","-0.19097912"," 0.00489746"," 1.34004342","-0.40595832"," 0.26784743","-0.04718529"," 0.49324069","-0.37986791"," 1.08326216"," 0.18198668"," 0.28204880","-0.88382121","-0.13753739","-0.19603707","-0.13936411"
"M655.038T106.771","-0.192404473"," 0.004384944"," 0.286856733"," 0.310781979"," 0.089342923"," 1.104608661"," 0.342701081","-0.417707952","-0.366404677"," 1.131245210","-0.002664817"," 0.334040560"," 0.041996920"," 0.154299651","-1.885127899","-0.390943207","-0.298941260","-0.246064375"
"M1075.647T1193.908"," 0.58791217"," 0.12900980"," 0.16247802"," 0.20965853"," 0.46072841"," 0.92271262"," 0.20275853","-0.49575934","-0.73252576"," 0.97171296"," 0.04699833"," 0.36195410","-0.07396461"," 0.38303856","-2.86526705","-0.08404963","-0.12369363","-0.06370201"
"M649.026T106.128","-0.032520254","-0.007327239"," 0.079418462"," 0.267188248"," 0.260659146"," 1.174163784"," 0.134908985","-0.140466600"," 0.070154624"," 0.819825536","-0.190010110"," 0.333300517"," 0.045512553"," 0.254476069","-2.543003743","-0.152712310","-0.248129552","-0.125438116"
"M1097.561T894.34","-0.06562135","-0.47079608"," 0.65582741","-0.04048079"," 0.06597868"," 1.62333108","-0.15825084","-0.44790442","-0.42469184"," 1.03046214","-0.14405457"," 0.73352078","-0.19156872","-0.03349635","-2.09842727"," 0.07010106","-0.16880415"," 0.06487523"
"M1014.585T1248.122","-0.179899958","-0.424882892"," 0.209154447"," 0.271006446"," 0.090908838"," 1.247669531","-0.002988977","-0.085596248"," 0.033304175"," 0.552213177","-0.007088815"," 0.580950652","-0.052453984"," 0.357322796","-2.205289715","-0.104672571","-0.218041926","-0.061614976"
"M868.517T1202.592"," 0.03419643","-0.02346731"," 0.47809813"," 0.36887008","-0.12202142"," 0.86669156","-0.16232445"," 0.05057244"," 0.01131328"," 0.60422624","-0.04125491"," 0.75684141","-0.16282422"," 0.28626993","-2.71360079","-0.11104130","-0.08284472","-0.03770038"
"M1015.588T1248.088"," 0.059460745","-0.278160274"," 0.206281874"," 0.298434566"," 0.175215052"," 1.136977209"," 0.002808371"," 0.010087063"," 0.088988229"," 0.511654369","-0.019698189"," 0.656841013","-0.047962633"," 0.354738600","-2.823210535","-0.059950537","-0.201864682","-0.070640240"
"M921.374T936.829","-0.08318725","-0.97164780"," 0.51984373","-0.21484537"," 0.30689199"," 1.03438194","-0.36826360","-0.05641327"," 0.06880014"," 0.61713744"," 0.06639673"," 0.64986348"," 0.15758821"," 0.53197779","-2.29968696"," 0.09708043"," 0.04450933","-0.10042695"
"M851.794T1356.146"," 0.02370913"," 0.05844812"," 0.16537954"," 0.32051700"," 0.06121488"," 1.19317487"," 0.05776583","-0.32100729"," 0.07818797"," 0.54623044"," 0.03848924"," 0.56068148","-0.10375803"," 0.16574436","-2.54054135","-0.07882533","-0.06305081","-0.16236006"
"M451.007T107.467","-0.22805799"," 0.06074096"," 0.28884902"," 0.16585474"," 0.13559528"," 1.25726551"," 0.14811346","-0.45150897"," 0.02240243"," 0.91805255","-0.09342306"," 0.33165365","-0.06835586"," 0.30855820","-1.84344360","-0.36536070","-0.34215917","-0.24477646"
"M808.919T1196.341","-1.05573513","-0.26821640"," 0.51844407"," 0.25957017","-0.08840708"," 0.59687116"," 0.30420724","-0.38864179","-0.44233446"," 0.84086910"," 0.89437642"," 0.66135203","-0.06202124","-0.03762679","-1.16927966","-0.18530499"," 0.40260890","-0.78073156"
"M1013.97T1244.591"," 0.06479197","-0.41458020","-0.02597657"," 0.17092284"," 0.21380252"," 1.26868436"," 0.11159168","-0.03901063","-0.14879054"," 0.64465749"," 0.15073886"," 0.71254827","-0.24752996"," 0.33045822","-2.35969893"," 0.04525724","-0.21672299","-0.26114361"
"M1100.582T1225.322","-0.006801484","-0.366791874"," 0.312148084"," 0.052966241"," 0.306215760"," 1.113670476","-0.208393992","-0.165527285"," 0.133423586"," 0.568429960"," 0.103779598"," 0.687286313"," 0.090753813"," 0.313260734","-2.594561048","-0.004963536","-0.188316020","-0.146579324"
