"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M613.983T886.617,1.8932,0.1717,0.76522,0.69292,First-tp_Fusarium - Other
M361.481T320.767,1.8926,0.1718,0.76498,0.69292,First-tp_Drought - Other
M951.343T881.927,1.8925,0.17182,0.76493,0.69292,""
M316.508T323.984,1.8922,0.17188,0.76477,0.69292,First-tp_Drought - Other
M655.189T778.866,1.8856,0.17304,0.76186,0.69292,First-tp_Fusarium - Other
M465.105T746.988,1.8847,0.1732,0.76146,0.69292,First-tp_Drought - Other
M703.247T844.715,1.8824,0.17362,0.7604,0.69292,First-tp_Drought - First-tp_Control
M523.18T894.843,1.8821,0.17366,0.7603,0.69292,First-tp_Drought - Other
M459.052T765.953,1.8797,0.1741,0.7592,0.69292,First-tp_Fusarium - Other
M593.926T757.244,1.8787,0.17427,0.75877,0.69292,First-tp_Fusarium - Other
M529.184T941.182,1.8771,0.17456,0.75804,0.69292,First-tp_Fusarium - Other
M633.146T772.656,1.874,0.17512,0.75666,0.69292,First-tp_Fusarium - Other
M849.51T1359.918,1.8733,0.17525,0.75633,0.69292,First-tp_Drought - Other
M1452.478T314.239,1.8718,0.17552,0.75568,0.69292,First-tp_Drought - First-tp_Control; First-tp_Drought - Other
M451.174T880.577,1.8712,0.17563,0.7554,0.69292,""
M873.638T939.705,1.8703,0.1758,0.75499,0.69292,""
M302.995T91.809,1.8668,0.17644,0.75341,0.69292,First-tp_Fusarium - Other
M1125.372T909.368,1.8663,0.17653,0.75319,0.69292,First-tp_Xanthomonas - First-tp_Control
M1103.415T879.391,1.8662,0.17655,0.75314,0.69292,""
M723.538T832.745,1.861,0.17749,0.75083,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other
M440.855T1728.569,1.8589,0.17786,0.74991,0.69292,""
M621.037T758.225,1.8587,0.17791,0.7498,0.69292,First-tp_Fusarium - Other
M941.508T1318.851,1.8587,0.17791,0.74979,0.69292,First-tp_Control - Other; First-tp_Drought - Other
M438.049T766.588,1.8571,0.17821,0.74907,0.69292,First-tp_Drought - Other
M352.831T96.52,1.855,0.17859,0.74815,0.69292,First-tp_Xanthomonas - Other
M489.125T757.244,1.8525,0.17904,0.74705,0.69292,First-tp_Fusarium - Other
M809.324T904.082,1.8488,0.17973,0.74538,0.69292,""
M399.065T319.722,1.8488,0.17974,0.74536,0.69292,First-tp_Fusarium - Other; First-tp_Xanthomonas - Other
M349.088T88.189,1.8481,0.17987,0.74504,0.69292,First-tp_Drought - First-tp_Control
M675.158T785.506,1.8473,0.18001,0.74471,0.69292,First-tp_Drought - Other
M627.83T1193.411,1.8454,0.18037,0.74382,0.69292,First-tp_Fusarium - Other
M785.11T833.266,1.8443,0.18058,0.74334,0.69292,""
M289.12T769.482,1.8423,0.18095,0.74244,0.69292,First-tp_Fusarium - Other
M421.069T767.549,1.842,0.181,0.74231,0.69292,First-tp_Drought - Other
M623.347T1299.275,1.8411,0.18117,0.74192,0.69292,First-tp_Drought - Other
M391.065T766.545,1.8403,0.18133,0.74154,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other
M545.298T995.647,1.8382,0.18172,0.74061,0.69292,First-tp_Fusarium - Other; First-tp_Xanthomonas - Other
M1701.804T908.08,1.8373,0.18189,0.7402,0.69292,First-tp_Xanthomonas - First-tp_Control
M433.716T806.299,1.8346,0.18239,0.73901,0.69292,""
M581.283T805.632,1.8338,0.18254,0.73865,0.69292,""
M708.241T861.396,1.8334,0.18261,0.73846,0.69292,""
M548.179T817.387,1.8309,0.1831,0.73731,0.69292,""
M613.696T886.351,1.8306,0.18315,0.73719,0.69292,First-tp_Fusarium - Other
M647.689T1159.779,1.8292,0.1834,0.73659,0.69292,First-tp_Xanthomonas - Other
M869.171T823.716,1.826,0.18402,0.73514,0.69292,First-tp_Fusarium - Other
M455.193T892.238,1.8234,0.18452,0.73395,0.69292,First-tp_Drought - Other
M763.121T89.636,1.8205,0.18508,0.73264,0.69292,First-tp_Drought - Other
M447.259T942.596,1.8198,0.18521,0.73233,0.69292,First-tp_Xanthomonas - Other
M924.351T839.79,1.8193,0.18531,0.73209,0.69292,""
M653.091T90.81,1.8173,0.18569,0.7312,0.69292,First-tp_Fusarium - First-tp_Control
M362.298T315.255,1.8152,0.1861,0.73025,0.69292,First-tp_Drought - Other
M764.865T68.038,1.815,0.18612,0.7302,0.69292,First-tp_Drought - Other
M489.058T766.222,1.8145,0.18622,0.72997,0.69292,First-tp_Drought - Other
M721.798T1122.035,1.813,0.18652,0.72927,0.69292,""
