"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"M309.118T727.508",0.025205,0.015472,0.0050139,0.0060227,0.002443,-0.0014764,-0.022668,-0.019346,0.00016025,-0.024803,-0.0097464,0.02343,-0.022272,0.00045181,0.020498,-0.008904,0.0099906,0.0025429
"M345.183T1137.887",0.026308,-0.0011391,0.014394,0.0052634,0.0026865,-0.018495,-0.0011723,0.0072288,0.019401,0.00076044,0.023006,0.0014969,0.0041698,0.00089868,-0.0068949,-0.0051308,-0.013964,8.6638e-05
"M1076.649T1193.389",0.02673,-0.010762,0.035305,-0.0057527,-0.013773,-0.0050946,0.018806,0.014958,0.0221,0.017223,-0.020768,-0.0021308,-0.016765,-0.0076362,0.0022937,-0.0077999,-0.0066187,0.0012549
"M919.515T1328.715",0.025574,0.00090096,0.033619,0.0056536,0.012016,0.0013212,-0.0077211,-0.015027,-0.0061487,-0.0066771,-0.0043737,0.0037502,-0.0033852,0.0016321,-0.0090778,-0.00073035,-0.0016658,-0.0013011
"M277.217T1196.341",0.014655,-0.017097,0.0081055,0.022622,-0.011507,0.01287,0.014605,0.039044,0.041277,0.015581,-0.02132,-0.021377,-0.018886,-0.0062006,-0.020089,-0.0021834,0.019858,0.0077997
"M655.999T943.196",0.026162,0.001317,0.014854,0.0031702,0.0068788,-0.014817,-0.0086277,0.0092056,0.0036889,-0.015743,0.0074541,-0.02184,-0.003256,0.012176,0.032419,-0.0035932,0.023497,0.00074818
"M565.05T98.887",0.01705,-0.013822,0.011218,0.036759,-0.040484,-0.01524,-0.023619,-0.0096663,0.0042016,-0.012455,0.013071,0.011263,-0.0020866,-0.011872,0.0025374,0.0039271,0.005095,-0.0022191
"M277.129T811.716",0.019478,0.0058745,-0.015442,0.016132,0.023953,0.014723,-0.020308,-0.0025018,-0.0051669,-0.017186,-0.025964,-0.019125,0.0041824,-0.0019775,0.0089535,-0.00015904,-0.0072824,0.0021628
"M655.038T106.771",0.023753,-0.013374,0.022075,0.0070017,-0.0097352,-0.0085617,0.015735,-0.0085496,0.0035804,-0.0087014,-0.0082029,-0.022054,-0.0046479,-0.010978,0.010154,0.0084625,-0.0063192,0.0024325
"M1075.647T1193.908",0.028873,-0.0076029,0.041749,-0.0085507,-0.008761,-0.0049561,0.013354,0.01616,0.023884,0.022543,-0.015742,0.0034249,-0.025646,-0.013188,-0.002434,-0.007974,0.012661,0.0078097
