"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M653.752T320.843",-0.034429,0.025015,-0.026183,0.015221,-0.0043351,0.015738,-0.0095503,-0.0031827
"M683.129T316.242",-0.042509,0.032308,-0.019735,0.01422,-0.01601,0.024144,-0.032797,-0.0014823
"M924.454T1327.66",-0.035561,0.0077015,-0.0024194,0.001221,0.011433,-0.019563,0.0028515,0.0043959
"M653.783T316.318",-0.044865,0.024032,-0.0020247,-0.00073803,-0.022017,0.02577,-0.010313,-0.0014803
"M503.141T749.726",-0.03612,-0.00063054,0.048516,-0.019099,0.016992,-0.017715,0.0044474,0.0040292
"M489.058T766.222",-0.035022,0.0092775,-0.016312,0.0063186,0.014471,-0.023709,0.0079682,0.0096466
"M429.664T316.504",-0.048801,0.013672,0.018444,-0.0010644,-0.012741,0.0096272,-0.010325,0.005494
"M455.098T785.732",-0.045601,0.0018819,0.019399,-0.0062544,-0.0021351,-0.0059607,0.0096965,-0.0072379
"M1047.557T895.369",-0.036528,0.013654,-0.013784,0.030642,-0.01262,-0.030969,0.014671,-0.0035542
"M327.108T784.235",-0.041096,0.01319,-0.01122,-0.0033544,-0.016216,0.0014738,0.05883,-0.017455
"M633.494T312.856",-0.04754,0.025161,-0.0027193,0.011427,-0.023536,0.021809,-0.0050555,-0.0040648
"M1074.386T1195.935",-0.037697,0.02481,-0.019231,-0.021423,0.015051,0.023559,-0.0077792,-0.014825
"M1143.637T1195.221",-0.0473,0.0088739,0.020599,-0.0059282,0.0029103,0.0019247,-0.0067861,-0.015726
"M851.819T1425.446",-0.035579,0.0087416,-0.00088315,0.02136,0.0015652,-0.01914,-0.0074686,0.0044711
"M530.968T106.005",-0.043267,0.018061,0.011143,-0.0048362,-0.0085907,0.0068479,-0.0094267,0.0052099
"M1009.607T1323.757",-0.038797,0.0023617,-0.0049804,0.020032,-0.0095306,0.0068367,-0.0017803,0.024359
"M867.513T1306.189",-0.043912,0.0046985,0.014362,0.0051948,-0.0049362,0.0035936,0.00040221,0.012249
"M653.717T312.26",-0.045904,0.0271,-0.008721,0.012632,-0.018944,0.039982,-0.014545,-0.0078013
"M1031.899T1225.646",-0.029479,0.0087309,0.0031541,0.024356,0.0019552,-0.012025,0.02404,0.033582
"M1452.478T314.239",-0.026655,0.019938,-0.032717,0.01793,-0.055874,0.03046,-0.03089,-0.0076485
"M297.119T136.686",-0.045663,0.010712,0.021903,-0.0071073,-0.01567,0.0093406,0.0061666,0.017536
"M591.167T896.642",-0.042016,0.017931,0.019907,-0.0049281,-0.022411,0.0040209,0.0075632,0.0082562
"M781.218T930.113",-0.01553,0.023412,-0.0076562,0.012496,0.017394,0.0031339,-0.022664,0.016009
"M236.093T125.57",-0.036765,-0.0031501,0.018944,-0.014687,0.035904,-0.0048055,0.0054514,-0.053096
"M517.159T795.678",-0.028318,0.011894,-0.0053238,0.0037504,0.014097,-0.020746,0.016316,-0.0032872
"M489.854T902.138",-0.020027,0.0040025,-0.035704,0.019633,0.042182,0.012766,-0.053287,0.021872
"M769.419T945.253",-0.029665,0.010493,-0.030691,0.0036316,0.0081353,-0.013538,0.031491,0.017527
"M1201.918T909.936",-0.029526,0.01856,-0.014766,0.0018746,0.0033827,-0.021176,0.0089389,0.0025339
"M1028.637T1187.508",-0.048701,0.015831,0.011521,-0.0033501,0.0083919,0.0074879,-0.014785,-0.023238
"M864.188T806.912",-0.037528,0.024225,-0.0015829,0.010426,-0.019183,0.0088731,-0.019689,0.018537
"M865.489T1291.829",-0.045742,0.0038972,0.016635,0.015014,-0.015814,0.010613,-0.0034312,0.023117
"M799.191T949.166",-0.027815,0.019029,-0.0097862,0.009099,0.024142,-0.016264,0.00011476,-0.015032
"M920.512T1327.64",-0.044336,0.0032204,0.013403,0.004076,-0.0073828,-0.0034553,0.0011024,0.0072619
"M1265.573T897.223",-0.045857,0.011204,0.01182,-0.0044089,0.0067697,0.0023456,-0.016058,-0.016105
"M1263.489T907.902",-0.044198,0.01149,0.036792,-0.0074139,-0.0079534,-0.0024326,-0.0079329,0.00087462
"M809.13T1195.374",-0.029716,0.020759,-0.019851,-0.013819,0.028186,0.0010657,-0.0094433,0.0054848
"M611.295T772.909",-0.01869,0.015352,0.0026952,0.016299,0.055474,0.007701,-0.032431,0.02659
"M504.146T749.726",-0.026359,-0.01126,0.0030651,-0.010869,0.038509,-0.018817,0.026362,0.0042164
"M1285.466T316.098",-0.034892,0.025688,-0.036212,0.050951,-0.0095341,0.028777,-0.0063926,0.029046
"M1141.612T1194.343",-0.051335,0.0061799,0.025777,-0.012519,-0.013761,0.011513,0.00064983,-0.0080591
"M1028.412T1193.412",-0.029717,0.012704,-0.012848,-0.0098928,0.024576,-0.00053589,-0.027025,-0.025679
"M412.91T65.205",-0.0031882,0.0042721,-0.0032513,0.015822,0.042591,-0.044426,-0.0036119,0.0027482
"M851.879T1330.864",-0.041353,0.0087612,0.01282,0.009048,0.009066,-0.015231,0.0047795,0.01369
"M451.174T880.577",-0.03413,0.0291,-0.020553,0.025113,-0.038252,0.034581,0.0037703,0.0032979
"M405.08T802.267",-0.037699,0.001389,0.0039281,-0.00085776,0.017387,-0.018973,0.018015,-0.017753
"M309.119T137.634",-0.034034,0.018177,-0.012946,0.007677,0.0021202,-0.0096325,-0.0064225,-0.0021657
"M385.077T746.611",-0.04193,0.0068948,-0.0020058,0.0019798,0.010387,0.0019827,-0.0033386,-0.013609
"M287.071T1080.355",-0.014106,0.027063,0.0095064,0.028526,-0.037103,0.024543,0.015207,0.097388
"M192.103T133.173",-0.040821,0.0047675,0.012597,0.00082507,0.0045815,-0.015655,0.016099,-0.0083686
"M1030.642T1193.369",-0.040727,0.018496,-0.015259,0.003224,-0.0064351,0.0023487,-0.0068766,-0.00017086
"M429.414T851.13",-0.032658,0.022113,-0.0045748,-0.0033179,0.0083215,-0.0022525,-0.03025,0.010888
"M808.023T1198.408",-0.042903,0.0018288,0.023926,-0.002177,0.031926,0.015943,0.004131,0.031077
"M1389.862T1193.369",-0.030646,0.027946,-0.034693,-0.0056729,0.014844,0.0046771,-0.013513,-0.005707
"M485.199T845.365",-0.04413,0.020865,0.023616,0.0056757,-0.018817,0.016135,-0.005545,0.0014336
"M423.898T65.661",-0.0031348,-0.0046385,0.0039208,0.029386,0.002183,0.016152,-0.044995,0.032931
"M337.186T949.475",-0.032075,0.027361,-0.021992,-0.00024395,-0.0033722,0.043324,0.0014718,0.02094
"M684.137T316.584",-0.036175,0.025636,-0.02722,0.010624,-0.020167,0.025924,-0.019976,0.0031429
"M723.577T942.094",-0.031002,0.0068751,-0.0065958,0.017542,-0.01538,-0.033052,0.010693,-0.004012
"M1096.003T892.843",-0.037726,0.022212,-0.012339,-0.0011025,0.010716,0.0056502,-0.0085624,-0.0068363
"M420.228T902.138",-0.021396,0.036594,0.0041957,0.033373,-0.028854,-0.009108,-0.015329,0.078272
"M677.303T904.97",-0.031117,0.011181,0.0099793,0.00041071,0.0003905,-0.01065,0.030657,-0.028635
"M1071.439T878.893",-0.035046,0.028619,0.0014275,0.011244,-0.030799,0.0059324,-0.0043001,0.0085379
"M1069.501T1402.821",-0.046666,0.0093496,0.028393,-0.0010429,-0.012,0.007802,0.0059305,0.01065
"M281.07T709.104",-0.030233,0.017864,0.013738,-0.010688,0.003792,-0.027025,0.0028498,0.046891
"M562.073T1194.756",-0.035447,0.017259,0.0069554,0.0028347,0.01506,-0.0059004,-0.01134,-0.0042257
"M561.649T1230.897",-0.049749,0.0079048,0.026058,-0.011837,-0.0062582,0.015188,-0.010132,-0.0058162
"M577.137T781.037",-0.046966,0.015069,0.019607,-0.008476,-0.020812,0.02839,0.013006,-0.0055495
"M1029.561T1129.699",-0.036752,0.011909,-0.013549,-0.0098367,0.0097691,-0.010074,-0.014523,0.0062863
"M397.075T138.684",-0.046639,0.011812,0.027561,-0.011466,-0.012148,0.010274,0.0044769,0.0088626
"M1029.237T1191.812",-0.017801,0.028012,-0.034162,-0.0043256,0.032246,-0.021263,-0.016489,-0.058626
"M575.957T1047.31",-0.050673,0.0091412,0.017298,-0.0089137,-4.7406e-05,0.015147,0.0019154,-0.0065529
"M1014.043T1346.26",-0.039731,0.0092782,-0.0050888,0.014257,-0.0039117,0.0027073,-0.0049447,0.028147
"M299.652T1305.804",0.00028599,0.037832,0.039258,0.0074654,0.044156,-0.013423,-0.001418,0.027273
"M304.981T94.204",-0.022623,0.0030205,0.005825,-0.0087884,0.05719,-0.039465,-0.00073496,0.0019904
"M611.336T770.019",-0.023878,0.016227,-0.00018623,0.023091,0.034831,-0.0015241,-0.035318,0.018743
"M653.861T317.501",-0.028861,0.024501,-0.033858,0.019606,-0.0053541,0.0099866,-0.023421,0.022188
"M375.104T216.821",-0.02427,0.019363,-0.021632,0.038133,0.020428,-0.015703,0.0012896,0.0069716
"M384.097T310.658",-0.053446,0.022608,0.015254,-0.0080741,-0.02431,0.029481,-0.015698,0.0054557
"M591.094T89.826",-0.022519,0.029193,-0.03491,0.016941,0.0015419,-0.011627,-0.000963,-0.011426
"M1133.847T912.408",-0.041617,0.0091462,0.024653,-0.015789,0.0078912,0.0044301,0.022341,0.0072748
"M351.085T316.423",-0.051888,0.017931,0.02114,-0.0087165,-0.022985,0.022022,-0.010083,0.0040601
"M460.969T105.772",-0.030152,0.015503,-0.010231,0.0081506,0.021641,-0.015836,0.0088308,0.011888
"M241.033T103.182",-0.02964,0.0078195,0.0030006,-0.0024463,0.027062,-0.037454,-0.0046942,-0.013088
"M576.062T1050.158",-0.049312,0.01064,0.012247,-0.0014786,0.0013507,0.011414,0.0015553,0.00023458
"M1095.607T1194.413",-0.047934,0.0072315,0.017688,-0.010725,-0.011506,0.004108,0.0048417,-0.0096791
"M576.072T1051.61",-0.04017,0.007765,-0.00038364,0.014432,0.017755,-0.0086156,0.0091634,0.00093485
