"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M372.36T1639.49","168833.1","208986.4","208986.4","223256.8","159417.6","316354.8","240285.5","206883.2","185052.3","240473.5","187653.4","181582.6","274131.6","171349.7","219850.7","340410.1","179440.7","187241.9","288183.6"
"M372.36T1624.16","192652.1","253304.5","253304.5","226110.4","182837.0","324090.9","290931.7","212489.1","198814.9","272029.5","215109.0","219154.4","261360.0","225390.8","259790.6","347178.3","204977.7","218009.7","327204.8"
"M380.92T18.56","15621.10","15907.89","15907.89","21438.12","23308.98","35861.84","20834.32","22805.38","24402.99","19518.67","22348.14","25887.43","24169.27","18606.26","17274.89","20943.69","24300.68","23463.26","23927.57"
"M382.31T1622.76","146575.1","160580.2","160580.2","164090.1","152704.3","106312.8","141594.3","156305.3","172504.0","163558.0","139292.2","153505.9","177194.3","153799.6","162236.9","121250.1","187109.8","182954.7","144488.7"
"M385.29T1369.89"," 423460.9"," 510284.3"," 510284.3"," 412582.2"," 720462.5"," 422022.7","1174897.3"," 432684.1"," 454051.6"," 606828.4"," 418367.2"," 856831.3"," 291328.6"," 318903.5"," 525261.9"," 696879.1"," 562915.0"," 240100.9"," 784662.2"
"M392.9T19.57"," 8035.007"," 8724.857"," 8724.857","10744.136","10122.840","11573.962","10762.555","10946.929","11540.518"," 9608.645","12235.540","12100.857","11431.932","10312.182"," 7485.376"," 9643.858","10080.150","10799.855","11579.355"
"M400.92T17.56"," 6267.292"," 7423.949"," 7423.949"," 8822.388"," 8498.211","13506.842"," 7111.319"," 7865.492"," 7111.333"," 6295.752"," 7532.247"," 8793.988"," 8815.842"," 7858.695"," 6096.936"," 7553.559"," 7100.204"," 7611.134"," 6928.158"
"M408.91T18.56","19354.28","22825.14","22825.14","28960.62","32214.35","30310.27","26577.49","28884.81","29311.67","24372.78","30589.49","30186.29","29337.51","22489.97","28360.01","23043.10","27885.41","30914.62","28238.46"
"M408.91T11.54","15717.813","12089.327","12089.327","15496.350","20800.214","17839.822"," 8722.088","16599.650","15626.740","15098.157","13904.825","15557.248","13808.045","14663.078","11366.451","10667.254","17200.026","17602.650","13520.371"
"M409.18T18.56","5992.151","8383.752","8383.752","9087.180","7072.113","7507.188","6218.632","8397.315","8659.902","6030.232","7171.343","8818.376","8473.942","8197.500","8342.372","7854.368","9327.900","8704.034","9307.840"
"M411.2T18.56"," 6860.398","10163.255","10163.255","11921.658","11661.752"," 8750.537","10492.441","10026.536"," 9904.422"," 7970.396","11602.006","11878.166","10511.525","11024.620","15786.009"," 9945.627","10044.042","11840.727","13107.903"
