"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M1447.22T13.55","9646.936","11302.683","11302.683","13043.012","12809.67","12427.7159","11973.814","12443.983","11227.443","11782.299","11700.634","12280.151","13286.272","11710.707","10343.957","10941.707","11197.924","12292.092","10463.911"
"M1447.46T13.54","10471.718","10629.041","10629.041","11091.174","10497.535","11778.9896","10579.807","10659.993","5609.708","11647.045","11037.956","10765.442","10737.145","11680.628","10101.16","11723.216","9657.686","10589.647","8749.269"
"M1448.71T16.98","4467.993","6329.765","6329.765","8405.14","5687.606","13005.479","8942.748","6880.245","5750.342","6443.065","7875.991","9073.138","12478.082","5821.399","5245.706","6652.133","5573.015","7932.6","6172.462"
"M1452.22T13.55","8703.067","7145.372","7145.372","9530.506","10417.21","10900.2836","7943.76","10519.572","10347.449","9190.92","8237.567","9933.517","11114.239","9530.611","9328.624","7486.908","8828.322","9277.443","6357.014"
"M1455.71T16.56","4995.53","6167.238","6167.238","5875.574","5966.997","10230.7564","6744.172","5393.871","8201.696","5827.566","7296.615","6024.217","5197.001","5534.739","5012.92","5910.976","5368.317","6017.605","6507.464"
"M1456.05T13.55","8645.799","10448.827","10448.827","8088.192","8016.242","8634.3676","9737.682","10555.68","9325.132","8612.243","8829.163","10415.928","5757.22","6644.774","8247.074","9904.042","9113.236","9422.6","8715.179"
"M1458.71T13.55","16761.896","17863.952","17863.952","17171.36","18436.597","18033.009","16547.494","16910.712","11588.662","16964.305","16624.418","17439.851","15981.99","16485.227","14256.803","9610.372","17769.382","9159.396","16339.999"
"M1461.71T12.67","11049.321","14227.268","14227.268","8352.984","13089.13","11302.3587","12527.029","11757.286","11704.524","10314.334","13852.064","12095.529","10912.769","12711.331","11146.592","11761.808","6961.438","11768.725","10816.768"
"M1463.45T13.55","8726.118","9379.121","9379.121","9201.522","9621.583","10894.732","10818.358","10337.024","11333.181","10582.87","11272.779","11514.551","11547.391","11115.035","10309.845","6329.685","10383.311","10415.378","11064.193"
"M1463.96T13.55","12782.237","11416.729","11416.729","17113.186","14074.543","14218.5082","15053.024","13871.632","13054.669","11952.398","14239.444","16073.17","13280.255","13619.713","11951.234","13240.823","13219.898","13750.089","13628.245"
"M1464.72T13.55","16032.791","16898.865","16898.865","15251.618","18264.98","17677.9458","15512.398","14832.803","16284.325","15165.82","15124.224","13660.331","15302.248","15883.753","13480.803","15491.776","16216.713","17579.403","15696.251"
"M1465.21T13.54","7022.306","8929.508","8929.508","9666.914","8742.302","9221.8695","9767.718","8620.833","9699.982","7711.346","6638.408","6264.245","8403.233","8528.363","7221.708","10481.559","6095.018","8125.213","7816.313"
"M1466.72T12.54","7003.685","8776.25","8776.25","7811.364","5448.296","10877.6896","7489.696","7797.322","12241.721","6213.739","6756.866","7773.536","7220.523","6229.394","4476.355","5283.413","7790.026","6555.608","6573.739"
"M1467.38T13.55","11274.818","12909.986","12909.986","13153.342","12297.424","13325.2198","13303.321","12598.29","15214.883","11729.804","13900.814","15519.886","13302.466","13090.763","12218.608","14265.337","14480.111","16032.728","12593.912"
"M1468.4T13.55","15827.965","13958.258","13958.258","18064.03","18250.774","20332.453","22733.998","17974.137","18039.75","18114.171","19609.104","19943.244","18349.338","21036.597","15774.426","18161.552","17739.456","18846.965","17719.714"
"M1469.4T13.55","9053.771","9792.316","9792.316","10228.594","9316.487","11571.8562","7954.878","9207.813","9112.246","5959.851","8705.135","9714.902","8244.865","10461.399","7970.49","8798.844","10718.62","7154.213","8895.491"
"M1470.71T12.55","10580.834","13121.798","13121.798","12228.576","8545.56","10153.7461","12044.19","8117.191","6579.68","10972.757","7164.241","13488.687","9744.834","9477.508","8584.628","8192.98","9395.506","9878.143","10425.974"
"M1480.2T13.55","8027.375","8943.538","8943.538","9713.052","9809.606","8416.5318","9299.156","8407.232","8020.175","10350.279","9907.503","8863.3","7086.848","8189.474","9033.656","6925.679","8304.642","9299.967","9108.527"
"M1480.45T13.55","9181.133","9204.387","9204.387","8627.806","9859.574","8749.5803","10526.629","10138.518","10554.735","8659.68","6340.063","10406.571","10331.505","9160.019","8643.532","8404.851","9003.936","10539.516","8152.783"
"M1481.21T13.55","11176.213","11613.371","11613.371","11861.478","11950.424","11667.9888","11055.066","11653.407","11968.989","10605.463","6941.382","11339.689","10579.769","11740.786","10335.931","8480.334","13081.968","12612.939","11511.576"
"M1484.04T13.55","9887.968","10031.746","10031.746","10814.346","12282.096","10823.1676","10752","11555.414","10499.328","10307.857","11578.329","11724.743","6198.54","10910.662","9601.912","9395.43","6685.998","11999.542","9839.595"
"M1485.45T13.55","10417.706","10353.334","10353.334","9480.356","12133.194","11918.2456","11710.049","10943.645","8244.66","9228.982","10795.689","12868.652","11418.079","10046.451","9867.903","11205.755","8177.103","11070.36","10642.283"
"M1487.43T13.54","8083.839","7807.352","7807.352","8521.488","9541.781","9586.358","9421.303","9935.82","9260.987","7283.367","8308.032","9970.212","8980.968","8466.2","8228.603","8029.151","9061.525","10140.314","7910.834"
"M1488.71T12.55","10774.967","14838.416","14838.416","11711.028","13222.453","12302.1683","12034.812","6523.512","11443.934","12083.134","10503.936","12010.94","6843.83","11172.182","10059.022","12549.295","11217.988","11628.359","12412.438"
"M1491.21T13.55","15049.68","13430.837","13430.837","18310.768","16140.494","15260.0208","16780.19","15378.298","15016.781","14282.828","16670.178","16513.234","18106.357","14802.274","16566.384","15390.551","15496.424","16888.316","17003.079"
"M1492.71T13.55","13899.971","14558.431","14558.431","15717.01","15665.44","15171.9224","14206.492","15438.783","10884.556","11793.41","7841.896","15792.165","14571.946","15374.478","12804.556","13162.096","14474.752","9518.894","15258.881"
"M1493.71T16.56","3371.321","6251.455","6251.455","4934.76","4675.733","12399.1327","4584.342","6378.769","4407.425","4176.516","4004.74","6182.444","4741.687","4530.427","3903.174","5385.869","5921.712","6819.326","5409.482"
"M1494.7T17.06","3187.912","7067.321","7067.321","5997.94","6362.559","6551.5891","6890.61","7059.16","6491.607","9561.845","5131.199","5435.805","6443.669","4754.944","5290.075","6282.586","6324.918","5477.294","10101.217"
"M1495.71T13.55","10391.624","12655.434","12655.434","10872.52","12171.194","11480.8961","10770.02","10858.8","11099.198","10207.457","8527.386","11970.829","9229.836","10684.741","9379.172","9317.235","10911.242","11955.426","9664.603"
"M1496.04T13.55","27498.228","25876.181","25876.181","32952.562","31278.099","29116.3454","30871.036","30024.072","31153.05","27925.111","28816.543","32530.111","30144.834","29825.208","25083.093","27290.354","31831.693","30914.318","30017.835"
"M1497.05T13.55","12230.5","12653.643","12653.643","14499.368","12770.61","15041.6982","13809.304","13687.428","12977.409","12290.792","11496.098","12360.181","13547.173","13567.884","12739.823","10809.612","11204.275","13136.68","14723.377"
"M1497.42T13.54","12500.61","11172.77","11172.77","12874.508","13638.406","13837.2186","13796.831","13137.683","13219.621","10655.993","13469.248","14238.058","14886.896","14317.978","11656.741","12247.628","13381.22","14081.196","12805.678"
"M1497.96T13.55","13462.132","12146.33","12146.33","13793.256","15719.597","16600.2422","15004.88","13659.259","13477.801","13485.63","13469.824","7749.325","14014.265","14636.632","12370.611","13952.795","14000.611","12789.074","15233.018"
