"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M604.89T12.55"," 0.006163054","-0.394790464","-0.394790464"," 0.405948407","-0.043393635","-0.162020225","-0.087807963"," 0.340520362"," 0.305985957"," 0.119923719"," 0.396076471","-0.030675538","-0.127922868","-0.114186112","-0.080989997","-0.004259110"," 0.102767309","-0.105007564","-0.131541339"
"M612.87T18.56","-0.677176233","-0.004280102","-0.004280102","-0.221545054"," 0.184943032"," 0.210230812"," 0.036075008"," 0.068109596"," 0.109086326"," 0.107745916"," 0.255262445"," 0.120530785"," 0.034107258","-0.412090555","-0.288406994","-0.135679705"," 0.326719272"," 0.415689713","-0.125041420"
"M612.88T11.54"," 0.183709140","-0.256695142","-0.256695142"," 0.147158245"," 0.696558674","-0.139090716","-0.145072746"," 0.036646736"," 0.001080697","-0.087716680","-0.022082495"," 0.018548892","-0.120255156","-0.027192273"," 0.033789990","-0.378836296"," 0.205533198"," 0.389950460","-0.279339388"
"M618.85T19.56","-0.78508066"," 0.06977257"," 0.06977257"," 0.14032999","-0.04107635","-0.13074701","-0.14828562","-0.11117441"," 0.12584925"," 0.21543796"," 0.25405588"," 0.06412654","-0.18051767","-0.12701013"," 0.18255529","-0.14459975"," 0.29823642"," 0.17412868"," 0.07422645"
"M624.87T18.56","-0.32887608"," 0.15961744"," 0.15961744","-0.02784432","-0.06131193"," 0.81954789","-0.36039534","-0.24812640"," 0.18939686"," 0.26390592","-0.04863194","-0.01715014","-0.24778875","-0.03854360","-0.17867667"," 0.19946306","-0.00515470","-0.11141438","-0.11763436"
"M626.86T18.56","-0.586968881","-0.150033988","-0.150033988"," 0.074305888"," 0.222933737"," 0.255982866","-0.071324157"," 0.114053608"," 0.205043825","-0.252996804"," 0.200393420"," 0.136268121"," 0.163416409"," 0.094402293","-0.167686805","-0.215629493"," 0.007616388"," 0.150823734","-0.030566174"
"M631.47T1471.08","-1.66880016"," 0.05135935"," 0.05135935"," 0.25473425"," 0.02358767","-1.20319424"," 0.03950080"," 0.30065905"," 0.27064410"," 0.44992389"," 0.16161446"," 0.10013569"," 0.44395319"," 0.36636512","-1.22057539"," 0.49437636"," 0.52738789"," 0.18401290"," 0.37295572"
"M631.86T17.56","-0.1285554324"," 0.5365230622"," 0.5365230622"," 0.0963325859","-0.1743347889"," 0.0156796401","-0.1512771507","-0.3549473765"," 0.0017160375","-0.4942932019"," 0.0670752517"," 0.1965151492","-0.1406920475"," 0.0008359347","-0.0799749008","-0.0213890316","-0.0314701063","-0.0235659570"," 0.1492992701"
"M632.47T1471.09","-1.68965106"," 0.03696108"," 0.03696108"," 0.27429096","-0.02318464","-0.95658484"," 0.04754076"," 0.36825728"," 0.29129380"," 0.43071890"," 0.15907756"," 0.15808347"," 0.43503279"," 0.34779080","-1.59664196"," 0.47500932"," 0.55535363"," 0.26906873"," 0.38062234"
"M632.88T17.56","-0.55863542","-0.08377067","-0.08377067"," 0.09081457"," 0.10431963"," 0.83252298","-0.02857884","-0.18933181"," 0.17304647"," 0.05253577"," 0.24099416","-0.03746022","-0.14258509","-0.18701876","-0.25773364"," 0.02300142"," 0.14827551"," 0.23351189","-0.33013730"
