"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19"
"M664.85T18.57",0.033022,-0.030894,0.00023398,0.017498,0.041632,0.0051361,0.0085096,0.018109,0.024583,1.6896e-05,0.010281,-0.016252,-0.0058093,-0.0063242,-0.0057478,-0.0016592,-0.021525,-0.0050655,0.017154
"M665.47T1403.68",0.13707,0.030643,0.018249,-0.03038,-0.00083392,-0.05735,-0.019926,0.0084643,0.022664,0.011272,-0.037108,-0.0025098,0.0098915,-0.027627,0.013098,0.022283,0.0021769,-0.0024793,0.0084297
"M665.47T1386.55",0.13946,0.03628,0.010412,-0.018936,0.0028247,-0.048203,-0.009574,0.0027716,0.018716,0.011123,-0.024131,-0.0059609,0.0037498,-0.028922,0.014499,0.032791,0.0057891,0.0060243,-0.0091296
"M666.48T1403.51",0.13414,0.02649,0.026024,-0.027627,0.0042547,-0.070694,-0.025263,0.0038352,0.025078,-0.0043555,-0.038087,-0.0075333,0.015195,-0.024985,0.0086796,0.020389,0.0019447,-0.0013954,0.0065496
"M667.87T17.56",0.051314,0.004513,-0.014229,0.023399,-0.034944,0.01031,0.056976,0.0085765,-0.036343,0.040012,-0.033523,0.014209,-0.01164,-0.0030117,-0.0054897,-0.0025385,0.024512,-0.011061,0.0051869
"M670.37T13.55",0.017489,0.017947,-0.010086,0.013334,0.0025619,0.01606,-0.0037092,-0.0054036,-0.0030342,-0.039155,0.011729,0.02158,0.017662,0.023456,-0.022785,0.013429,-0.0082585,0.0058409,-0.0054238
"M671.36T17.55",0.010829,-0.039263,0.024768,-0.061068,0.00088861,0.0077023,0.033397,-0.053866,-0.028834,-0.020403,-0.058365,0.012021,-0.078525,0.026884,-0.050992,0.067404,0.026476,-0.0030925,0.0048741
"M671.86T17.56",0.0043976,-0.047188,0.028438,0.012107,0.038006,0.027491,0.015125,-0.0063894,0.02167,0.027838,0.0073837,0.049932,-0.010499,0.023125,-0.045276,0.014968,-0.0059492,0.0029931,0.0034729
"M672.87T17.56",-0.003977,-0.056745,-0.00045323,0.001284,-0.010971,0.062683,0.025742,0.0065649,-0.036851,0.038386,0.0065329,0.039941,0.0093927,-0.0072049,0.018172,0.033286,0.0058149,0.0011852,-0.0051731
"M673.87T17.56",0.02911,-0.011255,-0.028809,0.057434,-0.039083,-0.0099673,-0.018499,-0.00080523,0.015363,-0.0015668,0.016493,-0.040793,0.018223,-0.007884,0.018849,-0.034604,0.050996,-0.0064997,-0.00011953
"M676.85T19.54",0.019548,-0.02279,0.0020979,0.015417,-0.023981,0.040908,0.0035882,-0.028161,-0.0095925,0.038774,0.025519,0.0054901,0.0043473,-0.018208,-0.0068465,-0.016871,0.013393,-0.0073605,0.00095422
"M680.86T18.56",0.034507,-0.034996,0.037408,0.012273,0.045386,-0.03045,-0.022865,-0.020635,0.016165,-0.036169,0.019188,-0.001454,-0.00094385,-0.01675,-0.0018923,-0.0042459,-0.033489,-0.0043075,0.014404
"M680.86T11.54",0.0015001,0.018926,0.042754,0.038145,0.0048877,0.0069425,0.0028231,-0.005624,0.05613,0.011912,0.0016698,-0.0053543,-0.014454,0.045888,-0.035589,0.0066504,0.038137,-0.0018845,-0.001539
"M687.86T17.56",-0.0079607,-0.0041899,-0.04161,0.019273,-0.048598,0.038347,-0.022928,-0.043478,-0.029782,0.027174,-0.029007,0.058883,0.057394,-0.041011,-0.040809,-0.02596,0.054704,-0.019001,0.0078647
"M691.86T17.56",0.042817,-0.013844,-0.011525,0.02513,0.020638,-0.0081713,-0.0032183,0.011819,0.0031327,-0.023077,0.017359,0.024888,-0.02607,-0.0035349,0.028354,-0.04444,0.023361,-0.0022354,-0.0066437
"M692.85T18.56",0.022225,0.018055,0.00023139,0.021793,-0.030996,0.017926,0.056914,-0.037376,0.045714,0.0095305,0.0019171,0.038905,-0.0059388,0.0020642,0.03078,0.0043942,0.019674,-0.0042683,-0.0078196
"M694.85T18.56",0.021771,-0.054222,-0.015736,0.0043195,0.047048,0.00019086,-0.01144,-0.013972,-0.01366,-0.0063125,0.0044996,0.0078974,0.020363,-0.028539,0.013603,0.0017527,-0.0051018,0.0034718,0.0082415
"M696.85T11.54",0.0089447,0.024889,0.064598,0.037699,-0.016553,0.026214,-0.012456,0.019022,-0.045577,-0.029078,-0.01228,-0.017135,0.0052237,0.0034656,0.015861,-0.00166,-0.0064837,0.0069623,0.015961
"M696.84T19.05",0.027116,-0.0126,0.041266,-0.0162,0.090236,0.036982,0.016184,0.016609,0.013697,0.028006,-0.0041033,0.0012697,-0.019523,-0.0099969,0.014788,-0.0009326,-0.013679,0.01352,0.0019076
"M697.85T18.56",0.033415,0.007596,-0.0028583,0.06075,-0.010878,0.0094339,0.0096704,-0.011838,-0.039659,0.038743,-0.028572,-0.043071,-0.03069,-0.0084136,-0.011044,0.00040814,-0.0027993,-0.0059746,0.0064274
"M700.87T17.56",-0.0089812,-0.060531,-0.016274,0.0039391,-0.010375,0.071873,0.02444,-0.02066,-0.021299,0.021339,-0.039376,-0.0046858,0.012589,-0.0023141,-0.010575,0.033968,0.011143,-0.00092579,0.0024984
"M702.37T13.55",-0.001027,-0.018693,-0.0066046,0.016354,-0.021061,0.055647,0.038725,0.063303,0.06545,0.0036047,0.031479,0.0011544,-0.011039,-0.019467,-0.053024,0.01037,-0.0014423,-0.0058838,0.0067705
