"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"M697.593T1624.559","47977.03","30797.459","48911.279","72596.52","43907.665","31687.392","19458.106","38186.052","154637.848","42400","21515.301","34642.8536","91383.869","44388.344","93300","31700","44879.7985","64810.7508","151000","39481.046"
"M511.361T1439.891","181250.953","163182.307","227256.584","204703.693","173688.835","170921.064","136697.412","327851.585","184402.347","168000","182119.572","138160.3621","188399.671","198387.08","156000","176000","148376.8333","289660.9751","192000","186024.695"
"M311.146T1456.932","299791.367","256578.219","222009.783","210992.606","228474.749","271853.899","319620.437","265122.709","363991.963","269000","499235.711","235340.9604","261375.366","257623.876","262000","278000","249493.7969","358270.4628","249000","272962.438"
"M694.61T1663.824","8366.605","45324.001","265583.822","27184.383","25302.494","13762.814","4984.153","35697.692","204485.097","18500","31075.018","9550.752","102733.814","28800.944","57700","18300","11542.0042","143223.6665","229000","16599.467"
"M441.315T1442.696","158341.325","142634.771","150506.505","156357.096","143623.298","131572.028","189666.634","120309.249","141992.522","141000","151640.853","149603.073","187841.046","175591.917","142000","165000","140342.3938","133023.7384","173000","154436.429"
"M913.567T1518.016","65114.198","257347.175","146672.299","100150.303","499234.688","59622.928","43792.523","354042.951","117654.682","51000","43241.941","28190.9339","68055.093","344003.458","561000","44500","22247.6769","197816.8228","89900","67497.835"
"M917.594T1518.016","17701.264","42310.638","26436.451","36674.06","68360.675","18214.962","13966.973","51370.327","15593.941","32400","27764.28","9123.8876","22505.623","63540.657","72700","22900","12162.5548","39043.8227","37200","26691.052"
"M965.705T1641.413","25113.462","10555.644","10542.81","21756.952","17457.063","10755.67","13188.973","7534.407","95993.015","22700","16667.991","18998.5275","29124.138","5272.709","149000","17100","471.2754","43533.3435","31200","2356.377"
"M534.444T1557.26","77004.529","74525.017","92742.979","107768.706","108812.652","78989.447","27805.428","85131.372","142953.207","80400","60625.7","58161.2942","159458.377","71773.673","89000","137000","65764.097","115738.0799","148000","104581.114"
"M929.562T1512.438","88498.15","98213.65","70453.813","59193.317","248607.433","55846.44","27801.687","171010.344","81516.757","39600","21572.566","13328.143","77911.674","162148.66","152000","54900","15090.2737","124175.8003","54700","73312.917"
"M327.177T1330.308","275634.287","255010.251","235824.804","252773.729","228115.322","226319.795","219083.021","260241.086","246707.363","322000","289707.868","218507.3651","263921.507","227459.615","207000","237000","228419.6935","245884.7072","245000","284128.167"
"M385.291T1291.55","1037122.083","429682.953","250785.764","459234.574","1123358.13","877966.354","554130.411","547436.618","344576.447","1160000","893710.895","260916.3231","338078.14","275247.423","936000","951000","294832.5439","351127.4927","275000","535639.144"
"M312.324T1587.373","360719.676","172267.701","228074.07","171175.748","376058.46","189098.013","90605.412","475060.084","318078.547","269000","541925.453","139824.683","168020.998","175939.454","236000","234000","239209.3457","412838.9243","175000","436265.147"
"M614.483T1523.593","214926.733","238296.445","225449.17","239497.923","232142.438","318088.734","88608.314","167085.619","184218.351","213000","148393.337","170637.6495","272814.327","190338.034","216000","235000","128576.2268","208982.3632","260000","186900.563"
"M574.479T1609.148","121619.762","11236.784","31674.206","19603.225","40650.538","37130.824","6991.134","18395.146","16232.28","21000","10981.689","71293.4589","14482.025","34483.556","20300","27700","19375.7654","42059.5205","26200","48564.56"
"M327.072T884.787","154109.898","93541.784","202143.558","168614.274","115399.829","87583.494","231975.956","152462.1","192656.76","156000","131089.04","3181.3064","163726.932","221123.382","86200","102000","6796.7694","185585.575","289000","162547.839"
"M304.299T1477.289","765303.044","2581056.218","839475.47","1311025.125","887616.076","1722445.957","707008.819","710443.521","654063.704","1060000","848066.467","644247.8354","1177759.266","893010.119","1030000","993000","631707.5077","688936.6714","936000","750537.647"
"M373.365T1591.631","138547.172","146325.329","157524.59","184603.522","165473.372","124206.341","107870.477","186738.716","150419.375","134000","141306.744","136074.3197","147764.405","168071.477","139000","136000","130705.3796","173190.1375","158000","136038.865"
