"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6"
"M807.744T937.741",1.1154,1.0712,1.0661,1.0657,1.0657,1.0657
"M355.571T782.72",1.1151,1.0413,1.0348,1.0354,1.0354,1.0354
"M1071.439T878.893",1.1121,1.0535,1.0646,1.0648,1.0648,1.0648
"M951.343T881.927",1.1113,1.1242,1.1317,1.1313,1.1313,1.1313
"M399.065T319.722",1.1101,1.1331,1.1426,1.1446,1.1447,1.1447
"M621.037T758.225",1.1097,1.0973,1.094,1.0936,1.0936,1.0936
"M367.103T818.837",1.1094,1.0355,1.0274,1.0271,1.0271,1.0271
"M356.995T88.504",1.1087,1.0522,1.0521,1.0522,1.0522,1.0522
"M729.273T847.264",1.1083,1.0433,1.035,1.0347,1.0347,1.0347
"M569.91T66.858",1.1082,1.1542,1.1495,1.1497,1.1497,1.1497
"M320.919T92.078",1.108,1.0346,1.0309,1.0306,1.0306,1.0306
"M617.247T870.852",1.1073,1.0401,1.0326,1.0322,1.0322,1.0322
"M331.068T223.104",1.1071,1.1381,1.129,1.1287,1.1287,1.1287
"M549.258T834.983",1.107,1.0356,1.0796,1.0792,1.0792,1.0792
"M868.801T68.637",1.1069,1.2712,1.2652,1.265,1.265,1.265
"M1095.906T894.31",1.1064,1.0427,1.0358,1.0355,1.0356,1.0356
"M621.125T857.148",1.106,1.0415,1.0333,1.0329,1.0329,1.0329
"M753.298T903.043",1.1057,1.0361,1.0279,1.0284,1.0284,1.0284
"M919.334T939.971",1.1056,1.0426,1.0352,1.0349,1.0349,1.0349
"M968.386T889.852",1.1054,1.0346,1.029,1.0289,1.0289,1.0289
"M1031.347T966.014",1.1034,1.0302,1.0253,1.025,1.025,1.025
"M631.877T67.938",1.102,1.1241,1.1479,1.1475,1.1475,1.1475
"M1057.411T880.24",1.1006,1.043,1.0572,1.0569,1.0569,1.0569
"M1462.52T939.973",1.1001,1.5818,1.5917,1.5912,1.5912,1.5912
"M647.193T836.421",1.0982,1.077,1.0697,1.0694,1.0694,1.0694
"M911.268T936.747",1.0981,1.1325,1.1309,1.1305,1.1305,1.1305
"M333.062T883.084",1.0967,1.031,1.0255,1.0259,1.0259,1.0259
"M457.136T788.61",1.0963,1.0308,1.0292,1.0291,1.0291,1.0291
"M1097.037T893.528",1.096,1.0429,1.0673,1.0669,1.0669,1.0669
"M354.093T469.671",1.0955,1.0394,1.0325,1.0322,1.0322,1.0322
"M437.041T470.729",1.0954,1.0317,1.025,1.0246,1.0246,1.0246
"M806.073T940.272",1.0952,1.0527,1.0575,1.0573,1.0573,1.0573
"M806.159T933.966",1.0939,1.16,1.1685,1.1683,1.1683,1.1683
"M347.091T1147.321",1.0938,1.0757,1.068,1.068,1.068,1.068
"M643.245T933.361",1.0935,1.03,1.0233,1.0232,1.0232,1.0232
"M310.974T92.682",1.0934,1.0527,1.0451,1.0449,1.0449,1.0449
"M943.39T965.159",1.0933,1.0223,1.033,1.0332,1.0332,1.0332
"M481.183T807.444",1.093,1.0587,1.0562,1.0558,1.0558,1.0558
"M501.375T66.858",1.0927,1.0202,1.0183,1.0206,1.0206,1.0206
"M830.24T316.247",1.0922,1.0678,1.0611,1.0611,1.0611,1.0611
"M643.851T67.124",1.0919,1.0241,1.0225,1.023,1.023,1.023
"M487.212T857.117",1.0918,1.0229,1.0148,1.0149,1.0149,1.0149
"M743.317T783.373",1.0905,1.1056,1.103,1.1026,1.1026,1.1026
"M429.141T889.195",1.0903,1.0252,1.0197,1.0199,1.0199,1.0199
"M473.173T881.847",1.0899,1.0176,1.0101,1.0098,1.0098,1.0098
"M260.967T89.826",1.0894,1.0668,1.0612,1.0624,1.0624,1.0624
"M349.056T728.324",1.089,1.0176,1.0108,1.0109,1.0109,1.0109
"M1614.109T935.709",1.0882,1.1083,1.1041,1.1038,1.1038,1.1038
"M1095.872T896.96",1.0861,1.0208,1.0269,1.0272,1.0272,1.0272
"M568.907T66.858",1.0858,1.2587,1.2554,1.255,1.255,1.255
"M915.823T68.606",1.0847,1.3451,1.3365,1.3362,1.3362,1.3362
"M851.338T916.834",1.0836,1.0606,1.0576,1.0573,1.0573,1.0573
"M357.108T784.337",1.0815,1.0096,1.0018,1.0015,1.0015,1.0015
"M561.217T921.818",1.081,1.1012,1.0926,1.0924,1.0924,1.0924
"M475.366T1425.395",1.0808,1.067,1.0611,1.0609,1.0609,1.0609
"M187.905T92.369",1.08,1.0963,1.0899,1.0896,1.0896,1.0896
"M375.07T470.729",1.0799,1.0335,1.0265,1.0262,1.0262,1.0262
"M665.182T815.828",1.0798,1.0719,1.0719,1.0717,1.0717,1.0717
"M425.046T798.077",1.0795,1.0401,1.0751,1.0757,1.0757,1.0757
"M1167.557T907.179",1.0782,1.0558,1.0521,1.0517,1.0517,1.0517
"M1130.454T886.215",1.0778,1.0436,1.0373,1.0369,1.0369,1.0369
"M494.168T786.301",1.077,1.0064,1.03,1.0299,1.0299,1.0299
"M695.298T853.355",1.0761,1.0447,1.0367,1.0365,1.0365,1.0365
