"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6"
"M428.2T856.891",-0.036525,-0.0045911,0.0071141,-0.033507,-0.0068164,0.0051079
"M281.069T746.743",-0.029598,0.033667,-0.0050837,0.033995,0.012359,-0.003274
"M703.247T844.715",-0.034435,-0.01666,0.008163,-0.022884,0.014218,-0.012811
"M590.015T907.684",-0.028705,0.039035,-0.048756,0.0092022,-0.0082321,0.00322
"M455.081T704.884",-0.029636,0.0093553,-0.009804,0.018793,-0.024979,0.026335
"M970.813T317.253",-0.029231,-0.05934,0.015325,-0.016448,-0.0060818,-0.0096455
"M997.575T1403.78",-0.029085,0.011649,-0.020025,0.0034541,-0.0077021,-0.0089111
"M1053.286T316.584",-0.028819,-0.009213,0.016288,-0.013716,0.0089548,-0.0022179
"M575.926T1053.198",-0.017778,0.016456,-0.011452,0.00010403,-0.015564,0.043607
"M1163.085T907.707",-0.011285,-0.01574,-0.066002,0.040501,-0.049304,0.043877
"M421.636T753.774",-0.032656,0.026296,-0.050254,-0.027368,0.055152,0.015189
"M709.31T874.193",-0.036425,0.016063,-0.0010737,-0.0032541,-0.008702,-0.0015324
"M361.589T316.501",-0.029043,0.0090949,-0.0058184,0.025351,0.027825,-0.033249
"M517.099T802.454",-0.027816,0.067742,-0.022411,-0.01945,-0.0059411,0.054518
"M404.065T806.181",-0.025599,0.020092,-0.024513,-0.10545,0.0045133,0.045494
"M982.374T904.236",-0.03754,-0.016477,0.012838,-0.021264,0.004065,0.016868
"M383.433T314.152",-0.028085,0.031306,-0.029772,0.014759,0.00090637,-0.015722
"M362.298T315.255",-0.032061,0.018114,-0.016005,0.0018073,-0.011297,-0.0072834
"M1395.396T991.455",-0.028211,0.0096416,-0.020704,-0.049238,-0.067245,0.075618
"M481.183T769.795",-0.037622,-0.040636,-0.037087,0.029764,-0.034721,0.0063123
"M407.173T414.983",-0.03296,0.055794,-0.022999,0.02037,-0.083167,-0.0064547
"M1297.451T316.098",-0.025365,-0.055987,0.052378,-0.047277,-0.013439,0.001931
"M727.283T864.823",-0.02714,-0.018284,0.0092629,-0.020641,-0.0077052,-0.010901
"M429.387T309.562",-0.030269,0.019499,-0.0029306,-0.059163,0.011997,-0.033389
"M1031.84T1213.333",-0.02623,-0.0067109,-0.026612,-0.0069562,0.0018212,-0.04406
"M937.515T1306.76",-0.029185,0.041064,-0.00090283,-0.030145,0.017082,-0.023986
"M570.518T894.146",-0.028836,0.074808,-0.032917,0.045383,-0.01491,-0.015221
"M1162.717T895.445",-0.02758,0.07903,-0.028169,0.048206,0.014834,0.019928
"M289.446T802.654",-0.02416,0.057578,-0.06627,-0.044167,0.037847,0.046307
"M970.001T316.098",-0.023752,-0.071659,-0.015513,-0.0015502,-0.0037954,0.037167
"M647.193T836.421",-0.036601,0.023101,0.015443,-0.019372,0.02417,0.014
"M863.184T809.21",-0.028182,-0.0064883,-0.050837,-0.00094492,-0.041,0.058602
"M565.23T844.341",-0.028624,0.019876,-0.015463,0.026798,-0.0041462,-0.021684
"M293.118T1042.937",-0.054975,-0.041739,0.013715,0.060224,0.088487,0.047742
"M483.209T897.853",-0.031569,0.020413,0.0072339,0.0057838,0.0041114,-0.010858
"M1094.047T894.516",-0.029929,0.064606,-0.042809,0.013126,0.0030402,-0.0080064
"M317.087T121.975",-0.032616,0.022146,-0.010452,-0.017584,0.0024092,-0.0024032
"M909.388T926.435",-0.039917,0.010098,0.06387,-0.036441,0.022718,0.011784
"M549.258T834.983",-0.035328,-0.032335,0.084961,-0.014964,0.031131,0.011813
"M643.039T106.784",-0.027302,0.048012,-0.0086747,-0.011529,-0.04072,-0.0049377
"M415.744T872.34",-0.030659,0.01865,0.015796,-0.03501,0.018112,0.0045761
"M451.125T735.96",-0.033505,0.008358,0.011395,-0.011691,0.022547,0.024367
"M409.075T744.412",-0.030401,0.034655,-0.019969,0.033838,0.013537,-0.003536
"M457.136T788.61",-0.035317,-0.0025331,0.033504,-0.031319,0.01408,-0.0046333
"M311.138T170.155",-0.031411,0.039471,-0.0027167,0.027056,-0.014247,0.011678
"M593.763T756.056",-0.03143,0.038143,-0.057861,-0.013519,0.016332,0.000922
"M392.068T765.784",-0.028645,0.023958,-0.016726,0.032243,-0.0026312,0.026282
"M433.661T789.942",-0.02973,0.02099,-0.0023276,-0.022777,-0.005332,0.0069045
"M919.493T1102.884",-0.029253,-0.0020697,-0.042785,-0.0077015,-0.032574,-0.049752
"M870.649T1317.21",-0.021374,-0.053786,-0.0038124,0.0046612,0.020386,-0.053428
"M437.044T765.875",-0.03465,0.00761,0.011804,0.02126,0.018905,-0.0033447
"M861.253T1033.436",-0.043086,0.058727,-0.028984,-0.035832,0.020638,0.011774
"M715.427T310.719",-0.029821,0.030751,-0.036204,0.026971,0.026574,0.019357
"M1095.84T892.791",-0.03539,-0.019367,-0.078144,0.059409,0.072997,0.0031483
"M485.168T916.74",-0.03143,0.032364,0.0064528,-0.021675,0.0076092,0.017481
"M355.433T783.665",-0.035431,-0.004628,0.0088115,0.040567,0.04124,0.026201
"M313.119T883.187",-0.035341,-0.050951,0.084105,-0.051586,0.038033,0.0094476
"M433.039T456.919",-0.049561,-0.13686,0.011908,0.054624,0.042407,0.048105
"M447.259T942.596",-0.032377,0.026075,-0.020006,0.011828,0.017898,-0.012647
"M355.067T660.488",-0.027176,0.036951,-0.013109,-0.01145,-0.025667,0.031583
"M1134.038T907.684",-0.0092399,0.011791,-0.026902,-0.022353,-0.089432,0.042829
"M819.254T316.358",-0.027823,-0.030418,0.016506,-0.013355,-0.011795,-0.021601
"M383.609T322.831",-0.029346,0.026281,-0.029551,-0.0017036,0.017852,-0.011596
"M341.31T626.276",-0.039102,-0.0032461,-0.010773,0.020277,-0.0019481,-0.013775
"M579.151T798.32",-0.030457,0.009503,-0.025328,-0.025444,0.00098201,0.092543
"M784.154T761.471",-0.030965,0.030318,-0.0040171,0.018697,0.0082807,-0.016373
"M323.187T1016.246",-0.029656,-0.00037889,-0.03269,0.0040666,-0.021765,-0.015069
"M1099.581T1224.487",-0.028123,0.02694,0.0099719,-0.015562,-0.0068906,-0.02305
"M206.988T126.118",-0.027645,0.032326,-0.021399,-0.019813,0.022603,0.014149
"M489.691T902.138",0.0058771,-0.063083,0.095551,-0.062395,0.068514,-0.00091338
"M472.901T67.482",-0.03035,0.0078277,-0.003094,-0.075411,-0.011326,0.011207
"M685.228T857.881",-0.036015,-0.02725,0.033594,0.020718,-0.011803,-0.029097
"M441.162T763.637",-0.029937,0.029077,0.020151,-0.052569,0.015429,0.014773
"M1137.546T907.004",-0.029367,0.060485,-0.0013724,-0.023989,-0.034195,0.015079
"M963.275T732.778",-0.031347,-0.013074,-0.0023896,-0.02495,0.0053464,-0.0063266
"M991.316T318.206",-0.02807,-0.014875,0.011331,-0.032568,0.01826,0.0050529
"M867.206T809.129",-0.037426,0.066988,-0.023218,-0.046998,0.062492,0.026524
"M403.064T798.991",-0.027374,0.033411,-0.074877,-0.019795,0.010916,0.030627
"M836.522T1479.692",-0.030374,0.033352,-0.029462,-0.0032241,-0.0025857,-0.019774
"M399.275T1363.391",-0.032856,0.0081324,-0.019311,0.016668,-0.013221,0.014528
"M548.179T817.387",-0.033974,-0.041835,0.032563,-0.027512,-0.0026597,0.02242
"M524.183T892.811",-0.030853,0.0054853,0.012386,-0.019842,-0.0066254,-0.00074076
"M518.153T824.178",-0.032314,0.0019424,0.015423,0.015734,0.0093206,-0.0071235
"M1096.548T894.929",-0.029183,0.06037,-0.031356,-0.010531,-0.0081082,-0.010178
"M999.268T316.316",-0.028697,-0.02672,-0.0014238,-0.010452,-0.023195,-0.016024
"M393.081T756.691",-0.036225,0.01669,-0.025912,0.0014116,-0.0098485,-0.0032608
"M836.743T1479.398",-0.028918,0.019021,-0.010393,0.015786,0.017077,-0.0049587
"M529.154T821.794",-0.031657,-0.0016772,0.016249,0.01275,0.0015284,0.045898
"M487.212T857.117",-0.033924,-0.0076892,-0.0054364,0.037387,0.00016991,-0.0095393
"M322.969T105.104",-0.02846,-0.00026632,0.0005257,0.012725,-0.011618,-0.022931
"M475.146T746.942",-0.034863,0.025652,-0.0099429,0.024576,-0.016054,-0.033657
"M1323.386T316.247",-0.027864,-0.04672,0.031532,-0.026945,-0.011026,-0.0090905
"M438.049T766.588",-0.031992,0.017025,-0.0040266,0.060853,0.01875,-0.0063392
"M1013.583T1347.533",-0.029921,0.02084,-5.617e-05,-0.0079382,0.007433,-0.019813
"M407.045T415.442",-0.031771,0.019685,-0.016934,0.003231,0.0080183,-0.021792
"M331.068T223.104",-0.037749,0.042497,-0.00269,0.010995,-0.012598,0.0014093
"M384.092T841.195",-0.021754,-0.031719,-0.036044,0.043587,0.017241,-0.0082597
"M1611.697T937.933",-0.049285,-0.0029088,0.029866,0.013292,0.033828,-0.0049046
"M465.105T746.988",-0.0298,0.035257,-0.065237,-0.024429,0.0005051,0.018371
"M653.913T316.046",-0.032209,0.0030479,-0.014762,-0.023718,-0.031989,-0.010876
"M969.317T316.321",-0.026126,-0.042801,0.028789,-0.0247,-0.01047,-0.019589
"M354.082T204.227",0.00024607,-0.046856,-0.048054,0.19339,-0.078112,0.076294
"M311.104T1075.82",-0.026665,-0.0069031,0.026013,-0.073563,0.063667,-0.005268
"M380.071T778.258",-0.045832,-0.060434,-0.0001581,-0.025371,-0.015302,0.059701
"M638.078T817.768",-0.022473,-0.018133,0.053659,-0.05861,-0.019845,0.020557
"M735.222T927.83",-0.035451,0.033601,0.017902,0.029921,-0.013558,-0.0073609
"M651.317T893.83",-0.028951,0.01852,-0.0053258,0.013446,-0.0068973,-0.0079483
"M1167.557T907.179",-0.032119,-0.016648,-0.024983,0.0038395,-0.020803,-0.076137
"M221.066T891.624",-0.028781,-0.037459,0.016535,0.027582,-0.017378,0.0053773
"M204.085T413.719",-0.050322,0.003693,-0.037885,-0.017193,-0.0007618,0.067425
"M621.125T857.148",-0.03407,-0.011791,-0.001318,0.012119,-0.089465,0.0016817
"M453.101T88.055",-0.024652,0.0061087,-0.019483,-0.043485,0.023046,0.08977
"M1009.554T1308.282",-0.026853,0.043949,-0.022895,-0.0054645,0.016039,-0.011954
"M483.178T941.182",-0.030385,0.01085,-0.025554,-0.011321,-0.059512,-0.045366
"M1057.411T880.24",-0.035784,-0.0093044,0.052651,0.0095149,0.03103,-0.0015488
"M478.295T1238.56",-0.02338,0.036073,-0.013576,-0.0075223,0.0014555,-0.00099114
"M469.208T948.545",-0.034624,-0.022132,0.011787,-0.0062049,0.048348,0.024461
"M632.993T321.252",-0.028266,0.033725,-0.011926,-0.0080665,0.0065529,-0.034322
"M1308.932T316.358",-0.022174,-0.0817,0.039729,-0.031312,-0.031698,-0.0020436
"M771.369T883.552",-0.02396,0.021209,0.00092793,-0.001016,-0.010549,-0.011162
"M673.289T892.945",-0.031987,0.026191,0.0082765,-0.0083927,-0.014923,-0.00078103
"M833.365T968.818",-0.038453,0.027658,0.033221,-0.037791,-0.024654,0.024109
"M893.38T934.735",-0.04023,-0.011615,0.058953,-0.035478,0.037339,-0.0045069
"M393.176T847.594",-0.031282,0.017852,0.0061045,-0.001382,-0.015104,0.013736
"M653.935T315.929",-0.03011,0.0093093,-0.00020188,-0.033971,-0.0023201,0.0027633
"M865.491T1326.551",-0.028781,0.050435,-0.016182,-0.027585,0.014114,-0.015025
"M449.202T630.506",-0.0284,0.00093145,-0.0044217,-0.0092036,0.0089614,0.016775
"M437.065T776.272",-0.028392,0.022968,-0.015163,-0.0052335,0.019322,-0.022652
"M268.959T125.12",-0.027067,0.052275,0.0093452,-0.002802,0.0016943,-0.0024659
"M551.272T837.928",-0.033719,0.0077754,0.02711,-0.025565,0.038362,-0.0063268
"M456.197T892.811",-0.033664,0.0064653,0.0046142,-0.011794,-0.017441,-2.3665e-05
"M356.995T88.504",-0.033844,-0.0015885,-0.027346,-0.041102,0.043252,0.02042
"M567.778T908.116",-0.025058,0.066454,-0.023662,-0.0073365,-0.021562,0.01407
"M559.667T1200.71",-0.028541,0.057687,-0.0075294,0.01943,0.062916,0.0050237
"M455.193T892.238",-0.036574,0.0054727,0.017666,-0.052695,-0.05803,-0.0044736
"M651.363T1268.695",-0.027648,0.074703,-0.054432,0.022032,-0.0091142,0.025276
"M1255.613T888.434",-0.030961,0.023821,-0.027667,-0.0027723,-0.012082,0.047771
"M701.195T940.853",-0.032604,0.034507,-0.030143,-0.010222,-0.0027699,0.029715
"M573.017T749.518",-0.029338,0.03588,-0.045655,-0.017872,0.040148,0.031493
"M587.201T848.147",-0.033699,0.032536,-0.010273,0.012108,-0.019724,-0.026239
"M429.419T313.767",-0.030707,0.043713,-0.019131,0.025296,0.047789,0.002395
"M1223.501T894.767",-0.032246,0.045443,-0.024681,0.0027512,-0.0024964,-0.013242
"M1014.419T974.744",-0.041401,-0.051692,0.045146,-0.029589,-0.017988,-0.041797
"M383.555T317.319",-0.029626,0.023033,-0.018896,0.0079431,0.016753,-0.01537
"M743.208T992.462",-0.025868,0.0072894,-0.052692,0.040632,-0.046153,0.087619
"M1305.428T315.265",-0.022548,-0.083344,0.041246,-0.021147,-0.018527,-0.008823
"M593.857T757.673",-0.029946,0.056518,-0.068979,-0.044274,0.0066801,-0.0064771
"M569.35T895.921",-0.02968,0.055877,-0.040437,0.024308,0.013013,-0.023425
"M325.2T1323.486",-0.025252,0.015746,-0.01114,0.028858,0.027621,0.016892
"M269.103T792.774",-0.031619,-0.0040488,-0.005635,-0.016184,0.0021853,0.026064
"M637.025T106.841",-0.028657,0.033551,0.0056589,-0.013061,-0.025716,-0.0038334
"M334.932T113.331",-0.028814,0.032914,-0.021699,0.0062735,0.012915,-0.007708
"M433.784T801.352",-0.030624,0.013548,0.034415,-0.0169,0.036285,-0.033887
"M1197.053T906.963",-0.011015,0.044534,-0.010246,0.00056223,-0.1372,0.023439
"M1048.557T894.929",-0.031372,0.033958,-0.042975,0.020284,0.03351,-0.0067967
"M295.104T156.471",-0.032583,0.012835,-0.026851,-0.0094552,0.026455,0.0032234
"M354.093T750.969",-0.029452,0.03242,-0.028118,-0.020557,0.035598,0.020352
"M398.263T1317.762",-0.030515,-0.024935,-0.032881,0.0028675,0.020574,-0.0090591
