"","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg"
"Label","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock"
"M281.07T709.104"," 0.06895811"," 0.80771819"," 0.40763136"," 0.38133857","-0.71784215","-0.45733408","-0.49047000"
"M577.137T781.037"," 0.2714123"," 1.1669968","-0.1201672"," 0.4541890","-0.4485088","-0.3622879","-0.9616342"
"M397.075T138.684"," 0.21146016"," 0.99020051"," 0.09350109"," 0.29835373","-0.58962419","-0.70886681","-0.29502450"
"M653.861T317.501"," 0.34629940"," 0.75454818"," 0.41366781"," 0.08248302","-0.52157986","-0.69352142","-0.38189712"
"M375.104T216.821"," 0.2558200"," 0.9764862"," 0.4241075"," 0.0721054","-0.6819782","-0.7362412","-0.3102996"
"M384.097T310.658"," 0.24539564"," 0.90402985"," 0.45352246","-0.04421992","-0.58942053","-0.56549590","-0.40381160"
"M591.094T89.826"," 0.2041464"," 1.0830035","-0.2649860"," 0.4379066","-0.5337401","-0.5258581","-0.4004723"
"M351.085T316.423"," 0.2116231"," 0.8802062"," 0.4018871"," 0.1065188","-0.5412443","-0.6213544","-0.4376365"
"M460.969T105.772"," 0.32256341"," 1.07256407"," 0.30666930","-0.01842756","-0.70592008","-0.40226551","-0.57518363"
"M241.033T103.182"," 0.1116826"," 1.0753895"," 0.1393017"," 0.1038155","-0.6166318","-0.3862317","-0.4273259"
"M665.267T889.419"," 0.3003519"," 0.8857508"," 0.4009314"," 0.2032437","-0.7066466","-0.7028417","-0.3807895"
"M969.939T315.438"," 0.3367604"," 0.4094760"," 0.5157783"," 0.5250537","-0.2847944","-0.5336767","-0.9685973"
"M1333.355T942.499"," 0.22532156"," 0.96461246"," 0.02936385"," 0.28576548","-0.67996174","-0.23040461","-0.59469700"
"M319.083T845.914"," 0.26922954"," 1.02783368"," 0.31899650"," 0.01999097","-0.52513968","-0.58983950","-0.52107151"
"M289.065T88.687","-0.02123834"," 0.91436087"," 0.26090673"," 0.32463570","-0.93350050","-0.42211297","-0.12305149"
"M289.086T1163.856"," 0.07251302"," 0.87619500"," 0.50082404"," 0.12345741","-0.56649783","-0.85423417","-0.15225747"
"M655.873T943.419"," 0.08012919"," 1.16876275"," 0.25933417"," 0.11965992","-0.56064730","-0.51639857","-0.55084016"
"M642.242T817.768"," 0.6188873"," 0.5910797"," 0.3199406"," 0.2559305","-0.4267208","-0.8244065","-0.5347109"
"M695.12T755.765"," 0.2734096"," 1.1130895"," 0.1112699"," 0.1489041","-0.8623930","-0.2723946","-0.5118855"
"M487.016T806.181"," 0.3798636"," 0.9458023"," 0.2101245"," 0.1124494","-0.3312507","-0.8549043","-0.4620849"
"M967.561T1349.704"," 0.23140109"," 1.00555776"," 0.32059707"," 0.05445667","-0.57082083","-0.69018371","-0.35100807"
"M821.606T900.199"," 0.3867864"," 0.9803680"," 0.4568999"," 0.4132313","-0.6864377","-0.9298289","-0.6210190"
"M1095.063T894.34"," 0.20613151"," 1.13461145"," 0.18348184","-0.01927074","-0.63008127","-0.32784701","-0.54702579"
"M279.139T1150.344"," 0.6976152"," 1.5022770"," 0.9652466"," 0.1870264","-1.1111251","-1.1123954","-1.1286447"
"M579.301T894.416"," 0.202129891"," 0.920310335"," 0.163861138"," 0.007452626","-0.563084064","-0.450742964","-0.279926962"
"M367.102T765.544"," 0.04502386"," 1.11808408"," 0.34581304"," 0.01922145","-0.48327191","-0.64845619","-0.39641433"
"M585.15T892.945"," 0.1711117"," 0.9514036"," 0.3287827"," 0.3356997","-0.6390247","-0.7140502","-0.4339228"
"M988.312T316.465"," 0.3472552"," 0.5796151"," 0.3041803"," 0.3212795","-0.4767574","-0.7814316","-0.2941411"
"M735.437T1351.512"," 0.39485902"," 0.95322917"," 0.18650875","-0.01203693","-0.67716785","-0.42591545","-0.41947671"
"M633.697T313.008"," 0.6634590261"," 0.6031187105"," 0.6858708739"," 0.0005158395","-0.4038321776","-1.2687304122","-0.2804018602"
"M851.154T319.552"," 0.2187390"," 0.9643086"," 0.2204546"," 0.0782686","-0.5588403","-0.4893013","-0.4336291"
"M265.093T134.502"," 0.02124017"," 0.80677067"," 0.49358588"," 0.26930337","-0.50286900","-0.68636418","-0.40166692"
"M575.708T1045.732"," 0.2247764"," 0.8365192"," 0.1723028"," 0.2461707","-0.5710097","-0.2116457","-0.6971137"
"M657.063T941.851"," 0.2740553"," 0.8960940"," 0.2495960"," 0.2806176","-0.6204977","-0.1558323","-0.9240329"
"M632.663T319.55"," 0.28709609"," 0.73624849"," 0.53556893","-0.05979645","-0.42603376","-0.78462447","-0.28845882"
"M593.543T760.107"," 0.3466799"," 1.2386440","-0.2284865"," 0.1586274","-0.7686320","-0.1785342","-0.5682988"
"M809.433T1339.33"," 0.29487775"," 0.99231809"," 0.20888284"," 0.04894801","-0.39666554","-0.53640611","-0.61195504"
"M1296.442T316.362"," 0.43877704"," 0.09175386"," 0.32814263"," 0.55414801","-0.39346161","-0.93705230","-0.08230763"
"M654.008T318.692"," 0.5085319"," 0.8162656"," 0.4197124","-0.1071079","-0.3754107","-0.8738942","-0.3880970"
"M923.402T931.508"," 0.4301301"," 0.8400480"," 0.6827336"," 0.3110271","-0.6766743","-1.2569395","-0.3303249"
"M428.2T856.891"," 0.3447131"," 0.9453601"," 0.3333120"," 0.3813380","-0.6576491","-0.9531211","-0.3939530"
"M281.069T746.743"," 0.03601189"," 0.98061644"," 0.45370775"," 0.01946727","-0.47936391","-0.53936980","-0.47106963"
"M703.247T844.715"," 0.4438600"," 0.8295589"," 0.4132056"," 0.2436310","-0.5440150","-0.9156792","-0.4705613"
"M590.015T907.684"," 0.1332588"," 1.0374062"," 0.1790021"," 0.1524946","-0.7313514","-0.2392888","-0.5315214"
"M455.081T704.884","-0.0223180"," 0.8456125"," 0.3947343"," 0.3758817","-0.6472804","-0.5413269","-0.4053032"
"M970.813T317.253"," 0.4484399"," 0.4326275"," 0.5151951"," 0.3939092","-0.5383569","-0.8629249","-0.3888899"
"M997.575T1403.78"," 0.2309553"," 0.8530173"," 0.3306587"," 0.1616191","-0.6557955","-0.4902150","-0.4302401"
"M1053.286T316.584"," 0.2735062"," 0.7079527"," 0.3742403"," 0.2250180","-0.4147009","-0.8172918","-0.3487245"
"M575.926T1053.198","-0.11845996"," 0.59532974"," 0.08370029"," 0.36792762","-0.35535247","-0.30527547","-0.26786974"
"M1163.085T907.707","-0.1493923"," 0.2853525"," 0.1498375"," 0.4903218","-0.6419098"," 0.3117634","-0.4459730"
"M421.636T753.774"," 0.395803718"," 1.158366210"," 0.006906855"," 0.213555755","-0.456764932","-0.467004346","-0.850863259"
"M709.31T874.193"," 0.2170467"," 1.0513078"," 0.4224145"," 0.2389569","-0.7022071","-0.8031782","-0.4243407"
"M361.589T316.501"," 0.30041281"," 0.83139725"," 0.51015567","-0.08898652","-0.45897544","-0.56967645","-0.52432731"
"M517.099T802.454","-0.14112862"," 1.17512095","-0.07403821"," 0.35048710","-0.48912899","-0.45489313","-0.36641910"
