"","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M643.188T893.85","11230.1967","14635.5168","1367.11886","14977.9463","8002.2191","6835.5943","12067.1022","17411.2304","11379.7195","14546.87","11190.4819","1367.11886","13278.7633","12569.0902","7831.068","1367.11886","13043.8271","12066.4905"
"M293.177T1149.195","31428.6427","21554.1392","37638.76316","16545.5331","22267.974","22875.2119","57542.8175","35040.0571","13189.4642","26780.442","30886.5612","15700.1637","15997.388","50510.9345","21562.3188","5770","19667.5042","24543.4603"
"M429.121T110.997","6965.36","9665.8396","631.42541","7921.9989","6252.785","7228.7152","8377.391","6713.668","6602.7508","6916.7565","8588.8313","575.3839","8026.0407","6461.7677","10548.0736","602","8640.9755","8046.189"
"M289.886T1868.955","61838.5217","58477.3263","53988.62145","63005.514","42868.2174","57760.1444","57252.0461","56128.0463","37045.0982","45608.0382","60600.8708","52988.5019","52443.4341","49857.9376","58234.3312","48500","58674.25","45151.1571"
"M269.15T1584.952","5755.6213","10080.7448","7319.57446","4782.4011","7491.8032","8202.2905","9306.9848","10141.15","7721.7526","10738.6923","10931.7412","4270.0782","7790.6945","9485.6161","12951.9255","4660","9898.9031","9490.5852"
"M427.124T881.088","13764.8968","5231.4038","811.53294","31600.659","8650.0612","7815.91","10832.8345","12441.504","6903.422","4057.6647","9275.8827","811.53294","8104.1924","8346.6448","8831.4012","811.53294","5695.8409","12447.967"
"M246.886T1784.096","14597.5387","19394.2405","10490.80536","20755.1032","18084.41","16404.1091","18018.727","25126.5101","15222.8403","18211.0083","23447.8739","17527.3709","16108.9842","21667.4408","22284.3442","14500","18680.2742","21977.2431"
"M318.143T1501.634","5607.2916","4553.3359","182.69465","3040.6361","6441.2031","4321.577","4327.4094","5161.0535","2732.6071","6242.896","5187.7991","2185.1203","6962.4011","4756.1035","4557.5623","7170","3256.1499","4607.1367"
"M1614.109T935.709","3798.4082","4359.7911","2313.36719","8292.3139","4811.4035","2390.7552","7522.33","6537.7893","3909.7787","2181.4577","4081.1218","2681.644","4469.7578","4631.7644","4303.1791","1450","6056.6251","5530.8776"
"M345.119T282.765","31485.1546","9558.5647","1188.89026","27417.7847","16018.7722","10962.8467","25147.9028","30091.2949","15655.2439","21077.0178","22514.9005","927.7317","28266.914","23923.095","23943.0511","398","22383.7976","34056.5292"
"M467.051T320.771","20268.7187","39869.3987","297.6063","25674.786","26819.6769","34527.2441","44465.1238","33832.7402","28744.8579","20934.8418","21661.2647","473.959","8427.784","6923.56","6407.604","249","28212.1396","30768.5974"
"M293.179T1541.097","1976.6108","1844.6982","2146.44312","2729.3684","2031.6577","2593.5737","1875.0864","2551.3884","2093.8933","2450.5291","2144.75","1681.145","2025.8545","2846.1621","2338.1543","2430","1833.627","2564.8418"
