"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"M428.2T856.891",-0.036426,0.010024,-0.0024957,0.010762,-0.01312,0.029687,-0.0022626
"M281.069T746.743",-0.029599,-0.017407,0.0054102,0.0013861,-0.0022775,-0.045384,-0.0021198
"M703.247T844.715",-0.034315,0.014587,0.019562,0.0079963,0.0072178,0.020437,0.00038298
"M590.015T907.684",-0.028722,-0.050511,-0.0065099,-0.0047237,-0.00091187,0.003893,0.0017781
"M455.081T704.884",-0.029585,-0.011248,-0.036291,-0.010516,-0.0031484,-0.0073558,-0.0059284
"M970.813T317.253",-0.029032,0.034903,0.0035834,-0.018088,0.025664,0.038219,0.0024291
"M997.575T1403.78",-0.029041,-0.018686,0.0037392,-0.011497,-0.00014525,0.0063173,0.00032075
"M1053.286T316.584",-0.028729,0.01718,0.0076696,0.009822,-0.0010539,0.0052769,-0.00035755
"M575.926T1053.198",-0.017771,-0.014172,-0.043345,0.014138,-0.0070176,0.0020099,0.0021556
"M1163.085T907.707",-0.011227,-0.045966,-0.069435,-0.043495,0.041499,0.025353,-0.0011649
"M421.636T753.774",-0.032636,-0.044301,0.01604,0.054131,0.031911,0.022915,-0.0082683
"M709.31T874.193",-0.036372,-0.0055474,-0.00097245,-0.0013179,-0.015088,-0.00083493,0.0040846
"M361.589T316.501",-0.028993,-0.0083752,0.037201,-0.0073804,0.01694,-0.028887,-0.0062123
"M517.099T802.454",-0.027895,-0.039563,-0.041543,0.047389,-0.037575,-0.0039553,-0.00027668
"M404.065T806.181",-0.025582,-0.018318,-0.019734,0.070188,-0.027345,0.091134,-0.0028848
"M982.374T904.236",-0.037413,0.017941,-0.010404,0.016264,0.0039011,0.018445,-0.00035244
"M383.433T314.152",-0.028086,-0.033845,0.012905,-0.0095081,-0.0015414,-0.0099459,0.00058063
"M362.298T315.255",-0.032023,-0.017883,0.001665,-0.0098236,-0.0090796,0.0032537,-0.0012881
"M1395.396T991.455",-0.028165,-0.015432,-0.086916,0.012129,-0.036427,0.067232,-0.00076853
"M481.183T769.795",-0.037446,-0.013855,-0.030361,-0.051413,0.043944,0.028172,-0.0011463
"M407.173T414.983",-0.033001,-0.038323,-0.031048,-0.05457,-0.063898,-0.0059811,0.00047461
"M1297.451T316.098",-0.025181,0.063132,-0.003158,0.0028064,-0.0099567,0.042954,-0.0064057
"M727.283T864.823",-0.027035,0.015575,0.0077765,-0.0066796,-0.0031442,0.024961,0.00015185
"M429.387T309.562",-0.030238,-0.0047426,0.044446,0.020109,-0.029333,0.040418,0.0036263
"M1031.84T1213.333",-0.026153,-0.016266,0.037904,-0.02516,0.013224,0.026402,-0.0023693
"M937.515T1306.76",-0.029202,-0.012945,0.035994,0.023248,-0.032125,0.0019559,-0.00013982
"M570.518T894.146",-0.028929,-0.054065,0.0041314,-0.019674,-0.028924,-0.051272,0.0046848
"M1162.717T895.445",-0.027685,-0.052153,-0.012594,0.018681,-0.013149,-0.068614,-0.0034587
"M289.446T802.654",-0.024229,-0.066931,-0.013552,0.071989,0.0070152,0.034372,-0.0021722
"M970.001T316.098",-0.023542,0.015316,-0.039799,-0.0080164,0.063675,0.047171,-0.0049965
"M647.193T836.421",-0.036561,0.0053612,0.0040545,0.039825,-0.015147,-0.010594,-0.0010875
"M863.184T809.21",-0.028103,-0.034947,-0.070645,-0.0086639,0.019652,0.044611,-0.0056182
"M565.23T844.341",-0.028598,-0.019752,0.013427,-0.021792,-0.00044012,-0.020856,0.003254
"M293.118T1042.937",-0.054752,0.023517,-0.014132,0.046773,0.099151,-0.063821,-0.011214
"M483.209T897.853",-0.031536,-0.0015785,0.011961,0.0016615,-0.014376,-0.019141,0.001071
"M1094.047T894.516",-0.029998,-0.055585,0.009795,0.0042419,-0.016703,-0.01872,-0.0025102
"M317.087T121.975",-0.032585,-0.013921,0.0071465,0.011792,-0.013692,0.010178,-0.00078757
"M909.388T926.435",-0.039839,0.047407,0.0085837,0.04896,-0.038873,-0.016831,-0.010684
"M549.258T834.983",-0.035169,0.07722,0.0062098,0.036682,-0.008249,-0.028355,0.001632
"M643.039T106.784",-0.02734,-0.022752,-0.0085869,-0.012385,-0.054618,0.003751,-0.0010666
"M415.744T872.34",-0.030625,0.0080543,0.011537,0.03629,-0.022257,0.0065871,-0.0029675
"M451.125T735.96",-0.033442,0.0071569,-0.0080669,0.035739,0.00068023,-0.007275,0.0013334
"M409.075T744.412",-0.030403,-0.02884,0.0057353,-0.00015181,0.0056839,-0.037503,-0.00098307
"M457.136T788.61",-0.035224,0.028886,0.015885,0.024008,-0.018536,0.0056535,-0.0033261
"M311.138T170.155",-0.03142,-0.017393,-0.017561,-0.0038459,-0.02207,-0.036295,0.0049481
"M593.763T756.056",-0.031439,-0.055375,0.0095198,0.017837,0.009733,0.021622,0.0043213
"M392.068T765.784",-0.028628,-0.022528,-0.027443,0.002073,0.0064711,-0.028831,-0.0011343
"M433.661T789.942",-0.029703,-0.0072188,-0.0032304,0.01453,-0.022031,0.012384,0.002013
"M919.493T1102.884",-0.02918,-0.030051,0.027385,-0.051983,-0.00038547,0.044559,0.0031082
"M870.649T1317.21",-0.021207,0.017176,0.049295,-0.03249,0.046972,0.021845,0.0031845
"M437.044T765.875",-0.034582,0.005681,0.0087875,0.0057974,0.006635,-0.032945,-0.0039252
"M861.253T1033.436",-0.043109,-0.039622,0.0082979,0.04613,-0.024087,0.012232,-0.0031047
