,FC,log2(FC),raw.pval,#NAME?
M271.021T88.704,3.9899,1.9963,0.077369,1.1114
M1269.507T907.7,2.6965,1.4311,0.078641,1.1043
M1097.561T894.34,3.9446,1.9799,0.082941,1.0812
M567.778T908.116,2.6256,1.3926,0.084357,1.0739
M754.827T67.274,3.4815,1.7997,0.086022,1.0654
M938.802T67.374,7.349,2.8775,0.086057,1.0652
M517.099T802.454,3.7657,1.9129,0.086813,1.0614
M567.276T907.878,2.8306,1.5011,0.089322,1.049
M1136.545T907.7,2.8404,1.5061,0.090605,1.0428
M570.518T894.146,3.9509,1.9822,0.092978,1.0316
M209.025T89.634,2.8131,1.4922,0.094833,1.023
