"","Fold Change","log2(FC)"
"M447.259T942.596",4.7039,2.2339
"M630.879T67.545",4.7039,2.2339
"M241.108T881.116",4.7024,2.2334
"M1094.293T897.844",4.6984,2.2322
"M551.272T837.928",4.6979,2.232
"M676.835T65.732",4.6935,2.2307
"M269.05T89.726",4.691,2.2299
"M549.205T845.853",4.6785,2.226
"M549.174T847.493",4.6592,2.2201
"M418.894T1736.453",4.6497,2.2171
"M747.22T952.211",4.6488,2.2169
"M1614.109T935.709",4.6411,2.2145
"M743.317T783.373",4.6286,2.2106
"M1103.384T928.554",4.6277,2.2103
"M420.999T106.905",4.6268,2.21
"M1125.418T877.844",4.6217,2.2084
"M333.926T91.902",4.6162,2.2067
"M440.855T1728.569",4.6115,2.2052
"M375.104T216.821",4.6091,2.2045
"M309.119T137.634",4.6087,2.2044
"M1042.422T909.151",4.6076,2.204
"M768.448T1315.096",4.6054,2.2033
"M494.168T786.301",4.6052,2.2033
"M1129.441T885.407",4.6051,2.2032
"M863.373T951.624",4.5993,2.2014
"M335.137T198.47",4.5979,2.201
"M455.081T744.378",4.5899,2.1984
"M641.167T774.439",4.5806,2.1955
"M769.419T945.253",4.5762,2.1942
"M812.842T69.273",4.5735,2.1933
"M465.105T746.988",4.5722,2.1929
"M988.804T68.066",4.571,2.1925
"M289.026T88.643",4.571,2.1925
"M359.123T830.487",4.5659,2.1909
"M317.087T121.975",4.5549,2.1874
"M281.049T89.959",4.5535,2.187
"M547.234T852.079",4.5515,2.1863
"M187.905T92.369",4.5479,2.1852
"M665.267T889.419",4.5325,2.1803
"M693.278T872.306",4.5228,2.1772
"M531.078T845.355",4.5175,2.1755
"M408.822T1801.685",4.5131,2.1741
"M292.14T116.338",4.5119,2.1737
"M359.022T90.408",4.4955,2.1685
"M568.907T66.858",4.4923,2.1674
"M1323.575T889.628",4.4874,2.1659
"M1087.412T876.684",4.4739,2.1615
"M1255.613T888.434",4.4725,2.1611
"M495.025T292.616",4.4595,2.1569
"M1097.549T894.492",4.4524,2.1546
"M311.186T1077.614",4.4518,2.1544
"M625.024T106.841",4.4463,2.1526
"M333.083T110.42",4.4461,2.1525
"M173.008T106.871",4.4349,2.1489
"M445.135T747.805",4.4298,2.1472
"M297.119T136.686",4.424,2.1454
"M821.506T1329.663",4.4143,2.1422
"M830.24T316.247",4.403,2.1385
"M433.122T384.02",4.3955,2.136
"M417.177T763.775",4.3939,2.1355
"M698.988T986.183",4.3892,2.1339
"M402.187T763.436",4.3756,2.1295
"M555.17T790.902",4.3728,2.1286
"M861.166T878.352",4.368,2.127
"M473.196T813.174",4.366,2.1263
"M323.042T818.446",4.3627,2.1252
"M491.126T414.484",4.346,2.1197
"M493.23T921.818",4.346,2.1197
"M461.152T871.999",4.345,2.1193
"M1296.901T900.549",4.3415,2.1182
"M927.368T972.44",4.3408,2.118
"M653.913T316.046",4.3389,2.1173
"M1094.047T894.516",4.3367,2.1166
"M497.261T974.778",4.3328,2.1153
"M407.045T415.442",4.3247,2.1126
"M429.419T313.767",4.324,2.1124
"M397.259T1311.545",4.3211,2.1114
"M655.189T778.866",4.3189,2.1107
"M362.298T315.255",4.3137,2.1089
"M609.054T106.871",4.299,2.104
"M1162.051T893.06",4.2952,2.1027
"M559.066T758.189",4.2859,2.0996
"M1079.533T897.421",4.2842,2.099
"M1395.396T991.455",4.2806,2.0978
"M319.083T845.914",4.2797,2.0975
"M864.188T806.912",4.2756,2.0961
"M591.465T1235.608",0.23412,-2.0947
"M454.975T107.571",4.2704,2.0944
"M418.218T902.438",4.2685,2.0937
"M398.263T1317.762",4.2681,2.0936
"M373.167T930.605",4.2653,2.0927
"M315.108T761.986",4.263,2.0919
"M310.969T105.491",4.2625,2.0917
"M593.709T851.665",4.2582,2.0902
"M585.878T68.251",4.2509,2.0878
"M573.017T749.518",4.2467,2.0863
"M431.759T791.911",4.2447,2.0857
"M448.965T106.062",4.2446,2.0856
"M693.17T791.92",4.2435,2.0852
"M518.153T824.178",4.2424,2.0849
"M653.891T318.024",4.2409,2.0844
"M529.154T821.794",4.2377,2.0833
"M367.058T823.98",4.2364,2.0828
"M367.102T765.544",4.234,2.082
"M429.25T1071.941",4.2334,2.0818
"M269.103T792.774",4.2295,2.0805
"M567.333T903.822",4.2245,2.0788
"M371.133T805.134",4.224,2.0786
"M581.283T805.632",4.2162,2.0759
"M778.832T66.858",4.2113,2.0743
"M507.209T930.4",4.2084,2.0733
"M1224.522T894.229",4.1961,2.069
"M643.847T66.912",4.1858,2.0655
"M758.447T1173.243",4.1847,2.0651
"M501.195T803.697",4.1822,2.0643
"M351.13T801.057",4.182,2.0642
"M447.152T782.273",4.1705,2.0602
"M470.098T771.956",4.1698,2.06
"M615.195T761.983",4.1651,2.0583
"M569.35T895.921",4.1568,2.0555
"M469.019T418.674",4.1517,2.0537
"M427.038T293.27",4.1451,2.0514
"M311.138T170.155",4.1422,2.0504
"M1095.063T894.34",4.1386,2.0492
"M316.427T318.614",4.1356,2.0481
"M289.886T1868.955",4.1346,2.0478
"M513.235T964.262",4.1337,2.0474
"M293.177T1099.499",4.124,2.044
"M967.394T924.933",4.1235,2.0439
"M439.009T107.459",4.122,2.0434
"M415.086T168.579",4.1218,2.0433
"M591.094T89.826",4.1159,2.0412
"M327.108T784.235",4.1099,2.0391
"M289.084T863.831",4.1026,2.0366
"M586.884T67.938",4.0994,2.0354
"M521.224T935.29",4.0939,2.0335
"M559.728T1193.65",4.0752,2.0269
"M963.275T732.778",4.0739,2.0264
"M548.979T106.308",4.0657,2.0235
"M509.218T928.864",4.0578,2.0207
"M642.242T817.768",4.0552,2.0198
"M1193.356T907.422",4.0531,2.019
"M863.184T809.21",4.0502,2.018
"M1093.54T895.081",4.0474,2.017
"M611.22T783.374",4.0415,2.0149
"M967.561T1349.704",4.0397,2.0142
"M432.997T107.064",4.0378,2.0136
"M1161.526T895.081",4.0361,2.013
"M683.129T316.242",4.0324,2.0117
"M447.151T677.76",4.0222,2.008
"M251.019T152.27",4.021,2.0076
"M657.063T941.851",4.0206,2.0074
"M1013.86T1346.532",4.0174,2.0062
"M487.016T806.181",4.0168,2.006
"M427.197T838.449",4.0146,2.0053
"M354.957T108.842",4.0114,2.0041
"M795.27T865.806",4.0028,2.001
"M328.886T98.013",3.9957,1.9985
"M673.289T892.945",3.9938,1.9978
"M271.021T88.704",3.9899,1.9963
"M715.427T310.719",3.9867,1.9952
"M485.168T916.74",3.9805,1.993
"M353.052T831.694",3.9796,1.9926
"M601.172T845.875",3.9786,1.9923
"M459.149T771.729",3.975,1.991
"M1132.537T923.907",3.9701,1.9892
"M340.859T1719.351",3.97,1.9891
"M409.075T744.412",3.9688,1.9887
"M621.052T106.9",3.9623,1.9863
"M799.852T67.938",3.9618,1.9862
"M998.861T1404.179",3.9571,1.9844
"M473.173T806.642",3.9531,1.983
"M569.273T895.199",3.9525,1.9828
"M570.518T894.146",3.9509,1.9822
"M467.156T971.498",3.9451,1.9801
"M1097.561T894.34",3.9446,1.9799
"M654.008T318.692",3.9421,1.979
"M472.901T67.482",3.9418,1.9789
"M405.177T839.252",3.9408,1.9785
"M836.522T1479.692",3.938,1.9775
"M483.209T897.853",3.9372,1.9772
"M1161.521T895.466",3.934,1.976
"M1201.918T909.936",3.9268,1.9733
"M776.814T66.22",3.925,1.9727
"M784.154T761.471",3.9227,1.9719
"M627.173T806.181",3.9192,1.9706
"M359.098T671.316",3.9183,1.9702
"M427.009T107.872",3.9181,1.9701
"M1045.593T1289.364",3.9164,1.9695
"M569.775T895.343",3.9163,1.9695
"M387.165T771.864",3.9145,1.9688
"M366.994T111.318",3.9135,1.9685
"M969.939T315.438",3.9119,1.9679
"M547.145T895.878",3.9115,1.9677
"M377.162T1630.7",3.9095,1.967
"M299.259T1433.689",3.9093,1.9669
"M429.387T309.562",3.9005,1.9637
"M265.261T1518.666",3.8918,1.9604
"M266.946T113.686",3.8894,1.9596
"M403.064T798.991",3.8821,1.9568
"M651.363T1268.695",3.8821,1.9568
"M658.83T67.591",3.878,1.9553
"M970.813T317.253",3.8771,1.955
"M771.203T760.252",3.8736,1.9537
"M875.467T1241.171",3.873,1.9534
"M435.217T805.716",3.867,1.9512
"M354.093T750.969",3.8661,1.9509
"M418.974T1483.997",3.8658,1.9508
"M397.075T138.684",3.8635,1.9499
"M419.115T799.29",3.8618,1.9493
"M277.129T811.716",3.8583,1.948
"M429.504T310.912",3.8479,1.9441
"M409.172T733.287",3.8469,1.9437
"M625.178T776.712",3.8451,1.943
"M272.963T113.946",3.8425,1.9421
"M1069.501T1402.821",3.8411,1.9415
"M723.346T899.128",3.8322,1.9382
"M409.045T138.763",3.8301,1.9374
"M593.545T851.652",3.8278,1.9365
"M511.24T944.134",3.8271,1.9363
"M399.165T851.906",3.8264,1.936
"M305.082T1122.457",3.8265,1.936
"M393.176T847.594",3.8241,1.9351
"M661.253T876.035",3.8211,1.934
"M702.25T942.066",3.821,1.934
"M344.099T126.621",3.8167,1.9323
"M338.938T105.668",3.8163,1.9322
"M626.185T785.506",3.812,1.9305
"M385.188T793.619",3.8084,1.9292
"M919.493T1102.884",3.8032,1.9272
"M530.968T106.005",3.7983,1.9254
"M331.103T255.151",3.798,1.9252
"M434.871T1737.903",3.7937,1.9236
"M559.04T89.345",3.7913,1.9227
"M743.208T992.462",3.7884,1.9216
"M494.233T920.795",3.7848,1.9202
"M755.7T809.167",3.7839,1.9199
"M333.191T983.058",3.778,1.9176
"M280.987T110.997",3.776,1.9169
"M293.179T1541.097",3.7758,1.9168
"M438.263T1164.917",3.7726,1.9156
"M367.08T114.463",3.7696,1.9144
"M443.191T791.98",3.7686,1.914
"M631.833T319.717",3.7684,1.9139
"M632.847T316.374",3.7679,1.9138
"M517.099T802.454",3.7657,1.9129
"M649.026T106.128",3.7645,1.9124
"M1096.548T894.929",3.7571,1.9096
"M203.204T105.674",3.7538,1.9084
"M1162.717T895.445",3.753,1.9081
"M483.178T941.182",3.7532,1.9081
"M728.286T863.521",3.7419,1.9038
"M281.07T709.104",3.7392,1.9027
"M359.061T194.361",3.7358,1.9014
"M377.181T797.379",3.7352,1.9012
"M567.171T792.05",3.7339,1.9007
"M279.164T1571.945",3.7335,1.9005
"M613.774T885.363",3.7329,1.9003
"M643.245T813.714",3.7303,1.8993
"M1105.431T888.552",3.7281,1.8984
"M1096.195T893.605",3.7234,1.8966
"M998.841T1404.514",3.7075,1.8904
"M621.221T884.304",3.6995,1.8873
"M1085.513T1348.399",3.6977,1.8866
"M1331.507T909.803",3.688,1.8828
"M697.753T1005.082",3.6786,1.8792
"M649.302T900.549",3.6768,1.8784
"M1043.424T909.662",3.6704,1.876
"M323.187T1016.246",3.668,1.875
"M349.072T1165.294",3.6673,1.8747
"M139.002T112.479",3.6668,1.8745
"M809.433T1339.33",3.66,1.8718
"M1209.581T888.373",3.66,1.8718
"M389.182T799.355",3.6561,1.8703
"M318.143T1501.634",3.6508,1.8682
"M701.333T69.273",3.6495,1.8677
"M700.328T66.684",3.6309,1.8603
"M457.19T799.683",3.6306,1.8602
"M383.609T322.831",3.6294,1.8597
"M285.909T1803.837",3.626,1.8584
"M559.667T1200.71",3.6225,1.857
"M590.015T907.684",3.6224,1.8569
"M443.193T725.675",3.6197,1.8559
"M433.784T801.352",3.6187,1.8555
"M524.981T106.871",3.6104,1.8522
"M524.183T892.811",3.6068,1.8507
"M415.744T872.34",3.6053,1.8501
"M445.095T115.802",3.6021,1.8488
"M417.764T850.924",3.6016,1.8486
"M751.173T317.266",3.6001,1.848
"M443.058T752.856",3.5996,1.8478
"M384.097T310.658",3.599,1.8476
"M707.828T66.684",3.5941,1.8456
"M321.216T1624.59",3.592,1.8448
"M847.188T757.14",3.589,1.8436
"M383.555T317.319",3.5887,1.8434
"M289.086T1163.856",3.5884,1.8433
"M465.141T849.089",3.5795,1.8397
"M419.03T798.766",3.5786,1.8394
"M553.164T782.325",3.5739,1.8375
"M413.081T316.361",3.5716,1.8366
"M455.081T704.884",3.5681,1.8352
"M351.085T316.423",3.5652,1.834
"M615.152T88.13",3.5646,1.8337
"M731.208T950.406",3.5623,1.8328
"M1053.272T316.465",3.56,1.8319
"M881.515T1351.787",3.5552,1.8299
"M619.26T816.529",3.5519,1.8286
"M611.147T106.977",3.5513,1.8284
"M281.069T746.743",3.5507,1.8281
"M626.212T761.224",3.5506,1.828
"M1014.585T1348.471",3.5458,1.8261
"M404.065T806.181",3.538,1.8229
"M653.935T315.929",3.5338,1.8212
"M735.437T1351.512",3.5323,1.8206
"M221.066T891.624",3.5281,1.8189
"M1097.514T1402.931",3.5281,1.8189
"M572.874T67.143",3.5239,1.8172
"M405.08T802.267",3.5219,1.8164
"M329.088T474.939",3.5212,1.8161
"M576.861T67.042",3.5181,1.8148
"M429.121T110.997",3.5167,1.8142
"M409.002T109.878",3.5119,1.8123
"M508.215T930.69",3.5038,1.8089
"M429.646T308.971",3.4994,1.8071
"M701.418T1268.098",3.4852,1.8012
"M361.589T316.501",3.4836,1.8006
"M372.9T1734.569",3.4827,1.8002
"M865.491T1326.551",3.4824,1.8001
"M805.362T924.937",3.4825,1.8001
"M754.827T67.274",3.4815,1.7997
"M280.961T95.439",3.4758,1.7974
"M397.002T110.368",3.476,1.7974
"M241.033T103.182",3.4755,1.7972
"M311.065T863.883",3.4744,1.7968
"M265.093T134.502",3.4729,1.7961
"M569.181T807.905",3.4717,1.7956
"M767.194T317.413",3.4696,1.7947
"M942.469T1308.469",3.4692,1.7946
"M695.289T1193.403",3.4656,1.7931
