"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"M927.48T16.56",0.00095777,-0.0056002,-0.047764,0.018,-0.05581,0.019475,-0.014763,-0.028118,-0.004977,-0.038776,0.011977,-0.034848,-0.048473,-0.019499,-0.060641,0.015023,-0.020451,-0.00045678,0.082451,0.038923,0.049608,0.040308,0.0085754,0.031175,-0.082743,0.041206,-0.041102,0.03108,0.026076,-0.05199,0.0024628,-0.0066097,0.03595,-0.047031,-0.00091969,-0.04485,0.042476,-0.015683,0.030773,-0.034369,0.010374,-0.049389,0.029436,-0.016813,-0.010872,0.05255,-0.0098211,-0.00022022,-0.0049923,0.037558,0.01081
"M927.81T18.56",-0.022809,-0.025967,-0.021394,-0.023867,-0.03595,0.01478,0.0058924,0.042992,0.03753,0.03541,0.05829,-0.026617,-0.0047141,-0.021129,-0.016068,-0.00073592,-0.022508,-0.011424,0.030523,0.061702,-0.0075017,0.0045774,-0.01268,0.001689,0.010104,0.015238,0.0081197,-0.026832,-0.0019597,0.03274,-0.055575,-0.05053,-0.0033634,-0.0062995,-0.033624,0.007551,0.017595,0.024089,0.026748,-0.0054728,0.044799,-0.015623,-0.042875,-0.023984,0.0013441,0.02593,0.019879,-0.019153,-0.068488,0.0086239,0.016428
"M928.81T17.56",-0.030407,-0.00085793,-0.064693,0.05937,0.0047616,-0.033232,-0.070427,-0.0080832,-0.052626,0.012861,0.0008117,0.013351,-0.046737,0.022982,0.010117,-0.02383,0.027988,0.028449,-0.0077756,-0.0055591,0.029448,0.012559,-0.0028416,0.036491,0.03774,0.0060246,-0.024178,-0.02387,0.015306,0.016081,0.033002,0.015081,-0.030527,0.033596,-0.030917,0.015398,0.0047818,0.014474,-0.0098633,0.022245,0.0040888,-0.01132,-0.0044426,0.00091007,0.0081871,0.0022719,0.0071387,0.013579,-0.042056,-0.010275,-0.011178
"M929.16T14.49",-0.0014378,-0.0027672,-0.028456,0.00056118,-0.017092,-0.01494,0.018967,-0.01177,0.004806,-0.012362,-0.037382,-0.055013,-0.065391,0.019907,-0.010174,0.02951,-0.020924,0.004196,-0.043956,-0.01229,-0.0069123,-0.0055852,-0.0058758,-0.025622,-0.0052796,-0.012002,0.0097992,-0.043201,-0.040107,-0.01417,0.0068348,0.0047849,0.028309,-0.031208,0.00012831,-0.0088856,0.011271,0.03809,0.002475,-0.054914,0.051029,0.0091355,0.012258,-0.038133,-0.028789,0.0292,-0.012252,0.048347,0.019321,0.0059414,0.0018367
"M931.15T16.07",-0.01185,-0.014423,-0.031733,-0.020809,-0.0049293,0.028079,-0.0090215,-0.0087081,0.037021,0.036814,-0.018453,0.028956,-0.063705,-0.075006,0.051569,-0.012903,0.069734,-0.025971,-0.045442,0.01008,-0.0020149,-0.025861,-0.10178,-0.058448,-0.028174,-0.0062688,0.014,0.027056,0.037189,-0.095813,0.0081362,0.030698,-0.022694,0.026306,0.0015551,0.0076191,-0.057153,-0.024349,-0.027176,-0.020401,0.008056,-0.056364,0.07175,-0.031233,-0.030222,-0.015539,0.040941,0.035665,-0.046409,-0.011532,0.0024449
"M931.15T13.54",0.013808,-0.010107,-0.0042134,-0.063535,0.015983,0.041557,-0.050038,0.032083,0.0027279,0.0031105,0.067922,0.042452,0.034552,-0.02098,0.022722,-0.0058081,0.0028567,0.036684,-0.024368,-0.012506,0.054622,0.04454,0.033709,0.02458,-0.0071566,-0.013885,0.029944,0.013486,-0.033175,0.0061035,-0.048505,-0.069501,-0.046959,0.0087419,-0.029071,-0.027238,-0.0056693,0.065796,-0.0078566,0.0043215,0.025677,-0.054124,-0.066405,0.03359,-0.028873,-0.0074743,-0.024393,0.028009,-0.020206,0.0017405,0.00065724
"M931.82T12.55",0.0095155,-0.028723,0.01286,-0.030055,-0.019398,0.014384,-0.0025981,-0.050497,0.0066541,0.040829,-0.013302,-0.040529,0.051755,0.04605,0.0037268,0.026493,-0.010361,-0.012858,-0.023935,0.01341,0.0025624,0.047579,-0.019566,-0.02518,-0.017722,-0.052008,0.0060416,0.015207,0.025155,-0.028773,0.023905,-0.0333,0.011184,0.012129,-0.024487,-0.02685,-0.021282,-0.046134,0.035433,-0.053757,-0.026384,-0.02048,-0.024256,-0.036918,-0.033759,-0.0074331,0.01785,0.046617,-0.0094241,0.033469,0.016135
"M933.32T17.56",-0.021593,-0.031892,0.0099271,-0.018616,0.059884,0.029745,0.074207,0.039709,0.0075594,-0.010713,0.019395,-0.046836,-0.0070638,-0.0058981,0.021015,-0.012341,0.012339,0.033426,0.010407,-0.010835,-0.018492,-0.023426,-0.023291,0.00015556,-0.033014,-0.03097,0.037405,0.0050817,-0.006941,0.00061441,0.0059137,0.028342,0.013882,0.022971,0.028301,-0.019528,-0.010711,0.045602,-0.031139,-0.0054044,0.033734,0.0043483,0.056544,-0.0053244,-0.019577,0.0025404,-0.019974,-0.016447,0.0082898,0.0083506,0.0031625
"M933.32T12.54",-0.0063412,0.0062112,-0.049405,-0.049747,-0.0036763,-0.027292,-0.0097346,0.005026,-0.075727,0.0042396,-0.04455,-0.0050317,0.045554,-0.01947,-0.037318,-0.00026728,0.037243,0.004735,-0.012772,0.031759,-0.0049453,0.00016013,0.0069114,-0.027416,-0.043416,0.012331,-0.032504,-0.054447,0.0069018,0.0048349,-0.038492,0.021018,0.038735,0.0067334,-0.020403,0.026828,0.017291,0.010937,0.0046761,0.034552,-0.0093731,-0.0081312,0.0026412,-0.019115,-0.013785,-0.0049563,0.050672,0.030635,0.0046207,0.032936,0.0094022
"M933.83T12.55",0.017949,0.0058062,-0.032301,-0.041213,0.035442,-0.014908,0.0095902,-0.015825,-0.0010514,0.0224,0.0078657,0.0090569,0.01794,0.0053985,0.008535,-0.019292,-0.056235,-0.00088352,0.033069,-0.015896,0.031066,-0.014272,0.039849,0.024812,0.0044437,0.012483,0.036816,-0.012258,0.022932,-0.0037899,0.029034,-0.025787,-0.004391,0.034417,-0.03189,0.025515,0.027678,-0.020879,-0.016274,0.012567,0.0071116,-0.00038499,-0.0099175,-0.0087145,0.0070342,0.0017477,-0.0068086,-0.038182,0.015773,0.021124,0.0020277
