"",F.stat,p.value,-log10(p),FDR
M1291.74T17.56,1.7621,0.091409,1.039,0.50569
M1126.11T17.56,1.7611,0.091621,1.038,0.50569
M1230.75T17.56,1.7571,0.092485,1.0339,0.508
M1201.1T13.6,1.7542,0.093127,1.0309,0.50907
M1394.72T17.56,1.7502,0.093994,1.0269,0.5092
M1431.72T17.4,1.7499,0.094053,1.0266,0.5092
M1048.79T17.56,1.7452,0.095105,1.0218,0.5092
M1212.43T14.57,1.745,0.09515,1.0216,0.5092
M1238.76T16.56,1.7439,0.095391,1.0205,0.5092
M1258.75T17.56,1.7396,0.096351,1.0161,0.51192
M1040.8T12.55,1.7346,0.097478,1.0111,0.5155
M1007.47T16.56,1.7317,0.098148,1.0081,0.51664
M1251.42T17.4,1.7238,0.099979,1.0001,0.52385
M902.16T16.56,1.718,0.10132,0.9943,0.52794
M1204.77T16.56,1.7165,0.10169,0.99273,0.52794
M1155.77T17.56,1.7117,0.10283,0.98786,0.53147
M1285.75T11.68,1.7069,0.10398,0.98304,0.53497
M1026.78T18.56,1.704,0.10468,0.98013,0.53614
M780.84T18.56,1.6961,0.10662,0.97216,0.54348
M1429.22T13.55,1.6943,0.10707,0.97033,0.54348
M631.86T17.56,1.69,0.10815,0.96598,0.54353
M1070.29T12.55,1.6891,0.10838,0.96504,0.54353
M1364.73T12.54,1.6883,0.10858,0.96424,0.54353
M1084.11T17.55,1.6866,0.10899,0.9626,0.54353
M1025.8T13.55,1.6828,0.10996,0.95875,0.54379
M922.8T18.56,1.6827,0.11,0.9586,0.54379
M1442.72T13.1,1.6732,0.11245,0.94904,0.54738
M1160.77T17.56,1.6719,0.11278,0.94776,0.54738
M934.15T16.56,1.6699,0.1133,0.94576,0.54738
M1048.79T12.55,1.6677,0.11387,0.94358,0.54738
M1220.5T13.6,1.6673,0.11397,0.9432,0.54738
M1243.75T17.56,1.6661,0.11431,0.94191,0.54738
M895.82T17.56,1.6653,0.1145,0.94118,0.54738
M1702.42T13.55,1.6641,0.11483,0.93994,0.54738
M977.3T17.56,1.6604,0.11583,0.93618,0.54738
M967.31T17.56,1.6597,0.116,0.93554,0.54738
M966.31T17.55,1.6595,0.11607,0.93528,0.54738
M854.81T18.56,1.6578,0.1165,0.93366,0.54738
M1113.28T17.56,1.6557,0.11708,0.93153,0.5478
M408.91T18.56,1.6535,0.11767,0.92932,0.54835
M836.84T17.55,1.6499,0.11866,0.92569,0.54859
M1087.79T12.55,1.6498,0.11869,0.92558,0.54859
M827.83T17.56,1.6435,0.12042,0.9193,0.55077
M177.03T19.56,1.6419,0.12087,0.9177,0.55077
M1465.21T13.54,1.6414,0.121,0.9172,0.55077
M1116.27T17.56,1.6396,0.12152,0.91534,0.55077
M801.83T17.56,1.6393,0.12159,0.91511,0.55077
M1100.79T13.54,1.6362,0.12246,0.91199,0.55255
M1228.76T12.55,1.632,0.12365,0.90782,0.553
M1254.04T16.06,1.6299,0.12426,0.90566,0.553
M1095.45T17.55,1.6285,0.12466,0.90428,0.553
M786.82T18.57,1.6284,0.1247,0.90413,0.553
M1221.75T17.47,1.6273,0.125,0.9031,0.553
M1060.79T17.56,1.6249,0.12569,0.90069,0.55317
M565.89T17.56,1.6238,0.12601,0.8996,0.55317
M1163.44T16.55,1.6182,0.12765,0.89398,0.55822
M1050.79T17.56,1.6149,0.1286,0.89075,0.55843
M1290.06T16.98,1.6147,0.12868,0.89049,0.55843
M1004.8T12.55,1.6063,0.13117,0.88215,0.56542
M1193.76T17.56,1.6059,0.13129,0.88178,0.56542
M842.82T11.54,1.6031,0.13215,0.87893,0.56698
M1507.7T16.55,1.6014,0.13264,0.87731,0.56698
M926.81T18.56,1.5924,0.13541,0.86835,0.57663
M816.51T13.55,1.5899,0.13619,0.86585,0.5778
M741.85T17.56,1.5864,0.13728,0.86239,0.58025
M1611.18T13.55,1.5836,0.13815,0.85964,0.58178
M927.48T16.56,1.5804,0.13917,0.85645,0.58201
M420.91T18.56,1.5802,0.13923,0.85626,0.58201
M632.88T17.56,1.5735,0.14137,0.84963,0.58734
M1034.8T17.55,1.5701,0.14248,0.84626,0.58734
M1166.77T17.55,1.5688,0.1429,0.84497,0.58734
M536.9T17.56,1.5687,0.14294,0.84483,0.58734
M1739.67T13.55,1.5626,0.14493,0.83883,0.58734
M911.81T18.56,1.5626,0.14495,0.83879,0.58734
M1592.69T13.55,1.5575,0.14662,0.8338,0.58734
M1080.79T17.56,1.5568,0.14685,0.83313,0.58734
M1117.28T13.55,1.5564,0.14699,0.8327,0.58734
M1081.78T17.56,1.5561,0.14709,0.83242,0.58734
M894.16T16.98,1.556,0.14714,0.83227,0.58734
M800.83T11.54,1.556,0.14715,0.83225,0.58734
M901.82T17.55,1.5547,0.14755,0.83105,0.58734
M1024.29T17.56,1.5542,0.14774,0.83051,0.58734
M807.83T12.55,1.5525,0.14832,0.8288,0.5876
M1077.44T17.56,1.5485,0.14967,0.82487,0.59088
M955.81T17.56,1.5453,0.15074,0.82177,0.59196
M1423.46T13.55,1.5423,0.15178,0.81877,0.59196
M670.37T13.55,1.5415,0.15204,0.81805,0.59196
M1322.48T13.55,1.54,0.15256,0.81657,0.59196
M1367.73T12.55,1.5395,0.15273,0.81609,0.59196
M1124.03T13.55,1.5357,0.15406,0.81232,0.59196
M1638.68T13.55,1.5353,0.1542,0.81192,0.59196
M1255.09T13.55,1.5342,0.15457,0.81088,0.59196
M1406.22T13.55,1.5304,0.15592,0.80711,0.59196
M564.89T12.55,1.5291,0.15639,0.8058,0.59196
M1197.43T17.56,1.5289,0.15645,0.80564,0.59196
M1498.21T13.55,1.5273,0.15703,0.80403,0.59196
M1429.06T13.55,1.5271,0.15709,0.80385,0.59196
M944.82T12.55,1.5267,0.15723,0.80346,0.59196
M1024.79T17.56,1.5238,0.15825,0.80066,0.59382
M1587.38T13.99,1.5157,0.16116,0.79274,0.60277
M1024.8T12.54,1.5137,0.1619,0.79074,0.60354
M1386.72T16.56,1.5123,0.16243,0.78933,0.60354
M757.84T19.56,1.5094,0.16346,0.78658,0.60415
M853.82T17.56,1.5089,0.16366,0.78606,0.60415
M1035.8T17.56,1.5035,0.16566,0.78077,0.60472
M1182.1T17.55,1.4997,0.16708,0.77707,0.60472
