"",F.stat,p.value,-log10(p),FDR
M1038.13T16.55,1.6935,0.18121,0.74183,0.62296
M720.85T18.56,1.6925,0.18142,0.74131,0.62296
M1087.79T12.55,1.6879,0.1824,0.73898,0.62296
M944.82T17.56,1.6877,0.18244,0.73887,0.62296
M1239.26T16.56,1.6876,0.18245,0.73885,0.62296
M408.91T18.56,1.6765,0.18483,0.73323,0.62532
M1603.36T13.55,1.6753,0.18509,0.73261,0.62532
M1064.47T13.55,1.6713,0.18594,0.73062,0.62532
M910.81T11.54,1.6711,0.18599,0.73052,0.62532
M1166.44T14.63,1.6683,0.18659,0.7291,0.62532
M1300.08T12.55,1.6679,0.18668,0.7289,0.62532
M1094.04T13.55,1.6665,0.18699,0.72818,0.62532
M1238.76T16.56,1.6601,0.18838,0.72497,0.62636
M1496.04T13.55,1.66,0.18841,0.72491,0.62636
M810.84T12.55,1.6554,0.1894,0.72262,0.62729
M954.14T16.72,1.6537,0.18979,0.72173,0.62729
M1116.1T17.55,1.6496,0.19069,0.71967,0.62846
M1587.37T13.55,1.6454,0.19163,0.71754,0.62927
M1062.79T12.55,1.6435,0.19205,0.7166,0.62927
M1429.06T13.55,1.6362,0.19369,0.7129,0.63282
M1558.36T14.49,1.6303,0.19501,0.70994,0.63368
M1225.1T13.55,1.6301,0.19506,0.70983,0.63368
M934.8T18.56,1.6272,0.19571,0.70839,0.63397
M1717.34T13.55,1.6239,0.19646,0.70672,0.6346
M1597.03T13.54,1.6193,0.19751,0.70441,0.63618
M732.84T18.56,1.6128,0.19902,0.70111,0.63818
M236.94T4.52,1.6117,0.19926,0.70059,0.63818
M969.48T16.46,1.6055,0.2007,0.69746,0.63946
M1446.44T13.6,1.6052,0.20078,0.69728,0.63946
M958.79T18.56,1.5985,0.20235,0.69391,0.64058
M1228.25T16.56,1.5965,0.2028,0.69293,0.64058
M1375.73T17.55,1.5939,0.20343,0.69159,0.64058
M1182.76T17.56,1.5913,0.20402,0.69032,0.64058
M1113.77T17.56,1.5896,0.20443,0.68945,0.64058
M1384.72T17.55,1.5893,0.20451,0.68928,0.64058
M1244.75T17.56,1.5869,0.20509,0.68806,0.64062
M696.85T11.54,1.5842,0.20571,0.68674,0.6408
M1417.47T13.55,1.5788,0.20701,0.684,0.64161
M1433.39T12.55,1.5777,0.20728,0.68344,0.64161
M1121.44T17.55,1.5761,0.20766,0.68264,0.64161
M564.89T12.55,1.565,0.21035,0.67705,0.64691
M771.18T13.55,1.5643,0.21052,0.67671,0.64691
M647.46T1437.41,1.5594,0.21173,0.67422,0.64844
M1186.05T14.49,1.5552,0.21275,0.67214,0.64844
M592.89T17.56,1.553,0.21329,0.67102,0.64844
M1011.79T12.55,1.553,0.2133,0.67102,0.64844
M1446.21T13.55,1.5441,0.2155,0.66655,0.65339
M1008.13T17.48,1.5396,0.21664,0.66427,0.65378
M1296.74T17.56,1.539,0.21678,0.66399,0.65378
M349.25T12.55,1.5329,0.21832,0.66092,0.6551
M1083.46T13.55,1.5327,0.21837,0.66081,0.6551
M691.86T17.56,1.5232,0.22079,0.65602,0.65533
M670.37T13.55,1.5224,0.22098,0.65565,0.65533
M961.31T814.89,1.5209,0.22137,0.65488,0.65533
M1424.72T12.6,1.5181,0.2221,0.65345,0.65533
M727.85T17.56,1.5143,0.22307,0.65155,0.65533
M1049.11T13.55,1.5142,0.22311,0.65149,0.65533
M573.47T1437.42,1.5059,0.22526,0.64732,0.65533
M744.84T18.56,1.5038,0.22578,0.64631,0.65533
M1664.01T13.55,1.5032,0.22595,0.64598,0.65533
M1535.37T13.54,1.5028,0.22606,0.64577,0.65533
M1712.92T13.55,1.5012,0.22647,0.645,0.65533
M637.87T18.56,1.5012,0.22649,0.64496,0.65533
M1094.78T12.55,1.4946,0.2282,0.64168,0.65533
M1481.21T13.55,1.4933,0.22854,0.64103,0.65533
M768.86T17.56,1.4925,0.22876,0.64062,0.65533
M1050.12T17.4,1.4915,0.22904,0.64009,0.65533
M831.34T17.56,1.4896,0.22953,0.63916,0.65533
M1519.03T13.55,1.4893,0.2296,0.63903,0.65533
M910.15T17.55,1.4873,0.23015,0.638,0.65533
M1282.74T17.56,1.4831,0.23127,0.63589,0.65533
M1739.98T13.57,1.4831,0.23127,0.63588,0.65533
M1549.7T13.55,1.4826,0.23138,0.63567,0.65533
M1136.78T16.56,1.4808,0.23189,0.63472,0.65533
M897.82T12.55,1.4733,0.2339,0.63097,0.65533
M1290.06T16.98,1.4718,0.23431,0.63021,0.65533
M762.84T17.56,1.4715,0.23438,0.63009,0.65533
M924.81T18.55,1.4688,0.2351,0.62874,0.65533
M1108.27T13.55,1.4685,0.2352,0.62856,0.65533
M1265.75T17.55,1.4684,0.23524,0.6285,0.65533
M1108.78T17.55,1.4662,0.23583,0.62739,0.65533
M977.8T12.55,1.4614,0.23713,0.62501,0.65533
M1222.76T17.55,1.4604,0.2374,0.62453,0.65533
M1689.67T13.55,1.4602,0.23747,0.6244,0.65533
M1287.25T13.55,1.4546,0.239,0.62159,0.65661
M957.8T18.56,1.4527,0.23953,0.62063,0.65661
M1285.75T17.56,1.4519,0.23974,0.62026,0.65661
M1146.78T12.55,1.4501,0.24024,0.61936,0.65661
M1273.42T17.55,1.4478,0.2409,0.61816,0.65684
M922.8T18.56,1.4435,0.24207,0.61605,0.6576
M999.14T16.55,1.4426,0.24233,0.61559,0.6576
M725.85T17.56,1.4401,0.24303,0.61434,0.65792
M1210.26T12.61,1.4347,0.24456,0.61161,0.6598
M648.47T1437.41,1.4335,0.24489,0.61103,0.6598
M705.35T12.55,1.4314,0.24549,0.60997,0.65986
M1470.71T12.55,1.4266,0.24686,0.60756,0.66106
M978.14T17.55,1.4257,0.2471,0.60713,0.66106
M604.89T12.55,1.4226,0.24801,0.60554,0.66193
M1245.42T17.4,1.4165,0.24975,0.60249,0.66315
M1240.27T13.49,1.4119,0.25108,0.60018,0.66315
M1093.44T17.56,1.4118,0.25109,0.60017,0.66315
M967.82T12.55,1.4114,0.25122,0.59994,0.66315
