"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"M438.219T1156.388","175885.8","104051.708","84860.705","129648.78","114223.31","88584.386","109491.87","287176.353","268697.728","236000","273965.965","8327.1399","118176.115","86522.67","104000","102000","176297.0104","217132.3668","80200","242795.429","6682.4625","146978.953","98074.532","200783.741","90900","120265.048","228000","82300","99855.28","8539.2315","104304.524","66026.392","80317.288","88000","175281.22","117851.775","106806.853","130201.062","2498.3694","77401.175","9986.0175","8037.5726","12873.7454","91100","2081.1013","69085.117","63422.345","102000","221739.1398","117493.81"
"M592.48T1325.086","62728.363","76122.037","48363.775","111590.959","90034.713","85233.127","197692.591","90117.325","99088.132","71100","31191.102","19875.5151","153360.288","71344.302","93900","208000","20120.776","135216.0582","159000","129876.683","23952.4876","110081.362","160887.171","200340.252","220000","147339.603","145000","223000","184957.997","17875.2829","191805.359","239396.902","121827.61","153000","84552.484","117505.55","136759.134","121214.847","21620.7217","198738.984","22268.1261","39797.1705","34900.151","47500","29491.1488","115902.785","313542.229","285000","158445.0105","169254.915"
"M676.501T1423.01","54666.12","49331.813","45881.649","54605.623","50366.428","56305.434","87481.843","55076.05","47349.771","53200","33132.209","22149.1365","85887.729","66023.332","46200","85500","23389.7248","79705.6657","86100","55603.808","36133.8364","75421.345","73540.944","114601.977","89700","64167.038","78900","142000","74190.49","24898.1669","102085.815","141977.178","79499.772","76300","67101.984","70953.422","85717.329","59917.915","23318.0223","113703.457","27107.4829","66428.7618","15173.4231","31700","27011.387","56562.824","171900.514","153000","68009.792","63669.125"
"M645.455T1406.122","243789.673","203828.843","274479.311","356283.986","320898.185","263609.568","298385.132","206511.251","255215.421","275000","199780.85","55177.7418","388045.633","266016.097","244000","407000","81229.9236","342941.1814","358000","359788.895","109726.291","318857.785","418011.987","411359.73","451000","397744.187","323000","624000","414882.984","53202.8761","389397.632","575991.707","400886.32","421000","258567.003","324208.729","312142.234","264021.319","82022.3866","461639.121","94621.0431","89175.2595","93659.9817","153000","59857.0396","193460.543","354130.688","444000","318356.3988","438535.785"
"M603.415T1456.538","126277.077","142801.156","132081.7","159937.651","155251.736","130439.148","105526.393","120131.189","121652.554","114000","126425.059","82435.2145","164979.227","148060.277","155000","168000","84050.4837","373344.3948","165000","177363.22","190098.5857","154067.589","164906.035","180610.978","206000","131068.501","146000","227000","189347.207","101321.9889","210341.106","210710.027","149945.727","179000","151972.323","143611.916","144237.857","146263.562","90066.0195","108064.204","133991.0354","165942.7224","90717.9023","146000","96550.6318","109124.952","111393.516","154000","163709.8593","108902.786"
"M592.476T1352.626","43511.447","62110.118","40307.665","86108.276","67430.89","64194.483","183288.714","67060.168","71038.319","55100","27020.447","17672.2937","119398.216","51414.419","80800","151000","6654.3835","104300.0152","123000","101570.606","17170.2584","90718.187","138424.57","159281.467","195000","117281.61","112000","171000","138882.588","12229.4462","161670.11","166175.019","95083.144","107000","59184.512","88047.67","108024.965","95202.5","15100.2733","153841.876","13349.9516","28897.7318","19447.373","39200","19702.2549","85037.549","297099.36","253000","131127.9605","122485.745"
"M630.465T1474.173","88027.749","84395.565","88154.444","113565.238","104890.634","95813.751","67912.052","70742.268","101904.979","82700","50614.689","54411.0101","139342.748","95613.938","103000","151000","41543.0986","101020.2308","132000","106510.648","58363.9243","95043.929","118291.147","131454.341","146000","121561.385","101000","193000","144984.421","45568.1669","154746.674","164246.443","120097.685","147000","94982.683","101801.35","107543.949","95459.376","34490.8554","137380.37","36062.2635","56230.8716","80498.6128","64200","58018.9526","104799.76","112518.649","136000","103159.9257","129433.757"
"M698.269T891.807","35775.745","14659.848","57820.305","47319.033","75493.006","61506.355","99345.361","97255.412","42769.875","79900","44741.853","3523.6562","63288.686","66105.469","70600","71000","5948.8267","76228.6002","69300","60538.403","8412.1635","34209.077","74259.362","97947.711","77900","54090.589","124000","62400","99021.991","6435.5625","65107.32","79852.173","88974.302","74900","36063.46","58945.272","45512.444","32724.394","260.23256","92804.678","2904.0723","5087.3402","1301.1628","22600","3842.563","51358.01","130580.036","76100","92681.663","34482.505"
"M487.304T1423.366","18594.636","36898.436","29850.412","58051.064","39645.32","17132.112","71834.206","25588.591","18917.318","33100","13521.571","8011.7041","89964.602","66027.265","13200","48200","7202.1066","108711.9604","78300","23443.942","26432.1594","15153","37777.201","78681.947","133000","41458.026","68800","163000","62272.293","32447.6056","77562.763","106510.235","70665.673","62000","37091.423","1266.97026","29408.856","30859.633","25396.0111","240526","23387.0581","15066.5306","1266.97026","23800","6334.8513","20914.8","18946.79","98300","77426.3452","64941.446"
"M1029.422T872.624","38213.466","18352.332","47667.019","50547.769","59431.979","52995.321","95390.867","64796.755","47475.485","88500","50560.624","1343.5845","60229.878","51198.892","101000","47300","2110.4771","75891.9741","62800","61162.176","2671.1125","47870.411","70158.862","128852.26","95200","72995.907","111000","62600","90427.827","1641.6819","89374.399","77970.284","76318.517","138000","35398.183","34712.488","39382.204","29811.579","1357.6724","120054.691","3805.9401","4047.346","268.7169","16200","5920.6575","44828.094","169666.192","90300","102970.8128","30405.014"
"M660.517T1423.005","44509.149","53891.129","42482.892","58675.788","68689.617","66072.515","44933.494","60037.277","65861.374","58200","32823.533","19830.6706","96876.688","53714.189","58600","98100","30557.3778","96138.782","99100","80796.786","44944.4427","59501.118","83916.64","123230.604","130000","81819.603","90700","194000","158401.178","33612.4398","123931.905","162355.216","87432.444","89300","72511.951","66989.674","98738.347","60138.723","26547.4644","172359.825","31872.6477","40174.193","24862.3901","58900","23045.0803","81933.702","87762.009","99700","88827.1644","90513.234"
"M639.424T1423.012","103357.734","74651.279","118605.11","124081.666","150221.55","112839.245","135864.655","125194.974","125209.424","108000","68989.097","41547.1623","211352.103","147383.148","117000","273000","44701.5078","201727.925","231000","188062.111","45385.4305","131416.039","203504.868","294727.814","204000","127725.907","192000","313000","276095.929","33552.1484","250943.569","309902.993","188995.31","218000","167819.839","150750.001","202074.958","133237.77","22779.6203","299587.469","29048.2549","59072.2608","18328.7172","57500","36548.5881","158459.616","164969.964","372000","216458.6627","226268.538"
"M870.334T843.183","23561.849","6576.542","38038.373","27384.926","38984.118","27481.12","81792.88","34087.828","38053.236","77300","38490.729","3102.5344","55408.57","52222.028","65600","50000","249.33692","46873.1805","43300","41200.867","3129.7452","24131.864","48437.038","85634.136","48100","55719.993","78400","48000","56509.654","7835.8036","49754.98","48417.673","56561.346","52500","25926.498","33870.667","28689.873","19830.158","12673.6037","70962.406","4077.2928","1246.6846","1405.8661","5350","1395.9342","45650.218","117618.188","75100","74994.786","19351.715"
"M670.537T1352.626","37966.476","36168.581","43750.023","69560.105","57037.504","49900.714","108838.302","45183.918","43389.869","34800","38991.256","15675.6577","80288.229","54016.423","48500","77600","18823.4901","49941.9823","94900","66398.359","30771.4852","71422.59","102596.841","100343.312","95200","72868.325","85500","143000","108957.789","14172.8456","73371.948","141037.437","86103.898","60200","45684.812","40874.59","64514.231","64649.691","13078.1624","104906.744","15728.4451","20285.8486","18891.3342","32200","27907.3303","58625.404","152191.136","157000","91088.5622","71233.271"
"M670.538T1472.8","63444.954","60203.127","74295.5","107355.143","109413.186","74068.256","43274.572","74423.613","61834.845","59300","55296.55","41313.1474","118983.885","77303.138","62800","105000","41175.4122","100401.588","127000","102631.553","90766.6722","79878.439","110017.904","141942.002","135000","99916.286","119000","201000","158984.608","38953.4584","134731.479","175005.285","114704.33","115000","64341.465","69723.234","89600.935","93695.569","36083.0125","194071.181","38135.4107","80697.9014","27386.9275","46900","56394.4822","95736.469","102298.846","114000","115258.093","104619.023"
"M555.447T1456.772","111378.659","129340.321","132457.033","143278.706","123291.732","112868.689","77278.137","113907.645","122219.338","109000","99910.394","72081.9212","205171.353","120814.512","115000","193000","77475.143","158918.4724","178000","155869.602","101849.029","136923.015","176904.994","226656.631","218000","149631.523","177000","269000","220375.496","80543.5074","234298.781","289822.639","173239.494","202000","150339.165","135075.664","141166.832","77023.496","41442.8507","156786.17","70512.2827","83853.7633","91623.6096","78900","56363.0794","154283.077","93372.729","209000","205423.62","140645.009"
"M521.363T1439.751","83695.338","66660.939","88799.806","104328.044","100204.08","82960.325","107898.825","83520.108","87677.764","80200","55133.43","51560.8152","148538.496","85743.914","108000","150000","48647.3445","100767.7465","117000","124346.645","63590.3238","103557.346","157728.976","139147.379","140000","122328.287","135000","198000","122132.879","51534.9268","158026.993","199160.5","139562.5","121000","105014.569","98963.232","93206.144","96987.456","39809.3552","134574.98","33289.8719","44696.2598","46237.9709","59800","41086.0141","109307.112","87066.936","158000","151188.206","100570.174"
"M555.448T1352.626","90557.711","92152.65","68129.542","87392.333","91537.419","59315.265","211461.125","66864.133","80102.179","73500","56549.87","34387.7641","115623.545","72231.138","82900","131000","38731.6937","129093.3152","108000","117269.846","45347.3742","132664.335","164333.12","191092.705","146000","124562.027","134000","148000","138454.102","23955.8921","120341.381","167266.708","141247.495","118000","101650.007","107252.796","79040.703","89380.012","10870.5004","139400.847","26755.1851","20669.0674","34112.7685","42700","16502.0885","105119.914","211084.659","142000","132693.7284","112004.023"
"M787.312T881.272","50757.047","49068.102","75889.135","63272.731","77801.313","52434.334","81928.836","86592.329","79303.713","116000","63340.009","8848.782","92980.006","87486.144","119000","96800","3901.4645","87262.2796","93200","95949.213","9080.2601","54339.882","99470.566","132774.089","109000","103543.393","119000","79800","145144.887","3065.2882","125257.22","108647.2","94199.025","94100","68389.411","70397.344","47436.963","42801.165","9218.4178","143713.953","1805.8459","7698.1812","4725.8315","32800","4007.4896","65730.079","146578.632","127000","137470.9659","63461.704"
"M713.457T1306.323","185087.373","146206.724","151861.918","192977.309","252470.524","167007.768","222713.884","147743.091","165278.047","196000","123766.101","34613.6066","208654.155","175609.472","156000","215000","59526.3028","272967.841","230000","282124.89","52806.3181","1521550.554","234442.961","417482.342","448000","249787.25","273000","309000","172462.373","33756.3144","290778.343","375505.669","235917.603","360000","232636.766","365268.074","1637714.186","194762.011","33944.0222","1890591.874","31993.8702","48373.4028","41913.547","150000","33955.6511","181845.579","410762.435","579000","233699.0683","363402.341"
"M650.482T1439.948","349452.715","326824.927","316438.284","467119.396","471035.158","388081.716","359530.446","298960.331","436040.202","329000","194844.125","64393.6953","719007.596","337297.687","394000","716000","99019.8118","532113.6427","627000","628970.69","59800.9259","467908.055","682136.727","806361.399","771000","617003.866","712000","888000","737618.023","90753.302","823312.899","982565.081","548065.88","646000","384081.578","492012.907","510395.259","406603.69","90932.0051","883676.361","172797.8842","68753.2445","380325.0833","118000","473109.531","393726.291","904533.991","1010000","638646.019","683982.591"
"M555.451T1436.867","124818.509","139848.862","144061.317","163977.3","150203.92","116121.585","168353.881","117057.553","132543.482","115000","103507.242","74918.7166","129511.5","136934.004","132000","185000","79538.7736","198738.9679","198000","182564.201","100800.6475","171726.939","217876.546","287272.494","156000","181341.909","209000","298000","248114.99","75669.2197","254368.895","327446.584","167262.589","221000","162673.792","168871.327","168011.191","153719.111","44764.1142","286420.664","67498.412","80634.4913","91311.6068","88200","55895.5027","174203.808","184150.633","370000","233366.6082","198603.894"
"M624.432T1423.013","105936.67","81167.779","123957.11","137884.388","89922.287","92804.137","86390.774","93667.192","73510.664","87600","60225.912","17750.0236","146064.328","125847.301","105000","211000","28602.4092","122011.1052","161000","137509.603","25809.8432","130531.062","148085.031","191052.623","141000","136110.368","159000","287000","209694.626","25656.7353","157293.661","227985.08","134572.656","137000","119679.73","105157.067","114257.642","64790.275","20981.7191","184920.871","17838.1205","14565.2797","15421.6602","47900","13833.5282","125035.741","103507.562","215000","163456.9795","97504.966"
"M791.348T1042.058","65880.162","19441.642","115236.134","114586.278","145284.675","83271.519","477851.912","148398.958","129620.171","290000","128811.873","7745.7158","157439.536","288041.282","183000","233000","4981.9356","157959.6405","280000","152959.285","9268.6945","47072.606","150136.424","309648.389","342000","126980.931","293000","257000","281407.691","11200.5211","220318.542","155789.746","127106.808","180000","69541.87","69260.038","78221.347","50417.357","6743.0373","645370.545","2852.9238","8919.716","5074.883","31400","10589.4511","91074.625","619244.144","334000","491913.1418","74841.47"
"M1038.388T940.951","32395.101","22354.609","32608.927","25633.885","51149.961","36403.761","61335.742","47756.124","45699.779","73900","43362.148","5049.1416","52268.931","34374.844","70200","50100","2148.1874","60068.0034","50400","66562.616","2657.3002","30733.46","49847.076","82363.591","37700","54818.413","77100","62500","84181.913","8210.0742","68567.29","66189.758","70908.118","60400","47523.186","40258.506","35391.12","9887.946","2296.8506","93725.658","429.63748","5976.7354","3383.0233","14500","2699.1662","23857.917","87739.992","79100","123119.3382","32392.656"
"M623.428T1439.576","181501.278","158378.375","172806.885","211950.498","223447.089","185001.262","228616.459","220564.89","192568.337","194000","99354.516","31929.8337","352393.177","209357.264","234000","389000","54241.246","292537.5895","323000","303339.744","67171.505","259078.638","318364.036","389727.966","368000","203367.658","346000","465000","340535.568","40534.5955","362593.497","461669.324","354208.721","329000","251176.442","251655.227","298780.272","227589.479","62370.7786","406867.652","42500.8782","59134.1826","56794.5889","101000","50194.2092","237761.865","223651.754","569000","382818.8812","282856.883"
"M565.41T1416.7","141424.861","148942.867","142851.152","249978.604","239943.212","146517.267","291965.169","138368.024","118777.791","132000","109964.623","76807.0755","308222.827","165514.204","155000","225000","73244.3057","253704.1184","248000","214313.851","1072487.561","176803.161","228347.049","276325.286","282000","203583.279","238000","429000","213710.551","72020.6869","938084.685","368254.919","218484.323","424000","165825.4","165090.57","179420.856","156184.732","73440.4375","1496645.9","69928.9268","344234.9301","60143.0734","97100","72849.2024","150703.95","298146.479","420000","262946.7035","567235.402"
"M789.329T927.31","169721.448","42827.013","117100.217","136823.74","350135.651","205514.773","197601.386","355802.858","272009.667","616000","254062.766","15587.9535","196139.412","173402.681","380000","360000","17075.336","323862.1903","196000","364678.86","17563.719","99344.644","183523.535","478361.812","294000","181724.528","619000","171000","278061.418","18664.155","283151.061","186773.099","200333.348","267000","139432.168","131510.021","113791.898","66894.984","3968.7186","482079.806","17590.3806","27357.7946","20128.5","36800","8154.4649","125042.583","425034.482","307000","826069.346","103382.208"
"M564.206T918.312","66970.224","32203.465","115683.706","73765.98","100744.833","93828.023","114568.877","147460.524","99751.069","202000","119922.047","3827.7249","132321.123","136354.506","150000","118000","1776.7739","150000.642","139000","132469.064","257.72244","72246.027","159157.715","184154.155","216000","162588.284","193000","190000","207224.117","3573.035","179505.162","197681.821","216958.784","183000","97605.102","75975.7","92381.569","80614.839","3383.6825","268346.855","1545.6551","4911.2261","257.72244","25000","1288.6122","97249.166","249274.908","144000","272977.56","66814.128"
"M565.417T1439.955","125340.092","137021.547","136002.833","243092.61","224979.196","136456.318","234789.339","126883.929","116606.753","116000","100830.886","74820.6701","295904.684","149375.156","143000","211000","68133.0241","244614.4407","232000","195809.818","1074042.324","160916.986","212065.797","253880.274","270000","187087.302","222000","417000","201020.815","71966.5403","928420.864","344815.228","203851.763","404000","149335.847","153016.772","165370.914","149712.702","71222.6307","1482664.204","67402.6822","344256.9324","60479.5308","88100","73140.0658","139941.162","239077.104","351000","241223.9605","595755.879"
"M564.208T942.149","68125.067","28576.041","115762.869","76020.003","98870.638","93855.902","100617.293","150776.466","101153.708","198000","119944.802","3827.4008","127787.56","133186.929","145000","122000","239.1868","149868.5035","136000","128398.861","239.1868","72261.713","154063.082","182264.911","205000","158378.459","183000","185000","206672.112","3494.8776","175518.853","195224.054","216690.617","194000","97570.937","73807.234","92447.148","96065.526","3289.4605","268997.755","1546.051","4952.2773","239.1868","27600","1195.934","94386.827","225966.057","116000","260794.7995","66696.995"
"M753.499T1355.744","126325.677","115961.13","117306.29","129840.131","129670.508","110910.242","96007.079","96478.259","120540.153","144000","93674.49","42148.7457","141224.362","119095.202","120000","114000","43886.8078","128941.6445","127000","157609.179","42965.0903","160317.056","144424.861","133487.191","133000","180707.109","128000","124000","117848.981","44642.7626","115674.018","129834.547","135002.154","131000","153574.523","114690.796","130871.591","151540.019","40710.9294","101133.901","38977.7242","32803.6894","66485.9113","95000","26670.9241","123777.519","117705.519","124000","85667.612","144798.225"
"M798.336T1042.058","46395.406","15434.08","51414.571","49638.723","81866.761","35413.938","53529.775","84310.864","73577.319","154000","59656.43","4729.8769","73159.759","95363.679","119000","143000","6621.1532","100860.1556","123000","116184.528","1371.8371","28418.146","77591.378","126954.158","150000","70783.289","128000","91100","133312.274","1600.0744","130704.251","85084.659","86521.132","86500","38135.864","46217.187","59924.938","28805.117","4996.6391","426907.96","2181.6476","3927.6116","1747.0909","21200","2486.0539","40630.709","225700.964","114000","659373.6352","61008.522"
"M795.328T924.482","42725.837","6232.362","56555.399","50110.071","72528.954","51031.08","49237.926","69240.13","73422.709","120000","76633.227","1924.5059","61198.261","97064.519","78000","85700","1804.7738","90925.9009","103000","91939.112","6608.027","53686.062","93319.394","166892.545","93000","95040.298","172000","78800","129479.731","2065.1549","95444.386","87867.397","96336.348","105000","33943.46","36484.118","51678.166","44781.459","242.2171","135444.86","1211.0855","3368.4469","2652.537","25200","2687.3392","68306.008","142259.559","85700","142996.2219","39026.226"
"M645.453T1423.012","262801.305","206773.588","274416.825","356015.078","336434.072","290392.797","315654.476","240212.481","280649.578","287000","217799.304","55110.9867","393580.718","265864.073","254000","434000","81218.8737","359748.1618","361000","381274.557","109697.5239","335113.772","423180.487","413724.138","438000","459398.414","202000","626000","421209.303","58135.9969","395103.762","589175.477","416845.424","457000","332915.649","364821.505","341335.509","305508.715","82018.2499","461536.173","103793.6419","89172.3637","98420.9194","168000","63622.0625","266845.229","373148.499","474000","487802.1089","438338.555"
"M555.366T1440.123","104760.962","140554.36","135734.724","151098.027","158788.274","117867.22","205996.856","114265.526","133829.442","124000","105442.688","53710.3452","213025.912","138166.027","121000","214000","54834.9167","204100.45","199000","179039.113","81471.7983","165570.956","227127.006","295614.622","244000","159564.397","205000","308000","220439.03","71429.7095","236081.523","330587.771","190379.133","218000","155544.972","169666.49","158292.01","145368.902","36720.9707","280353.46","65287.7375","76449.4719","91174.5174","70900","55665.2109","162182.461","158533.964","393000","242844.6933","191809.152"
"M664.461T1422.743","361722.671","272976.28","296134.456","355545.549","424536.104","395218.573","266475.103","330988.277","291397.367","361000","294745.614","213605.2858","441078.285","297485.233","395000","455000","258295.5518","462087.6667","451000","500496.939","351087.7935","454877.666","488603.633","594181.531","586000","411884.51","511000","682000","492375.907","225788.7772","2123275.299","801811.512","484509.639","539000","349638.866","449022.292","465652.756","368819.862","288568.3058","1282053.462","260775.7853","1150595.703","279475.1549","390000","270591.2045","307312.673","439564.129","473000","508446.0752","552889.507"
"M555.365T1456.26","102448.208","140554.36","135780.754","151211.337","153603.069","117867.22","187512.012","114265.526","133829.442","124000","105538.899","53748.9624","219088.963","138166.027","121000","211000","54840.4219","200539.7425","202000","179039.113","81499.4465","165785.986","222944.563","291692.067","215000","159564.397","203000","309000","243876.12","71429.7095","236010.997","312605.577","190379.133","218000","155544.972","166060.068","155869.037","142479.579","36723.4658","284037.385","65307.863","76457.7991","91262.7565","70900","55665.2109","159206.359","141669.689","371000","237978.9492","191809.152"
"M512.178T893.689","75885.908","47510.614","81665.474","68795.493","97774.938","86641.57","91434.88","140892.29","111766.765","179000","109156.818","3105.8046","86825.141","103594.637","124000","135000","7627.387","138719.534","107000","141171.388","304.7276","65562.86","107215.165","203383.59","119000","110361.015","184000","97500","145043.849","13512.6373","133395.403","100838.403","109762.175","116000","84361.774","79218.931","77960.364","58966.537","1523.638","168336.945","6738.4741","304.7276","2738.4255","37900","2791.7987","90931.687","227425.37","110000","239519.9367","76911.228"
"M771.504T1195.638","560150.743","244707.543","367696.363","263967.798","439467.991","387718.87","1509790.651","290796.521","287972.915","547000","229307.306","8597.9922","321572.034","335900.677","1250000","380000","5031.3647","305789.3173","321000","319015.275","15659.5635","2245550.871","923252.551","298331.091","264000","520888.168","314000","233000","253350.645","5150.7721","290009.218","213308.063","388733.561","335000","359950.567","408048.2","273506.079","372696.914","5266.2732","121908.978","5650.3344","22656.5807","17856.4649","210000","10510.5945","280473.634","408592.835","723000","208544.1783","238187.64"
"M555.365T1423.011","104739.349","135436.814","132105.23","142784.511","148289.188","111133.649","182036.429","105388.977","127886.924","115000","96268.164","49339.8063","210768.204","130454.302","115000","180000","48858.2171","193311.7218","196000","173077.866","81463.6325","162124.124","214803.131","289839.729","233000","155957.17","183000","295000","236163.603","63433.7732","263940.449","318996.436","183826.329","212000","149656.127","163332.891","152470.104","145394.308","36730.5852","276333.74","59836.6133","71107.8147","86563.2666","65300","52693.3975","157127.325","141088.132","370000","204642.2704","178841.565"
"M875.33T866.333","42407.511","13615.296","48236.52","33574.186","70081.785","60529.722","125025.847","94426.856","77868.278","114000","61773.234","3807.3718","60493.409","93222.831","104000","90900","1692.7881","89310.2864","60700","73609.97","1939.0669","36789.683","83137.959","135196.386","87400","74777.62","110000","67700","118727.65","1614.2566","89118.558","61421.49","57330.958","96000","44932.352","55244.816","41008.571","27059.3","7506.5764","111596.099","5122.4209","4743.1875","1368.3299","16700","2882.9762","54597.024","172210.669","136000","113427.7311","40513.82"
"M549.406T1423.559","129933.982","122256.956","137649.597","214325.422","190413.953","138549.375","262421.592","132946.587","180892.454","144000","88512.758","52430.3193","286204.48","152920.42","169000","251000","63675.8046","236118.5981","241000","247856.641","62614.4858","193114.113","298247.735","360897.311","281000","255357.938","263000","450000","359996.514","71005.9493","312002.779","422505.44","270622.39","220000","164104.405","168722.272","168717.893","189413.521","56132.3157","384609.228","61517.1611","114189.9331","62704.0505","95300","64550.7802","182441.091","335854.414","435000","251954.5867","192953.611"
"M523.36T1271.932","211062.217","248350.216","102464.905","256534.134","48593.329","56507.63","133884.255","193258.593","146443.5","166000","244935.06","452.12978","111347.605","125193.68","52200","68500","452.12978","198384.6804","78200","205727.822","452.12978","90698.732","26915.409","171328.284","139000","167483.681","198000","114000","93568.47","452.12978","55499.285","83096.014","76072.454","122000","146985.677","78704.119","81260.879","135519.552","2260.6489","51041.45","452.12978","5122.0321","452.12978","173000","5642.5308","194594.661","77830.04","129000","62943.2062","61985.289"
"M660.514T1439.78","45537.893","56623.816","51620.513","62027.754","71375.804","70360.144","34186.376","64676.877","70228.484","58100","37233.477","28285.3109","99605.243","55035.103","65800","1e+05","30183.3746","100335.561","103000","80661.677","53435.1168","64048.514","84776.995","125330.569","138000","85843.712","88300","195000","139082.376","39450.5652","123238.256","168740.433","97882.839","1e+05","70714.901","68441.976","101394.674","64387.917","32451.1719","192793.994","37735.6195","46371.1236","35208.1736","55700","27624.3253","90237.857","75320.192","88500","89874.9591","83550.301"
"M623.427T1295.888","195246.851","152991.596","138804.596","189884.156","186081.266","160229.248","340775.584","152859.158","172321.557","173000","86389.834","10928.567","252686.31","148590.583","196000","323000","39765.75","232106.3614","223000","247041.993","24534.2545","239839.536","324825.525","281934.669","282000","210480.903","274000","246000","233375.332","23553.4759","252974.905","257523.916","222399.485","239000","200531.959","220570.517","211111.1","176695.568","26610.7153","229390.815","10837.7566","24538.3912","28917.2116","91900","24461.1414","183604.766","244413.906","564000","251899.4543","201175.78"
"M904.347T942.609","48711.407","39325.077","69444.061","64117.543","78774.004","68845.464","91192.547","94198.729","75529.678","134000","73717.682","12351.8396","83856.695","86976.458","88800","99100","3650.274","107534.5915","91900","100993.121","14638.978","42137.282","102744.764","153243.154","90600","100314.087","133000","79400","129600.448","13872.9603","110797.106","103246.852","85598.59","101000","56494.624","62366.545","66829.195","49884.042","5707.9467","160626.506","11515.9134","12330.6307","3670.08","27200","9403.5997","63069.744","138456.557","83200","194425.9786","57651.078"
"M608.454T1439.392","135793.376","102285.098","137109.96","167523.013","117939.463","111371.862","144957.846","108617.804","140047.104","129000","77786.891","70879.4031","174246.484","146327.936","108000","220000","46222.1518","160589.3156","2e+05","162377.275","70494.8001","127056.497","165385.513","215354.756","231000","191030.758","168000","202000","199819.89","61115.6029","205308.999","225001.724","179134.112","174000","142541.319","136701.324","143356.535","145765.155","52556.8318","212106.161","39535.9965","305562.4466","70910.1321","65100","49398.8045","134267.841","142765.105","216000","186617.1941","171991.703"
"M563.402T1408.532","90208.725","128449.858","124193.205","164539.641","105337.486","123590.484","104809.844","104531.403","125953.609","112000","81466.623","116270.6966","193250.084","149417.753","106000","128000","87706.5194","114741.5975","176000","131779.864","86336.029","105764.532","105068.902","177324.144","174000","109011.025","131000","240000","173179.935","132951.2959","142471.782","255483.58","179598.804","136000","115960.632","124095.131","134421.299","95707.76","87110.6852","229765.417","74885.2618","95192.0343","95998.5091","83300","77891.5328","137691.101","99488.128","131000","126679.2297","133332.593"
"M1070.408T957.42","2888.235","5202.69","26899.334","35242.43","45621.617","38617.98","20690.421","48216.535","26390.882","86100","40062.359","3530.4158","54569.013","42610.76","68400","44300","1725.1629","64445.7574","45600","60030.69","4617.0093","35739.489","53435.882","67265.754","47200","37265.82","67800","53100","77239.862","5469.057","74492.481","62537.83","48459.044","58900","35244.531","21284.29","35138.596","19692.446","2711.2805","121085.319","345.03258","2459.9392","4178.9679","16900","10376.6937","36423.675","58747.602","52600","138796.672","48674.913"
"M895.336T836.496","52977.116","31105.162","46771.891","43599.878","65298.72","62318.039","122229.568","78494.558","62717.15","129000","81188.468","5291.0702","69927.583","65091.444","107000","89100","18480.4014","83287.3004","86400","72962.183","8033.4273","43969.85","81223.378","134873.845","93800","60667.875","126000","51000","75449.98","8170.1638","64376.424","83481.785","83109.196","71800","42557.907","53434.453","50640.767","38455.153","6952.6693","81897.721","11041.0672","5095.2984","11353.4088","34800","6921.8022","64794.138","169362.801","114000","113138.7003","36944.669"
"M787.311T857.905","46115.047","48920.091","72767.274","57150.794","74904.707","50009.907","79102.878","77990.394","74917.645","112000","60298.849","8562.4781","82516.741","80956.265","118000","86100","3840.9239","84692.4812","85800","84604.617","9000.8513","52263.725","92155.365","124316.32","101000","95547.718","117000","70900","125393.797","3065.6761","113329.142","101939.705","85164.737","85200","62250.087","67904.72","44962.681","42810.236","9218.3214","126661.074","1694.812","7404.7493","4624.048","32800","2674.6846","61353.986","134016.296","111000","131233.727","52408.911"
