"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M990.389T957.42",0.73766,0.91381,0.86361,0.86623,0.86972,0.86384,0.86087,0.86021
"M693.467T1225.817",0.73739,0.89828,1.2582,1.2329,1.2405,1.2319,1.2333,1.2334
"M675.452T1372.394",0.73646,0.73933,0.70344,0.69516,0.68168,0.70233,0.70179,0.7025
"M652.249T924.637",0.73146,0.70697,0.66064,0.64772,0.63513,0.65401,0.65662,0.65736
"M671.411T1339.403",0.72903,0.82434,0.92688,0.91632,0.94438,0.94364,0.94094,0.94229
"M930.353T957.42",0.72655,0.85846,0.81108,0.79381,0.78267,0.77618,0.77354,0.77354
"M898.344T887.472",0.72411,0.7407,0.67692,0.6643,0.65136,0.65666,0.6558,0.65552
"M808.349T959.178",0.72213,1.0844,1.0946,1.2325,1.2106,1.2097,1.2122,1.2123
"M809.345T941.458",0.72212,0.94224,1.0985,1.1461,1.1285,1.1309,1.1363,1.1355
"M439.316T1439.553",0.71653,0.68699,1.1549,1.1356,1.1128,1.1113,1.1082,1.1072
"M914.341T957.42",0.7125,0.768,0.73619,0.72854,0.71864,0.71478,0.71263,0.71204
"M438.146T926.75",0.70695,0.73524,0.70451,0.71439,0.71395,0.71408,0.71165,0.71139
"M900.341T957.42",0.70419,0.73192,0.68009,0.70598,0.71388,0.70949,0.71088,0.71196
"M701.265T828.514",0.7038,0.71867,0.65993,0.67594,0.66238,0.65899,0.65767,0.65756
"M653.413T1286.062",0.7011,0.65955,0.77027,0.75449,0.76465,0.78214,0.78886,0.78822
"M471.218T918.479",0.69769,0.72075,0.65884,0.70412,0.69012,0.69095,0.69549,0.69488
"M519.225T1025.439",0.69595,0.89765,0.82015,0.88505,0.87783,0.87744,0.8804,0.88047
"M505.179T828.514",0.69453,0.71516,0.8396,0.8595,0.85262,0.84552,0.848,0.84863
"M734.269T909.479",0.69078,0.71953,0.69995,0.7102,0.69852,0.69336,0.69967,0.69906
"M827.326T866.333",0.69043,0.95606,0.89256,0.89029,0.87446,0.90526,0.91877,0.91797
"M697.259T909.874",0.68986,0.69819,0.6692,0.66781,0.6931,0.69568,0.69352,0.69294
"M1001.365T875.234",0.68756,0.68377,0.62553,0.61493,0.60271,0.5993,0.59798,0.59816
"M649.243T924.482",0.68564,0.67623,0.6559,0.64495,0.63547,0.63726,0.64007,0.64024
"M511.168T833.583",0.68457,0.74308,0.73161,0.7184,0.71047,0.70869,0.70624,0.70565
"M902.349T917.809",0.68339,0.77228,0.70555,0.72496,0.7106,0.70587,0.7039,0.70356
"M547.387T1389.173",0.67573,0.65161,0.82176,0.8056,0.80593,0.7996,0.79968,0.79937
"M544.443T1574.274",0.66351,0.64832,0.69297,0.77515,0.79993,0.80244,0.80449,0.8038
