"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M914.341T957.42","-0.304341279","-1.190842543","-0.301570204","-0.263842368","-0.103795426","-0.221002805","-0.027841740"," 0.225037392","-0.052305097"," 0.695551312"," 0.169745240","-0.309511721","-0.142091454"," 0.017571403"," 0.074518007","-0.558109754"," 0.006454253"," 0.619381915"," 0.187473461"," 0.037235022"," 0.674747646","-0.023906007"," 0.392110385"," 0.173336351"," 0.022412184"," 0.055986185"," 0.147599642"
"M455.314T1423.012","-0.35628367","-0.57033776","-0.34557850","-0.10266675","-0.23568445","-0.43756323"," 0.12178315","-0.24469065","-0.36378071","-0.23107872","-0.66816224"," 0.31175305","-0.23680983","-0.02591171"," 0.44638856"," 0.01066213"," 0.21707422"," 0.36921396"," 0.28451370","-0.13938483"," 0.17240527"," 0.46229821"," 0.46588518"," 0.31544391"," 0.63987801"," 0.09394710"," 0.04668661"
"M545.37T1372.761","-0.30473317","-0.43102750","-0.48344133","-0.20756720","-0.07986556","-0.16869154"," 1.62958179","-0.10731425","-0.41936827","-0.12210585","-0.18164093","-0.28632181","-0.27282557","-0.04823954","-0.14563866"," 0.80398137"," 1.27224571"," 0.06065535","-0.10098258","-0.24967188","-0.06208900"," 0.04041189","-0.17652985"," 0.10785419"," 0.13817840","-0.07432018","-0.13053400"
"M862.322T959.199","-0.706610481","-1.393866718","-0.282571837","-0.212456878","-0.169491389","-0.335817173","-0.277953880"," 0.079975475"," 0.001125304"," 0.506322057"," 0.052086935","-0.075364877","-0.110328214"," 0.086879772","-0.096853729","-0.546404324"," 0.256510313"," 0.615047418"," 0.128584968"," 0.163845492"," 0.529972115"," 0.191985641"," 0.482624636"," 0.540717898"," 0.061925582"," 0.236940294"," 0.273175602"
"M623.429T1456.316","-0.46235519","-0.44318215","-0.36045040","-0.26134502","-0.19338735","-0.34564140","-0.22397061","-0.22185554","-0.29216976","-0.35396118","-0.98415741"," 0.30963480","-0.21588920","-0.11559066"," 0.38365489","-0.02209643"," 0.24014721"," 0.38469821"," 0.39907028","-0.21280980"," 0.26646982"," 0.70696095"," 0.35805464"," 0.44904800"," 0.80637763"," 0.18457719"," 0.22016846"
"M655.416T1372.761","-0.14416628","-0.29199054","-0.52918368","-0.18504217","-0.10338989","-0.37395371","-0.26883224"," 0.08299596","-0.35914391","-0.22874066","-0.87898124"," 0.10005151","-0.33252251","-0.38670843"," 0.16152861"," 0.17295961"," 0.16990365"," 0.32593104"," 0.31467842"," 0.14854117"," 0.15825618"," 0.50888448"," 0.42531340"," 0.37795564"," 0.65804145"," 0.27661072"," 0.20100343"
"M624.433T1278.929","-0.190727852","-0.437463810"," 0.008564985"," 0.024706012","-0.252711480","-0.471258511"," 0.430233971","-0.519775509","-0.280641920","-0.481037849","-0.805307607"," 0.215275897","-0.040306915","-0.196761776"," 0.470182977"," 0.213243246"," 0.402419042"," 0.169295918","-0.108599440"," 0.241905510","-0.061568110"," 0.771033649"," 0.383397667"," 0.123459408"," 0.350037900","-0.038955874"," 0.081360471"
"M1085.421T973.898","-0.883449080","-1.208346211"," 0.141621041","-0.110686453"," 0.134198426","-0.210436271","-0.599763162"," 0.104178684"," 0.120980584"," 0.406861027","-0.073646230"," 0.120088734"," 0.199884883"," 0.284673978","-0.022946576","-0.944408027","-0.024668896","-0.150213215"," 0.304831105"," 0.001212266"," 0.005094900"," 0.128621670"," 0.675952219"," 0.338805746"," 0.486342422"," 0.425792084"," 0.349424352"
"M563.398T1372.544","-0.58111255","-0.15849707","-0.19520318"," 0.11060393","-0.21086139","-0.29593764"," 0.16744667","-0.37769163","-0.11711683","-0.40819943","-0.62238877"," 0.31170072","-0.06035374","-0.15913038","-0.01992597","-0.27950069"," 0.18296057"," 0.34214972"," 0.29072572","-0.18832843","-0.07065965"," 0.57952900"," 0.37335593"," 0.29688495"," 0.65475225"," 0.34935205"," 0.08544585"
"M955.384T902.791","-0.499180705","-1.607119723","-0.411592068","-0.325926166","-0.037490996","-0.234548025"," 0.403289174","-0.173544362"," 0.064514168"," 0.565463195"," 0.009172088","-0.074345102","-0.032211135"," 0.258617421"," 0.092290248","-0.930480564"," 0.128585119"," 0.286670333"," 0.411144481"," 0.115347201"," 0.469932887"," 0.043375453"," 0.557486861"," 0.347787776"," 0.276754199"," 0.037314164"," 0.258694076"
