"",Label,Sodium_Formate,M367.151T397.982,M536.899T13.11,M664.853T17.893,M768.855T17.124,M774.824T18.125,M830.837T11.111,M831.338T16.12,M848.827T17.121,M882.812T18.125,M883.492T15.092,M908.151T15.062,M970.794T18.128,M970.807T12.104,M991.807T13.109,M996.798T17.124,M1026.791T12.104,M1030.792T17.119,M1053.787T16.896,M1058.286T17.121,M1094.782T12.105,M1107.445T13.643,M1116.775T17.12,M1189.43T15.136,M1220.262T13.111,M1236.757T13.113,M1239.758T16.118,M1244.755T16.127,M1279.087T13.111,M1288.745T12.11,M1334.742T13.111,M1472.714T13.108,M1610.426T13.113,M1671.991T13.111,M1786.658T13.109
QC.3,qcs_0,4035455.455,143189.111,15034.97,10459.284,66934.697,23093.794,27598.548,11596.379,24932.442,19585.8,13707.296,36349.437,14507.331,7662.92,22063.25,18387.341,11686.956,22072.362,13375.346,11723.122,12234.594,13456.577,11953.376,16567.495,14700.345,25126.657,8696.282,14062.063,20392.46,17075.072,13966.231,11910.144,14485.526,16080.499,10273.594
X12.1,xvm_12,3797962.57,14919.578,12218.115,24059.964,59201.292,21407.826,25765.943,10709.645,23099.353,18719.242,11876.951,35097.488,11436.206,8305.928,27104.621,19893.502,8351.62,19585.944,13119.066,12854.448,11305.567,6688.676,12825.355,9279.756,16135.563,25052.166,11183.612,12555.092,19590.432,16794.448,13727.12,12255.853,16214.708,13575.962,10353.283
X12.2,xvm_12,3837317.869,32347.825,11084.813,24345.793,51764.83,21076.046,19491.656,10413.701,25781.094,18586.557,11973.109,23061.333,11325.57,8747.224,26733.747,17655.499,10627.128,19667.202,11751.48,11871.823,11654.86,9075.857,9931.971,10074.703,13701.981,19908.621,9799.477,14924.03,19321.95,16656.397,14564.439,11810.257,15417.51,13386.196,9867.528
X12.3,xvm_12,3790177.391,20065.061,12882.864,22227.402,61030.654,21482.254,25170.264,10605.641,22152.848,17550.859,12960.973,19181.372,12038.457,8646.284,25678.162,17224.48,9580.158,18494.072,11351.834,11081.191,10252.547,12593.668,10312.896,11458.272,14648.96,21396.417,11600.698,14417.75,19114.837,13918.71,13321.333,12847.645,14576.768,12169.565,9782.233
X15.1,xvm_15,3735044.78,678706.553,15122.727,20087.424,43140.868,19337.908,26487.959,9583.447,27574.725,16333.863,12654.473,36690.798,11206.827,8403.703,21132.71,14992.88,10832.246,18929.24,9867.505,8129.081,11038.822,12424.929,9639.15,16461.762,11362.667,23389.781,10844.586,15412.435,18622.757,16247.36,13350.68,11724.855,14107.253,10264.027,10101.042
X15.2,xvm_15,3901010.182,478086.296,16481.296,23666.573,64611.125,23105.916,26364.858,11213.965,23860.912,17858.341,11617.156,38974.68,13350.102,8763.451,22266.425,19313.637,10275.986,21681.105,11441.461,12072.68,9734.126,14716.593,10757.757,17687.712,14432.338,27364.903,10697.383,14236.291,21345.478,15143.294,13626.85,6589.71,14785.323,10551.898,9079.868
X15.3,xvm_15,3528207.642,1679394.86,13994.688,14717.885,30711.237,14403.117,21389.29,7162.632,18713.974,10838.426,11996.427,28263.528,9687.287,9737.401,22987.04,12805.038,12367.341,16081.664,8377.793,9241.944,8123.184,10963.189,6410.54,11346.209,15676.125,19099.038,7914.588,10573.393,18574.206,18570.902,12064.42,12553.933,13576.698,8919.97,9553.673
X15.4,xvm_15,4862691.729,11394.817,14758.272,27711.999,72167.694,22723.9,26647.103,11805.354,24979.236,18874.159,13926.091,40896.62,16549.386,9489.801,21454.839,21817.057,10649.257,27084.278,14444.413,11592.753,9165.221,17126.612,13347.47,20670.678,13160.049,29960.196,13027,16278.962,24717.202,18389.436,17000.989,13327.419,15074.073,13355.314,11223.689
X9.1,xvm_9,3959808.028,6213.301,12476.838,23572.048,62739.656,21375.936,20728.407,9394.988,22526.595,16228.54,14855.089,39286.341,12035.987,8767.883,22966.398,22565.494,12756.04,21099.108,10586.754,12593.196,9683.037,12060.716,9540.54,16651.779,14251.338,27700.349,11512.434,14508.894,17811.339,16738.204,13458.937,12869.127,15914.017,11695.547,10604.499
X9.2,xvm_9,3945214.242,67026.118,10070.12,20144.585,60809.884,20993.351,26469.17,10231.256,24208.261,17291.844,12250.642,37310.19,13367.356,9448.718,22413.794,20856.382,10264.926,20283.087,12005.346,11848.097,9038.915,13566.601,12585.644,8758.196,17650.794,24413.02,10511.482,14160.354,19153.184,15123.6,13774.026,12403.065,14607.692,11084.447,9920.842
X9.3,xvm_9,3800062.662,23010.749,15030.466,24341.138,60695.542,19708.95,20568.083,10502.268,24132.18,16370.978,12278.726,36696.633,9702.69,7403.128,21474.388,16509.19,10616.562,19014.874,12084.58,12130.651,9733.701,13440.137,10646.244,17565.546,14872.461,22584.694,10059.583,14362.082,18568.487,16096.176,14086.957,12386.339,13949.41,12562.039,9684.533
X9.4,xvm_9,4006431.121,45473.613,13095.961,10806.023,51223.359,22451.152,22825.71,9675.802,25871.375,18804.277,12160.204,37877.922,11823.451,9376.241,24647.705,24268.588,10344.538,21127.192,12474.844,11653.34,11395.552,13849.309,9964.16,10706.022,11803.25,19400.297,11061.419,14845.184,19646.858,22533.665,16372.25,13158.19,17592.733,14418.258,10428.542
