"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"F9.3",-3.5335,-9.1963,-0.26349,5.2731,-9.5427,1.3831,-1.4271,2.0406,2.2784,5.0284,3.0437,-0.13843,-0.27155,1.0281,0.2063,-2.6713,-1.6682,-0.10285,-1.3288,-2.28,-3.5458,-1.6875,-0.56243,-1.9322,-0.059055,2.4462,-0.4202,-0.28364,2.4486,2.1795,0.0733,-3.0267,2.1445,-0.49198,0.50751,1.3294,-0.82143,-0.21069,-1.006,-0.76049,0.061383,0.21502,0.2531,-0.63457,-0.42065,0.0030803,-0.37461,-0.82457,-0.040849,3.7602e-15
"F9.4",53.493,-9.2483,0.68781,-1.3254,-0.37604,2.4131,0.68921,-4.5521,-4.5119,1.0234,0.077538,-5.3946,9.2719,-4.4749,3.1779,-3.826,0.75294,-4.4343,-0.37903,-0.21033,1.3458,-0.2679,-0.13518,-0.21186,-1.1449,0.38562,0.18051,0.80985,-0.46233,-0.074837,-0.32647,-0.033959,0.21748,0.1205,-0.0018993,-0.23414,0.11326,-0.04356,-0.13756,0.22977,-0.23752,-0.056769,0.015458,0.070909,0.22896,-0.14656,-0.042589,-0.063232,0.0624,-2.251e-14
"X9.1",-11.681,-3.3208,-7.048,-1.531,5.1383,-4.8108,4.7911,0.1451,0.45192,2.6143,0.94801,-0.05292,-0.39032,0.37877,1.8688,1.2989,2.0984,0.029478,-0.2898,1.5063,-1.3259,-0.18944,0.7608,0.52968,0.57186,0.41503,0.26744,1.3534,-0.068111,-0.21432,0.2012,-1.1207,-0.098503,-1.0713,0.55099,-0.10285,1.5315,-1.3943,-1.6418,0.8433,0.50754,-1.8065,0.053675,1.5515,2.2244,-0.63143,-0.72556,-0.64845,-3.044,3.0683e-15
"X9.2",-10.669,4.753,0.97756,2.8898,-0.47041,3.6439,5.3088,-3.5572,4.1568,0.36119,1.3284,-0.62424,1.9497,0.35503,-0.43922,-1.4296,-1.2839,1.0096,1.2105,1.1172,0.20416,-1.9865,2.4102,-0.65128,1.5126,-0.92195,0.07164,-1.4486,0.55605,-1.6539,0.36514,0.80938,0.89235,-1.631,0.69069,1.0483,0.30613,1.7625,0.84514,0.65039,-0.72062,2.149,0.26704,0.057227,-0.49471,2.3584,1.2875,0.80826,-2.1188,3.1936e-15
"X9.3",-13.811,7.923,6.2267,3.7935,-3.7657,-7.04,-1.6393,2.9698,-0.1671,-1.5127,3.1945,0.3189,1.2388,-0.53957,1.3672,0.68049,2.5948,-0.45472,3.3624,-0.27723,3.7501,1.0157,-0.64734,-0.5371,0.19353,-3.1056,0.29227,-2.1759,0.23451,0.47944,-0.10175,-1.6336,1.2367,-0.2692,0.067114,0.28147,0.60061,1.1269,-1.0406,0.56012,0.69086,0.52599,-0.59108,-1.1528,1.6624,0.92107,-2.4109,0.19169,0.63272,4.2926e-15
"X9.4",-11.294,-6.8486,-2.7773,-0.47074,0.045595,-1.2299,-4.8666,0.51694,-0.77146,-1.6787,-2.216,1.6693,1.6057,0.28851,1.2494,0.43826,0.3153,-0.33768,2.6355,1.4936,-0.16528,-0.46047,-0.56422,0.3184,1.2059,-1.323,-0.12235,-0.72528,0.78193,-2.643,0.32754,1.1009,0.8361,2.0402,2.0417,1.8752,0.26743,-1.2953,-0.022253,-1.2915,-1.5673,-0.22008,-0.0088148,0.88416,-2.26,0.006225,-1.1432,-2.6505,-0.32796,5.3495e-15
"BLANK.2",45.562,-10.594,-2.5416,-1.655,0.74351,3.1236,-1.7542,-2.7718,0.43943,-6.706,9.2964,-3.6953,-7.8631,-4.366,1.1695,1.7518,-1.5892,-0.78841,1.9251,0.074896,-1.3786,0.24345,-0.38504,0.24705,0.71218,-0.36566,0.22277,0.11219,0.20214,-0.22244,0.44134,0.12695,-0.49846,0.068977,0.16516,0.066613,0.22231,-0.059522,-0.10669,-0.19581,-0.047376,0.11242,-0.19669,0.057446,-0.085329,0.0003013,0.083599,0.045515,-0.085552,-2.8446e-14
"QC.1",-12.838,5.9934,-2.985,-0.83175,-4.0682,4.2695,1.6344,2.6573,-0.074151,-0.41692,-1.5493,-1.1084,-1.2588,-0.13522,-2.6942,0.16115,-0.23899,-2.2026,0.48929,-0.68737,-0.153,0.34666,-0.53944,1.5984,-1.6896,-1.2815,-0.79993,1.1306,-0.041396,2.202,-0.24762,-1.3963,-0.46372,1.0259,-0.45331,-2.0979,1.4446,-0.95076,-0.54075,2.2949,-2.4014,0.72282,-0.069768,0.74591,-2.5627,0.60039,-1.4622,1.1484,-0.85873,1.0699e-14
"QC.2",-12.418,-2.2,-6.0267,-3.564,1.9096,-5.6529,4.8117,0.88474,0.23798,0.059053,0.8789,-0.15804,0.035392,0.0052251,0.35529,-1.0595,-1.0551,0.79933,-0.81286,-0.53897,-0.40903,0.92146,1.2678,0.84423,-1.2539,-0.63203,-0.45694,0.88769,0.015633,-0.84562,2.3941,-0.99818,0.72835,2.1199,0.21641,1.9994,0.69271,0.52116,-1.6926,2.3002,0.52704,0.47544,-0.23142,1.8938,0.037833,0.6336,1.9079,-0.09212,2.5447,5.735e-15
"QC.3",-11.502,-6.9756,-2.5481,0.090433,-4.0512,2.064,-0.66957,-0.34107,-3.0352,-0.47804,-1.6368,0.92364,-1.8082,0.72658,-0.08039,0.084167,0.48163,-0.41586,-0.50528,1.1693,-0.59588,-0.87934,-2.5169,-0.37811,1.2819,0.15896,0.48268,0.46475,0.53233,-0.40105,-1.7087,0.37752,0.36409,1.7279,1.1534,-0.24023,-1.1317,1.3927,1.3036,3.1001,-2.7928,-1.0845,0.03694,-1.6446,2.6073,0.053336,0.98412,-0.48687,0.14365,3.8524e-15
