"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"M297.239T1626.197",0.0021011,0.011405,-0.037338,0.003692,-0.01309,-0.013696,-0.012589,-0.023218,0.001717,-0.022026,-0.013521,0.0034991,-0.00041739,0.012744,0.0095403,0.006744,-0.0098022,-0.019571,-0.0040659,-0.0024086,0.00034011,0.0057272,-0.0036862,-0.01916,0.0087239,0.0121,0.0053637,0.026461,0.00050903,-0.0098169,-0.0069018,-0.0091475,-0.040072,0.020074,-0.0014618,-0.013178,-0.016439,-0.0043992,-0.00098497,-0.015621,-0.022092,-0.0065242,-0.023767,0.0056675,-0.0034091,0.014601,-0.029315,0.00074795,0.003037,-0.001177
"M893.341T926.592",-0.030958,-0.0057076,-0.012447,-0.013641,-0.038605,0.0129,-0.015615,0.02923,-0.019754,-0.019154,0.012273,-0.021341,-0.0066293,-0.010717,0.074203,-0.015809,-0.005425,0.0083738,0.05156,-0.004399,0.017556,-0.0046893,0.02275,-0.022509,0.022459,-0.028792,0.02917,-0.015738,0.0010062,0.019806,-0.0088463,0.021304,0.0062056,-0.02272,0.0059349,-0.03895,0.020423,-0.011107,0.049203,-0.0098827,-0.0039575,0.010019,-0.0056392,0.025155,0.00019902,0.029671,0.0008156,-0.016762,-0.0181,-0.0037292
"M790.519T1321.956",-0.028577,0.0026409,-0.0067196,0.028505,0.014182,0.0085382,0.0055944,0.0010494,-0.020857,0.010938,0.0030492,0.0076153,-0.015541,0.028684,-0.016695,0.041436,0.01135,0.012928,0.0015861,-0.0023684,-0.0055364,0.010874,-0.0060779,-0.0044588,0.013097,0.00057843,-0.0015536,0.005443,0.0085288,0.00514,0.0087643,-0.0048326,-0.013554,-0.010905,0.011076,0.023181,-0.013265,0.0082433,0.001689,0.0099491,-0.0078538,0.0025458,0.0029738,-0.0066758,-0.00045077,0.0014519,0.0035834,-0.0044282,-0.011505,-0.0017785
"M1062.429T942.609",-0.029658,-0.0012863,-0.013103,-0.0035292,-0.027152,-0.020587,-0.017491,0.0071737,0.027933,-0.0019688,0.01694,-0.027667,-0.011324,0.015161,0.00044423,0.021039,-0.0054154,0.00026849,0.01577,0.030946,-0.0065451,0.017566,0.0095405,0.0051878,0.018283,0.004987,0.001192,-0.013055,0.014244,-0.0094322,0.0020067,0.0086543,-0.032561,-0.011461,-0.039339,0.00024767,-0.0049301,-0.027057,-0.022568,0.0023172,-0.0058568,-0.018252,-0.009927,-0.021998,-0.021958,0.022586,-0.0072486,-0.020208,-0.0027344,0.0082973
"M996.384T957.42",-0.028017,0.00018366,-0.0021631,-0.018195,-0.022082,-0.0095065,-0.0094505,0.010863,0.0073392,-0.0046426,0.03105,0.03149,0.0066541,0.012066,-0.034633,0.01831,-0.006547,0.016982,0.00055052,0.013064,-0.025652,0.0072844,0.0030693,0.023984,0.0078421,0.00012841,-0.0069624,-0.01501,0.01919,0.010821,-0.0038008,0.026718,0.010195,0.0050732,-0.02017,-0.010418,0.02151,0.042529,0.013461,-0.010083,-0.018277,-0.018445,0.010023,0.0061203,-0.0087001,0.016399,-0.02619,0.039293,-0.024991,-0.00041041
"M471.314T1308.231",-0.016482,-0.0087183,0.014886,-0.026637,0.012736,-0.003414,-0.025316,-0.00088011,0.015571,-0.028344,-0.019802,0.007289,-0.025425,-0.014507,-0.0063646,-0.006984,0.004809,-0.02027,-0.056831,-0.038256,0.010777,0.030631,-0.017574,0.016891,0.017448,0.007275,-0.0060678,0.011284,0.005966,0.0029735,-0.024857,-0.005704,-0.00020658,-0.01323,0.060871,-0.036201,0.0064495,-0.006007,0.019709,-0.003735,0.022811,0.012738,0.006311,-0.012737,-0.024771,0.024633,0.020156,-0.0050296,-0.016063,0.0029632
"M690.262T910.27",-0.027054,-0.0046643,-0.0040627,-0.0095453,-0.022682,-0.0131,-0.005603,0.0035711,0.00088593,0.0064502,-0.010523,-0.018526,0.0237,0.0018268,-0.019243,-0.01203,-0.0067811,-0.013183,-0.0020114,0.004793,0.020703,-0.010202,0.038285,0.0043453,0.0059657,0.0007026,-0.01227,0.0054659,-0.012166,0.0042197,-0.020866,0.012932,0.0036475,0.01056,0.0082728,0.0061824,-0.0059461,0.0022722,0.0092464,-0.010322,0.0014727,0.0018167,-0.0051117,-0.0014915,-0.0072245,0.003651,-0.0082841,-0.0047569,0.0088658,-0.0044066
"M1005.547T1177.551",-0.0307,-0.010572,0.010546,0.024961,0.016129,-0.0025833,0.012782,0.011092,0.0010894,0.021298,-0.024544,0.00031451,0.0081007,-0.029242,-0.0032266,-0.00025018,-0.00062794,-0.012592,0.010255,-0.008376,0.038173,-0.0013639,0.003189,-0.0052234,-0.006905,-0.0021036,0.0051558,-0.0040178,-0.0084072,-0.0088221,0.0062736,0.033709,0.0072992,0.017641,-0.0073195,-0.0087141,0.0011663,-0.0034756,0.0014439,-0.0019746,-0.0090096,-0.0037254,-0.0047107,0.0071316,-0.0044069,0.006844,-0.010565,0.0071272,-0.0085868,0.0053574
"M703.256T884.128",-0.026485,-0.0037622,-0.00394,-0.012708,-0.0045574,-0.0049187,0.0092849,-0.013082,0.0055506,-0.0034869,0.018972,-0.0028266,0.0024399,-0.00030776,-0.0059865,0.015986,0.00063554,0.013786,0.0091137,-0.011155,-0.0053548,-0.011544,0.0058196,0.0047798,0.0026504,0.0074287,-0.013452,0.0017433,-0.005665,-0.0027584,0.0074111,0.016429,0.003121,-0.008098,0.0057333,-0.010321,-0.0059604,0.0054027,-0.017016,0.0021176,0.010106,0.0091069,0.020149,0.00041638,0.0038448,-0.032296,0.0025346,-0.0049185,0.0053164,-0.004702
"M689.269T924.637",-0.029618,0.0012532,-0.0039969,-0.0033057,-0.0099108,-0.0047523,-0.0050858,-0.0012695,0.0041018,0.014146,-0.0036412,-0.010333,0.035102,-0.0012758,0.012593,0.021689,-0.0083264,0.003986,-0.0097727,-0.013302,0.017328,-0.013608,0.011146,-0.0025035,-0.018428,0.0021953,-0.0003188,-0.0016471,-0.0087756,-0.0040565,0.00057241,0.011031,0.01994,0.011539,0.015,0.013008,-0.0097563,0.015432,-0.0096435,-0.018308,-0.012581,-0.006486,0.0046169,0.0015762,0.0090599,-0.010636,-0.0066798,-0.0071223,0.0068121,-0.0059305
